,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,v3_score,v3_rank,p_ai,p_market
0,1,1,フェンリル,牡3,57.0,菊沢,高木,502(0),63.6,12,美浦,2023106726,01161,ドレフォン,ユーブゴットイット,Sea The Stars  Sea the Stars,-0.7199881372341886,11,-0.6224841404731015,14,-0.15484213928217927,10,-0.9864743602574815,10,0.022769114947656256,0.012447826776003942
1,1,2,カズシ,牡3,57.0,大野,高柳瑞,482(-6),60.6,11,美浦,2023102662,01096,リアルスティール,ノリミ,サマーバード,-0.6993683391249715,10,-0.07999767913601145,9,0.19295506855284758,1,-0.9040972489325315,8,0.024724190118875312,0.013064055824320967
2,2,3,デルマザオウ,牝3,55.0,小崎,松山,498(+2),12.5,7,美浦,2023101367,01152,ミッキーグローリー,デルマノママナノダ,ハイアーゲーム,0.5466827658633289,6,0.2234822306358647,5,0.15935518112426847,2,0.7544020371875982,3,0.1298372064354587,0.06333454263630806
3,2,4,マネーマネー,牝3,55.0,小林脩,稲垣,438(+14),177.9,16,美浦,2023101718,01183,ゴールドドリーム,ゴールドトパーズ,エンパイアメーカー,-0.9321679028330858,16,-1.129728353038343,16,-0.5537244870105383,16,-2.6514483270246076,16,0.004307815983531394,0.004450150550611864
4,3,5,ガードオブオナー,牡3,57.0,ルメール,林,522(-4),5.8,3,美浦,2023107327,05339,サトノダイヤモンド,ルミナスパレード,シンボリクリスエス,1.61975640612236,2,0.5579477695915636,1,0.05297765186180346,6,1.1377096939776952,1,0.19048797406882054,0.13649685912997425
5,3,6,エッチェレンテ,牡3,57.0,三浦,鹿戸,496(+4),11.1,6,美浦,2023106914,01122,リアルスティール,エクセレンス,Champs Elysees,0.25140936293573685,7,-0.0562624663681531,8,0.07135571338853186,5,0.3311042087790972,6,0.08502825211833744,0.07132268314899556
6,4,7,エースオブゴールド,牡3,54.0,▲上里,堀内,476(-8),78.6,13,美浦,2023100784,01217,ブラックタイド,ワイルドアフリカ,ワイルドラッシュ,-0.8350851801242171,15,-0.1541213485645172,10,-0.5274948090233266,15,-1.733077288357184,14,0.010791967225674838,0.010072287314934487
7,4,8,ピードモント,セ3,57.0,岩田康,武井,468(+16),4.2,2,美浦,2023107348,05203,キズナ,レディデラウェア,American Pharoah,1.1126729234967394,3,0.07268227108366887,7,0.11820933820830816,4,0.20900937720037166,7,0.0752554817046406,0.18849566260805967
8,5,9,ジュングロワール,牡3,57.0,木幡巧,堀内,470(-6),158.8,15,美浦,2023107425,01162,リアルスティール,グローリールピナス,マーベラスサンデー,-0.7708409810308443,13,0.21221195207858626,6,-0.16836560433288925,11,-0.9384130265205284,9,0.023890152478184188,0.004985401655880671
9,5,10,マイネルオランチア,牡3,57.0,横山武,小手川,482(-3),8.2,4,美浦,2023106406,01170,スクリーンヒーロー,マイネオレンジ,ロージズインメイ,0.6816271362736305,4,0.23526632387074026,4,0.034695353369803596,8,0.6195079962976401,4,0.11345285391835326,0.09654655889681106
10,6,11,レプレセンタル,牡3,57.0,石橋脩,池上,516(0),26.9,8,美浦,2023103624,01077,ジャスタウェイ,サクレディーヴァ,クロフネ,-0.6804084398707415,8,-0.6794998142195684,15,-0.3198750412779753,13,-1.739580733774171,15,0.010722009984000924,0.029430549552187758
11,6,12,マイネルゼーロス,牡3,57.0,津村,相沢,486(0),8.5,5,美浦,2023106474,01092,ダノンバラード,マイネアルデュール,アドマイヤコジーン,0.5519293979013239,5,0.4564947077510683,2,0.04905328141357845,7,0.5001370735965661,5,0.10068697471549834,0.0931390332886883
12,7,13,ヨーゼフ,牡3,57.0,武藤,戸田,504(-6),40.2,9,美浦,2023107061,01169,レイデオロ,ジョディー,ダイワメジャー,-0.6963668392395097,9,-0.48947665355057335,13,-0.3497809553901214,14,-1.195787964867477,11,0.01846895852952266,0.019693576690394295
13,7,14,スコアレジーナ,牝3,55.0,木幡育,矢野,398(0),137.4,14,美浦,2023101925,01167,サートゥルナーリア,スコアズビー,ロックオブジブラルタル,-0.8178920826104754,14,-0.4636097886214271,12,-0.2964834416753929,12,-1.2642776555126378,12,0.01724637048782799,0.005761876149591344
14,8,15,ホウオウファミリー,牡3,57.0,戸崎圭,田中博,490(-4),3.4,1,美浦,2023105322,05386,レイデオロ,ファシネートダイア,アグネスタキオン,2.153280295153489,1,0.3805335281931497,3,0.14904453078832056,3,0.9674612347654332,2,0.16066807728308075,0.23284758322172078
15,8,16,ピュアクローム,牡3,54.0,▲佐藤,小手川,426(-1),44.2,10,美浦,2023100595,01207,カリフォルニアクローム,ピュアココロ,ハーツクライ,-0.7652403856785742,12,-0.20068485176583656,11,-0.008993050920463333,9,-1.6554922296751133,13,0.011662600000536752,0.01791135255551698
