,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,,,オンクラウドナイン,牡4,57.0,▲水沼,和田郎,,---.-,**,美浦,2022106754,01201,ラニ,シアージュ,Raven's Pass,,,,,,
1,,,ガイ,セ4,60.0,草野,本間,,---.-,**,美浦,2022101140,01113,ラニ,グラニュエル,クロフネ,,,,,,
2,,,ゴールデンステップ,牝5,58.0,高田,和田勇,,---.-,**,美浦,2021103555,01046,ブリックスアンドモルタル,ルミナスレッド,トーセンダンス,,,,,,
3,,,サスツルギ,セ6,60.0,上野,千葉,,---.-,**,美浦,2020103439,01087,ハーツクライ,スノーパイン,Dalakhani,,,,,,
4,,,セイフウサツキ,牡4,60.0,難波,松永幹,,---.-,**,栗東,2022101461,01066,サトノクラウン,モンローライン,ダンスインザダーク,,,,,,
5,,,テーオーレガシー,牡6,60.0,小牧加,宮,,---.-,**,栗東,2020100604,01196,ダンカーク,ココモオレンジ,キングカメハメハ,,,,,,
6,,,トモジャシャトー,牡5,60.0,大江圭,小笠,,---.-,**,美浦,2021101041,01120,デクラレーションオブウォー,ジーニマジック,ダイワメジャー,,,,,,
7,,,ボールドハーテッド,牡4,60.0,五十嵐,平岩,,---.-,**,美浦,2022103551,01069,マジェスティックウォリアー,フィアレス,スペシャルウィーク,,,,,,
8,,,メイショウヘール,牡5,60.0,中村,大橋,,---.-,**,栗東,2021104622,01101,シュヴァルグラン,メイショウベルシア,タニノギムレット,,,,,,
9,,,メラーキ,牡9,57.0,▲坂口,稲垣,,---.-,**,美浦,2017105634,01211,ハーツクライ,レツィーナ,キャプテンスティーヴ,,,,,,
