,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,,,クールミラボー,牡6,58.0,坂井,寺島,,---.-,**,栗東,2020103387,01163,ドレフォン,サンソヴール,キングカメハメハ,,,,,,
1,,,サイモンザナドゥ,牡6,58.0,幸,小林,,---.-,**,栗東,2020104497,00732,アジアエクスプレス,トゥルーロマンス,アグネスデジタル,,,,,,
2,,,ゼットリアン,牡6,58.0,松若,吉田,,---.-,**,栗東,2020104760,01154,モーリス,ネオシルヴィア,ネオユニヴァース,,,,,,
3,,,ソーニーイシュー,牡5,57.0,団野,千田,,---.-,**,栗東,2021101705,01180,シニスターミニスター,ローズストリート,ストリートセンス,,,,,,
4,,,タイトニット,牡6,59.0,川田,今野,,---.-,**,栗東,2020102750,01088,キズナ,アルティメイトラブ,シンボリクリスエス,,,,,,
5,,,ハビレ,牡5,57.0,コレット,武井,,---.-,**,美浦,2021100561,05691,ヘニーヒューズ,トモトモリバー,ブラックタイド,,,,,,
6,,,ブレイクフォース,牡7,59.0,岩田望,中舘,,---.-,**,美浦,2019105604,01174,アジアエクスプレス,プレシャスフラワー,サンデーサイレンス,,,,,,
7,,,ポッドロゴ,牡5,58.0,長岡,西園翔,,---.-,**,栗東,2021104873,01142,ロゴタイプ,スクラッタ,キングカメハメハ,,,,,,
8,,,マリオロード,牡7,58.0,Ｍデムーロ,安達,,---.-,**,栗東,2019101198,05212,キタサンブラック,ヤマトマリオン,オペラハウス,,,,,,
9,,,ルクスフロンティア,牡6,58.0,吉村,松永幹,,---.-,**,栗東,2020104474,01216,エピファネイア,サトノアイリ,ステイゴールド,,,,,,
