,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,v3_score,v3_rank,p_ai,p_market,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,アクティブヘイロー,牡3,57.0,コレット,鈴木孝,472(+6),76.0,9,栗東,2023101726,5691,アルアイン,スーサンヘイロー,アドマイヤムーン,-0.6297840316190555,8,-0.4852082690183662,11,-0.7883950079951006,9,-1.7002758432376572,8,0.026256017789952,0.0104752327587387,44.4,45.0,45.3,12
1,2,2,カフジマリボー,牡3,55.0,△柴田裕,中竹,460(+2),143.3,13,栗東,2023101049,1212,ハービンジャー,カフジアリエス,ジャスタウェイ,-0.6962061438996918,9,0.3615669958259758,13,-0.2118236491052177,12,-1.9733014013227383,9,0.0199827550443092,0.0055556014631133,43.3,44.7,45.2,14
2,3,3,ホウオウモチーヴ,牡3,57.0,松山,矢作,484(-10),4.3,3,栗東,2023105281,1126,サートゥルナーリア,ギモーヴ,ハービンジャー,0.8025635634050011,3,-0.4269647205456413,4,-1.348127846543835,6,-0.4360583946851037,5,0.0929547355783024,0.185143648759104,51.2,47.8,51.0,4
3,3,4,レイワノキセキ,牡3,57.0,高倉,本田,464(+2),42.7,7,栗東,2023102718,1130,シルバーステート,ミヤビキラメキ,ハーツクライ,-0.6988173420157857,11,-0.5904657110762895,12,-0.2195801489457613,14,-3.103486913388437,14,0.0064538970474169,0.0186444423808933,44.4,44.6,45.3,11
4,4,5,ヴィーラー,牝3,55.0,富田,矢作,420(-6),56.9,8,栗東,2023103081,1168,コントレイル,スウィートマナ,Easing Along,-0.7011470985625704,12,-0.2399245643957172,6,-0.2762105677265377,2,-2.596598760694958,12,0.0107142249641021,0.0139915235441853,48.4,55.1,50.3,5
5,4,6,ニテンイチリュウ,牡3,55.0,◇永島,高橋康,488(+2),114.1,14,栗東,2023102190,1187,ディープブリランテ,ムサシレパード,ローエングリン,-0.7522506046705058,14,-0.1185179383756976,14,-0.407773643098883,13,-2.7580468428110554,13,0.0091168487477533,0.0069773680075735,43.2,44.7,45.2,13
6,5,7,メイショウユウゲン,牡3,54.0,▲森田,安達,434(-2),114.9,12,栗東,2023101282,1222,ダノンバラード,メイショウユウスゲ,マジェスティックウォリアー,-0.6983926585065243,10,0.3392460914521371,8,-0.0582409896561059,5,-2.064492890389188,10,0.0182411159592954,0.0069287875514721,46.9,48.4,46.4,6
7,5,8,ダンツウルス,牡3,57.0,田口,谷,462(0),4.3,2,栗東,2023102901,1208,リアルスティール,コゴメユキ,Liam's Map,1.96549885318581,2,-0.2088205242834657,1,-0.8216591708627118,1,0.6979884013564626,1,0.2889227803820005,0.185143648759104,82.4,82.7,83.5,1
8,6,9,ドットカモン,牡3,57.0,西塚,笹田,480(-4),87.7,10,栗東,2023104773,1200,ノーブルミッション,サンデーアゲイン,マーベラスサンデー,-0.0666594626862681,6,0.0063930731788058,9,0.1326721266077293,10,-0.1596803930392248,3,0.1225465137630466,0.0090777387646995,45.7,44.9,46.0,8
9,6,10,デルマタイセツ,牝3,55.0,藤懸,庄野,450(+12),103.4,11,栗東,2023103546,1138,ブリックスアンドモルタル,ベストロケーション,クロフネ,-0.7251018931769276,13,-0.219611442248581,10,-0.0360448099165082,11,-2.405555865041022,11,0.0129696912109765,0.0076993973855333,45.7,44.9,45.5,10
10,7,11,アラムシャピラス,牡3,57.0,川田,池江,490(0),2.0,1,栗東,2023105683,1088,シスキン,マローブルー,ディープインパクト,2.244009585610516,1,-0.1024656179883222,2,-0.1502507210211278,3,-0.1564757340385051,2,0.1229398634906201,0.3980588448320738,56.1,54.1,53.1,2
11,7,12,ブルーザー,牡3,56.0,☆田山,池添,496(+2),10.9,4,栗東,2023106218,1220,モーリス,ピスカデーラ,ブラックタイド,0.0315336272552212,4,-0.4060744237300188,3,-0.1386320136476505,4,-0.6489164552990909,7,0.0751326035597552,0.073038320152674,51.8,49.1,51.0,3
12,8,13,ルクスディグニティ,牡3,57.0,幸,昆,452(-6),26.7,6,栗東,2023100669,732,リオンディーズ,サトノルミナス,ディープインパクト,0.0262838258624075,5,-0.3409871286461197,5,-0.0774805709026887,8,-0.2019954834584228,4,0.1174691295327322,0.0298171419349868,48.7,46.4,45.8,9
13,8,14,アイスフォーク,牡3,57.0,Ｍデムーロ,武幸,498(0),16.1,5,栗東,2023105217,5212,サートゥルナーリア,フォーエバーモア,ネオユニヴァース,-0.101530220181626,7,-1.0081837159415337,7,-0.8362048896219217,7,-0.6335004375662096,6,0.076299822929737,0.0494483037058476,47.8,47.4,46.4,7
