,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,v3_score,v3_rank,p_ai,p_market,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,ライヴギムレット,牝3,55.0,野中,大和田,472(-4),121.3,15,美浦,2023102320,1158,タニノフランケル,グッバイサマー,サマーバード,0.4479522755455404,3,0.0732328215386505,11,0.0842737807124396,8,0.2372864667200687,1,0.156483053710226,0.0065559060567811,46.0,46.6,42.0,14
1,2,2,サイモングリーマン,牡3,57.0,木幡育,的場,482(-4),120.1,14,美浦,2023102050,1167,リアルインパクト,ピーエムルッカ,キンシャサノキセキ,-0.4281699872892737,11,-0.0876430133937287,15,-0.0223618641310078,14,-0.2274526634173656,4,0.0983181442983242,0.0066214105302876,45.9,45.0,41.5,15
2,2,3,チェイサー,牡3,54.0,▲佐藤,相沢,422(+2),3.3,2,美浦,2023104603,1207,レイデオロ,ウェストレー,オルフェーヴル,2.1043379512884157,2,0.0947012079608347,1,-0.2002218307000339,4,-1.353000487076773,11,0.0319017468129616,0.2409792135416816,84.0,49.7,61.4,2
3,3,4,イントゥザウインド,牡3,57.0,坂井,尾関,420(0),2.8,1,美浦,2023103753,1163,ルヴァンスレーヴ,イリュミナンス,マンハッタンカフェ,2.458876762631146,1,0.0173804776617915,4,-0.2296539432746442,3,-2.2995203863423392,15,0.0123807254991187,0.284011215959839,48.6,50.9,50.5,4
4,3,5,キタノドンカルロ,牡3,57.0,柴田大,粕谷,432(0),6.8,3,美浦,2023102651,1009,タワーオブロンドン,ヒルノリスボン,マンハッタンカフェ,0.0869360238761615,4,0.0173804776617915,7,-0.1284099410032363,2,-1.717704706130937,14,0.0221526371537539,0.1169457948069925,46.4,53.9,49.4,6
5,4,6,ラヴィプランドール,牝3,55.0,小林脩,浅利,410(0),46.2,10,美浦,2023100200,1183,シャンハイボビー,アクニディ,ディープインパクト,-0.7992369957090463,14,-0.1633161854453566,13,-0.0421381349958457,6,-0.6706280535221492,8,0.0631197174966948,0.0172128009672629,45.9,48.7,47.5,7
6,4,7,ユイノサダハル,牡3,57.0,江田照,古賀慎,470(+4),9.7,4,美浦,2023101841,689,キセキ,カノン,フォーティナイナーズサン,-0.3596472807641496,8,-0.0876430133937287,3,-0.1693725333189728,13,-1.5014400216847077,13,0.0275009687881126,0.0819826190399535,50.8,45.3,53.1,3
7,5,8,ジュングロワール,牡3,57.0,石川,堀内,482(0),36.5,8,美浦,2023107425,1150,リアルスティール,グローリールピナス,マーベラスサンデー,-0.7684249729837117,12,-0.0876430133937287,10,-0.0127553932523376,10,-0.711553947097093,9,0.0605886333680563,0.0217871617722616,46.0,46.0,46.3,10
8,5,9,ファナティカル,牡3,57.0,原,中川,456(-2),18.7,7,美浦,2023106787,1184,カリフォルニアクローム,ティザチック,Tiznow,-0.7882427157265018,13,-0.0876430133937287,2,-0.1245194847616333,1,-1.1640722124847174,10,0.0385358525069301,0.0425257435661791,58.7,84.9,81.4,1
9,6,10,パワポケグッド,牡3,54.0,▲上里,大和田,434(+6),85.1,12,美浦,2023106198,1217,インカンテーション,パワポケエリ,ローエングリン,-0.4078359712338922,10,-0.0876430133937287,8,-0.0798596058677153,15,-0.241534773209503,5,0.0969433203263723,0.0093446698553178,46.1,44.6,42.8,13
10,6,11,リアルパラダイス,牡3,57.0,木幡巧,西田,436(-2),85.7,13,美浦,2023105411,1162,リアルスティール,ヴァルドブラムヘン,Sea The Moon,-0.901102462105143,15,-0.0876430133937287,6,-0.0189486312663671,7,-0.6521305730412332,7,0.0642981385490531,0.0092792462623984,46.8,47.5,47.3,8
11,7,12,マイトリックスター,牝3,52.0,▲石田,和田勇,430(-6),61.9,11,美浦,2023101731,1203,ダノンレジェンド,トリンカファイブ,ステイゴールド,-0.0285841676213706,5,0.0732328215386505,14,0.0546950716573658,9,-0.03998266941641,2,0.1185907612319196,0.0128470340014143,45.9,46.1,44.8,12
12,7,13,ファイアリービート,牡3,57.0,大野,鈴木慎,454(-2),10.0,5,美浦,2023101135,1096,パイロ,チャチャチャ,ダイワメジャー,-0.384532116767542,9,-0.1633161854453566,9,-0.1149684935381561,5,-1.4724381114716307,12,0.0283102277208916,0.0795231404687549,46.1,49.3,50.0,5
13,8,14,スルーザゴールド,牡3,57.0,杉原,青木,524(0),43.2,9,美浦,2023106793,1135,ドレフォン,アルジャンテ,ディープインパクト,-0.126726000065275,7,-0.1633161854453566,5,-0.0249530633709974,12,-0.1473148128625868,3,0.1065214572660998,0.0184081343677673,46.9,45.8,45.5,11
14,8,15,テキサスバローズ,牡3,57.0,菊沢,蛯名正,502(-12),15.3,6,美浦,2023102123,1161,ルヴァンスレーヴ,ハートフルデイズ,キングカメハメハ,-0.1056003430753566,6,0.0173804776617915,12,-0.0481600246202047,11,-0.5068155084798591,6,0.0743546152714846,0.0519759088031078,45.9,45.8,46.4,9
