,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,メイショウセンドウ,牡3,57.0,吉田隼,飯田,466(-8),---.-,**,栗東,2023101756,01095,ホッコータルマエ,ルンルンクオリティ,ヴィクトワールピサ,1.527233077594291,2,0.0,6,0.5693959971673211,2
1,2,2,ブレイズランナー,牡3,56.0,☆長浜,蛯名正,478(+4),---.-,**,美浦,2023103577,01214,アルアイン,ラヴファンシフル,ハービンジャー,1.0488193087171438,5,0.0,6,0.009807786713678365,6
2,3,3,ディープマウンテン,牝3,52.0,▲小林美,深山,420(+18),---.-,**,美浦,2023103475,01206,エイシンフラッシュ,テクニカルラン,アグネスタキオン,1.465328217069274,3,0.004717043632252293,1,0.061233260711581,3
3,3,4,ステキサプライズ,牡3,57.0,横山琉,粕谷,432(0),---.-,**,美浦,2023101910,01192,ゴールドシップ,ドゥモワゼル,ショウナンカンプ,1.015073752967776,6,0.0,6,-0.029663516959024763,7
4,4,5,レッドフロイデ,牡3,53.0,★河原田,大久保,446(+2),---.-,**,栗東,2023103441,01204,モーリス,ジョイフルビクトリー,Tapit,0.914506993185894,7,0.0,6,-0.14729385454221428,8
5,4,6,フェンリル,牡3,57.0,石川倭,高木,500(0),---.-,**,美浦,2023106726,05534,ドレフォン,ユーブゴットイット,Sea The Stars  Sea the Stars,0.2509241410446471,11,0.0,6,-0.923469551970354,14
6,5,7,ブリリアンス,牡3,57.0,松本,大和田,450(+4),---.-,**,美浦,2023100637,01191,サトノクラウン,ディスパーション,ダイワメジャー,0.0026760089415584637,12,-0.00649076297331725,11,-0.6142309126740108,11
7,5,8,クラン,牝3,55.0,横山武,昆,438(+4),---.-,**,栗東,2023103065,01170,ダノンプレミアム,ステップビヨンド,American Pharoah,0.2829288590862352,9,0.0,6,-0.8860344611346537,13
8,6,9,ライヴマルガリータ,牝3,55.0,古川吉,牧,468(+6),---.-,**,美浦,2023101046,01015,モズアスコット,ライトフェアリー,サムライハート,0.25273572738158645,10,-0.010369254900623523,12,0.0365474019623988,5
9,6,10,シュヴェスター,牝3,54.0,☆舟山,高橋亮,424(0),---.-,**,栗東,2023104158,01221,シニスターミニスター,ペルレストラーダ,アルデバラン,0.34380208829002507,8,0.0,6,-0.8148326195266407,12
10,7,11,ストリートクイーン,牝3,55.0,丹内,高橋一,458(+4),---.-,**,栗東,2023101091,01091,ルヴァンスレーヴ,ストリートキャット,アドマイヤムーン,-0.33073000815027415,14,-0.014021547619847535,13,-0.30852342858215825,10
11,7,12,ララニューディー,牡3,57.0,佐々木,大竹,506(-4),---.-,**,美浦,2023101857,01197,サートゥルナーリア,ララプリムヴェール,クロフネ,1.692837524170719,1,0.0,6,0.7630992346815119,1
12,8,13,チャーチルデュース,牡3,57.0,武豊,松永幹,504(-4),---.-,**,栗東,2023105320,00666,Into Mischief,ビューティフルギフト,Medaglia d'Oro,-0.3057487977516313,13,-0.014021547619847535,13,-0.27930355296120335,9
13,8,14,トルークマクト,牝3,53.0,△鷲頭,福永,452(+6),---.-,**,栗東,2023101088,01202,ドレフォン,エトピリカ,キングカメハメハ,1.0909734470389172,4,0.0,6,0.05911439191875126,4
