,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,タイセイスタナー,牝3,55.0,荻野極,池上,470(0),---.-,4,美浦,2023104480,1160,シルバーステート,コンフォータブル,ザール,0.9984251871832956,3,0.0039679383183986,7,0.2359070818158594,2
1,1,2,ミスティユニバンス,牝3,55.0,小崎,加藤征,446(+10),---.-,5,美浦,2023105285,1152,サトノダイヤモンド,ケルシャンス,Dubawi,-1.005407765426779,14,-0.0139538162712955,16,-0.3326306047987887,7
2,2,3,ロジスカヤ,牝3,52.0,▲石田,新開,410(-4),---.-,6,美浦,2023104685,1203,シルバーステート,ロジモーリス,モーリス,0.6020354468123248,4,0.0039679383183986,7,-0.0617280295705499,5
3,2,4,アーリマックス,牝3,52.0,▲石神道,清水英,388(-4),---.-,3,美浦,2023101779,1209,モズアスコット,グッドジュエリー,ハーツクライ,-1.029112177295322,15,-0.0041300848961758,12,-0.8635320806120302,15
4,3,5,フレンドリーエール,牝3,55.0,横山典,村田,414(-6),---.-,11,美浦,2023102881,660,スマートファルコン,ニシノオマージュ,ストリートセンス,1.131788550502027,1,0.0077519102142444,1,0.1384045526950603,3
5,3,6,カラーオブサクセス,牝3,55.0,菊沢,武市,422(+2),---.-,9,美浦,2023102896,1161,ゴールドドリーム,カラフルワード,キングカメハメハ,-0.3433049095646531,10,-0.0026497167974026,9,-0.4259045381239323,10
6,4,7,ロッタリーランド,牝3,55.0,小林脩,浅利,406(+4),---.-,16,美浦,2023100987,1183,ゴールドアクター,ホットバタードラム,タニノギムレット,0.3559556617939243,7,0.0075839343901447,4,-0.4353675360742702,11
7,4,8,ナディア,牝3,55.0,田辺,菊川,436(0),---.-,7,美浦,2023105951,1075,マクマホン,トーセンリラ,トーセンブライト,-0.3948164522883288,11,-0.0041300848961758,12,-0.3872617346951623,8
8,5,9,グレイシエーション,牝3,55.0,杉原,栗田,468(-10),---.-,1,美浦,2023106991,1135,モーリス,グレイシア,ダイワメジャー,-0.5307735753473645,13,-0.0041300848961758,12,-0.4893471555427884,12
9,5,10,ハーティーチアーズ,牝3,55.0,木幡初,本間,466(0),---.-,12,美浦,2023104970,1153,シャンハイボビー,ハイドバウンド,Grand Slam,-1.0295275400548451,16,-0.0041300848961758,12,-0.863843961896043,16
10,6,11,トゥレイス,牝3,52.0,▲上里,高柳瑞,422(+2),---.-,10,美浦,2023102394,1217,カリフォルニアクローム,トップスカーレット,ダイワメジャー,-0.5246183773580032,12,-0.0026497167974026,9,-0.5620464426344407,13
11,6,12,ラウンドヒル,牝3,55.0,三浦,田島,456(0),---.-,8,美浦,2023105751,1122,ベストウォーリア,レイテストバード,サマーバード,-0.0484255773759163,8,-0.0124478815157204,15,0.3072772752832035,1
12,7,13,アルファリラエ,牝3,52.0,▲土田,田島,404(-4),---.-,14,美浦,2023103772,1198,ダノンスマッシュ,ゴールデンハープ,ステイゴールド,-0.1386137921258442,9,0.0075839343901447,4,-0.8067223404846069,14
13,7,14,ホウオウミステリー,牝3,55.0,丸田,池上,478(+4),---.-,13,美浦,2023105619,1117,ドレフォン,ホウオウクリスティ,ハーツクライ,1.0641997265659855,2,0.0077519102142444,1,0.0876544825195475,4
14,8,15,シエラモレーナ,牝3,52.0,▲佐藤,古賀慎,430(+10),---.-,15,美浦,2023105744,1207,ビッグアーサー,シェリトリンド,ステイゴールド,0.4175353468447461,6,0.0075839343901447,4,-0.3891295168912096,9
15,8,16,リーデレクオーレ,牝3,55.0,柴田大,秋本,418(0),---.-,2,美浦,2023104425,1009,アルアイン,ゴルトメーネ,バゴ,0.4746602471347526,5,0.0043804334541924,6,-0.1789145923425449,6
