,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,キムタックフェイス,牡4,60.0,田村,森田,482(0),---.-,12,栗東,2022100727,1105,フィエールマン,ロンギングエレン,ロードカナロア
1,2,2,ゴーツウキリシマ,牝6,58.0,黒岩,牧田,470(+10),---.-,3,栗東,2020109148,1072,ナムラタイタン,エイシンドナウ,グラスワンダー
2,3,3,アドアプローズ,牡5,60.0,伴,小手川,486(+4),---.-,10,美浦,2021107224,1149,ジャングルポケット,マーシフルレイン,キングカメハメハ
3,4,4,アバットゥータ,牡4,57.0,▲井上,中竹,472(+6),---.-,1,栗東,2022101139,1151,ハービンジャー,グッディー,キングカメハメハ
4,5,5,パーセルペーパー,牡5,60.0,江田勇,和田雄,442(-2),---.-,9,美浦,2021106840,1023,ロージズインメイ,ビジュティエ,オルフェーヴル
5,5,6,メイショウソウセキ,牡4,60.0,難波,松永幹,506(-12),---.-,2,栗東,2022103255,1066,マジェスティックウォリアー,メイショウコブシ,スペシャルウィーク
6,6,7,ゴールデンルーキー,牡5,60.0,草野,粕谷,478(+2),---.-,4,美浦,2021110146,1113,Catholic Boy,Gold N Shaft,Mineshaft
7,6,8,アニージョ,セ7,60.0,森一,吉田,498(-8),---.-,6,栗東,2019103634,1139,ケープブランコ,アニムス,ゴールドアリュール
8,7,9,シュエットアムール,牝4,57.0,▲水沼,加藤和,418(-10),---.-,11,美浦,2022103517,1201,ゴールドシップ,シュエットヌーベル,スマートファルコン
9,7,10,シークレットキー,牡5,60.0,小坂,井上,506(+2),---.-,8,栗東,2021105489,1063,ドレフォン,キープシークレット,ダイワメジャー
10,8,11,アクロスザリバー,牡4,57.0,▲坂口,蛯名利,434(+2),---.-,7,美浦,2022100481,1211,カリフォルニアクローム,トクラットリバー,ウォーエンブレム
11,8,12,テイエムリステット,牡5,60.0,中村,秋山,472(-4),---.-,5,栗東,2021103725,1101,モーリス,シーズアウーマン,ネオユニヴァース
