,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,ハギノアルデバラン,牡6,58.0,望月洵,佐藤悠,502(0),---.-,10,栗東,2020100976,5666,ジャスタウェイ,ハギノアーク,アドマイヤムーン,0.8855734036285372,3,0.0283666537720427,10,-0.279959059791683,13,44.5,44.7,45.2,8
1,2,2,ヴィスマール,牡5,58.0,西村淳,奥村豊,460(-2),---.-,5,栗東,2021105459,1171,ブリックスアンドモルタル,オーマイベイビー,ディープインパクト,1.4993748762088226,1,0.2339097068359525,4,-0.0020746700433003,3,52.9,52.6,48.4,5
2,3,3,ネブラディスク,牡4,58.0,川田,福永,456(+4),---.-,2,栗東,2022105140,1088,ドゥラメンテ,リリサイド,American Post,0.7578223887817996,5,0.0006874374303533,3,-0.3539066355944862,2,58.3,55.4,55.6,3
3,3,4,サウンドムーブ,牡3,55.0,団野,斉藤崇,452(+6),---.-,1,栗東,2023101449,1180,リアルスティール,サウンドルチア,スクリーンヒーロー,0.8621290674651847,4,-0.186917103497024,2,-0.0692571863161235,1,60.1,82.7,79.9,1
4,4,5,アラタマフェーヴル,牡5,58.0,松若,浜田,492(-2),---.-,4,栗東,2021102115,1154,オルフェーヴル,アラタマクリスエス,シンボリクリスエス,0.2214756399363066,7,-0.2613082833896174,8,-0.5088212754397767,7,46.3,46.4,45.0,10
5,4,6,ナヴォーナ,牡6,58.0,富田,矢作,482(-12),---.-,12,栗東,2020103456,1168,ロードカナロア,セリエンホルデ,Soldier Hollow,-1.0276837468316746,13,-0.9349646288568608,14,-0.801907769122613,12,42.7,44.8,44.2,14
6,5,7,トーアライデン,牡6,58.0,中井,河嶋,502(0),---.-,8,栗東,2020103168,1141,マインドユアビスケッツ,ジョーヌダンブル,アグネスデジタル,1.1269814667186464,2,0.2086207456326751,7,-0.2767346217422011,4,46.4,50.5,45.7,7
7,5,8,ドットクルー,牡6,58.0,Ｍデムーロ,笹田,470(-8),---.-,13,栗東,2020101486,5212,ディーマジェスティ,スターオブロゼッタ,ロードカナロア,-0.6923156572290641,12,-0.388298347218971,11,-1.1135099128283414,8,44.1,46.0,44.4,11
8,6,9,アルトゥーム,牡5,58.0,吉村,藤岡健,440(+10),---.-,14,栗東,2021105746,1216,モーリス,ブロンシェダーム,ディープインパクト,-1.5180492406801471,14,-0.9769260665881015,12,-1.1543376736747812,10,43.0,44.9,44.3,13
9,6,10,スリリングチェイス,セ6,58.0,亀田,渡辺,506(-4),---.-,11,栗東,2020103407,1176,サトノアラジン,シンギングメリリー,Ghostzapper,-0.1727561021231328,9,-0.2445848868460476,13,-0.8459945384979219,14,42.7,44.3,44.3,12
10,7,11,レディーミコノス,牝4,56.0,松山,寺島,464(0),---.-,3,栗東,2022105475,1126,Le Havre,フルオブビューティー,Motivator,-0.2226219401054003,10,-0.0163799227517582,5,-1.1298641740673498,11,48.9,44.8,47.1,6
11,7,12,ウォーターガーベラ,牝4,56.0,高杉,石橋,456(-6),---.-,6,栗東,2022100403,1213,レイデオロ,ウォーターピオニー,ヴィクトワールピサ,-0.1191465069375655,8,-0.2666359697456072,1,-0.7790434837809996,5,78.8,49.1,62.0,2
12,8,13,モアリジット,牡5,58.0,幸,西村,498(-4),---.-,9,栗東,2021104832,732,ロードカナロア,インフレキシビリティ,Scat Daddy,0.540544629525638,6,-0.3028470281479227,6,-0.2060542436591539,6,46.7,48.6,48.6,4
13,8,14,マトラコーニッシュ,牝4,56.0,西塚,池添,428(-4),---.-,7,栗東,2022102500,1200,サートゥルナーリア,エアマスカット,ジャングルポケット,-0.6409030643990312,11,-0.5703291603839563,9,-0.8776518225342981,9,44.6,45.3,45.1,9
