,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,ファランギーナ,牡3,57.0,戸崎圭,福永,418(-4),---.-,1,栗東,2023105686,5386,ラブリーデイ,サヴァニャン,ディープインパクト,0.977174322467688,3,-0.4755920444102508,7,0.3461073427814073,7,51.3,46.7,55.7,3
1,1,2,ボンボンベイビー,牡3,57.0,吉田豊,矢作,438(-2),---.-,7,栗東,2023105371,733,コントレイル,バイバイベイビー,Galileo,-0.9891049018724132,14,-1.149088129946133,9,-0.4491786523398579,9,46.9,46.6,49.5,8
2,2,3,ベルトラッキ,牡3,54.0,▲上里,加藤士,472(0),---.-,2,美浦,2023105552,1217,デクラレーションオブウォー,ロマンチックキス,ルーラーシップ,1.681493173318941,1,0.5156765100510378,1,0.0235551763346482,2,81.6,57.3,81.5,1
3,2,4,オープンザパンドラ,牡3,57.0,菊沢,小椋,444(-14),---.-,4,栗東,2023105573,1161,エピファネイア,アドマイヤパンドラ,ディープインパクト,0.5738424270419823,4,0.0854033066177706,6,-0.3832438589349273,10,51.9,46.5,54.6,4
4,3,5,ホグホグナナハン,牡3,57.0,丸田,小笠,460(-2),---.-,12,美浦,2023104610,1117,オルフェーヴル,クリッピングエリア,シンボリクリスエス,-0.195183292589212,7,-0.5444986479232742,12,-0.3974735410009422,6,43.8,46.7,41.3,16
5,3,6,ドナディクオーレ,牝3,55.0,津村,上原佑,366(0),---.-,5,美浦,2023107136,1092,ブリックスアンドモルタル,ドナアトラエンテ,ディープインパクト,0.087253085067386,5,-0.8968543463600417,8,0.0804721654843697,12,49.7,46.1,53.1,5
6,4,7,クイーンズレイン,牝3,52.0,▲石神道,林,442(-10),---.-,3,美浦,2023103686,1209,エピファネイア,クィーンチャーム,キングカメハメハ,-0.7322325534671477,11,-1.0250249532941424,2,-0.374502381146692,1,55.8,85.8,56.8,2
7,4,8,リバーブレーション,牡3,57.0,杉原,清水英,430(-10),---.-,16,美浦,2023102377,1135,マインドユアビスケッツ,シュエットヌーベル,スマートファルコン,-0.3128942918340165,8,-0.6025803012397655,13,-0.4306975262014365,3,41.6,51.0,41.9,12
8,5,9,レディホークダイヤ,牝3,55.0,北村宏,田中剛,442(+2),---.-,13,美浦,2023107349,1043,サトノダイヤモンド,レディホークフィールド,Hawk Wing,-0.7455038216109322,12,-0.8996101528929773,14,-0.4851214883340413,8,41.6,46.6,41.4,14
9,5,10,ヨーゼフ,牡3,57.0,武藤,戸田,506(-4),---.-,15,美浦,2023107061,1169,レイデオロ,ジョディー,ダイワメジャー,-0.6672546570893223,10,-0.4057071218247989,16,-0.8317645526599916,14,40.6,45.9,41.4,15
10,6,11,オーケーグリット,牡3,54.0,▲石田,相沢,464(-2),---.-,11,美浦,2023101880,1203,ハービンジャー,ヒアーズトウショウ,フジキセキ,-0.568427706373202,9,-1.0296026753277003,10,-0.2591026696129828,11,45.5,46.2,45.5,11
11,6,12,ミサダメキメル,牡3,57.0,柴田大,高橋文,450(+2),---.-,10,美浦,2023106612,1009,アメリカンペイトリオット,クモリナキマナコ,エピファネイア,0.0039901833908033,6,-0.3607129299211562,5,-0.4105075648852435,4,53.7,49.0,48.8,9
12,7,13,シンショク,牡3,57.0,田辺,尾形,472(-4),---.-,6,美浦,2023100558,1075,フィエールマン,シャインプレジャー,アグネスデジタル,-0.960043419303344,13,-1.107073872552223,4,-0.4633888932548801,16,53.9,45.3,49.8,7
13,7,14,トップオブザキング,牡3,57.0,原,蛯名利,488(+2),---.-,14,美浦,2023103034,1184,ワールドプレミア,メジャーメアリー,ブライアンズタイム,-1.276039521940196,15,-1.05396428300496,15,-0.721866676562282,13,40.9,46.1,41.7,13
14,8,15,クライングナウ,牡3,57.0,坂井,斎藤誠,508(-10),---.-,9,美浦,2023103697,1163,サトノダイヤモンド,スマイルワールド,キングカメハメハ,-1.4682096568614336,16,-1.0406206384182,11,-0.8637068821735535,15,45.4,45.5,45.7,10
15,8,16,アイスアイスベイビ,牡3,57.0,木幡巧,岩戸,462(-2),---.-,8,美浦,2023102937,1162,ゴールドシップ,ブライテストリング,ダノンシャンティ,1.1056995325833383,2,-0.1093805779353272,3,0.137159434210746,5,55.7,48.8,51.4,6
