,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,ゴーゴーパンチ,牡3,52.0,▲石田,天間,486(-8),---.-,**,美浦,2023103931,01203,タリスマニック,ユーセイクインサー,タイムパラドックス,1.0345082247230826,10,-0.08764301339372876,10,0.15961747561757078,8
1,2,2,パッカパッカブー,セ5,55.0,▲佐藤,堀内,488(0),---.-,**,美浦,2021102969,01207,ハービンジャー,オツウ,ハーツクライ,1.8966362931918557,3,0.07323282153865056,3,0.15961747561757078,8
2,2,3,シューティングガイ,牡3,55.0,津村,斎藤誠,492(-6),---.-,**,美浦,2023102659,01092,マジェスティックウォリアー,キナウ,キングカメハメハ,2.204339731323958,1,0.13065126008802563,1,0.15961747561757078,8
3,3,4,エアトベーレ,牝3,53.0,嶋田,手塚久,418(0),---.-,**,美浦,2023100964,01134,レイデオロ,マウレア,ディープインパクト,1.0345082247230826,10,-0.08764301339372876,10,0.15961747561757078,8
4,3,5,ユキノグラス,牡3,55.0,大野,小笠,454(-6),---.-,**,美浦,2023102646,01096,サンダースノー,ウォーターメアヌイ,ダイワメジャー,1.0345082247230826,10,-0.08764301339372876,10,0.15961747561757078,8
5,4,6,ルシャルムール,セ4,58.0,原,大竹,460(0),---.-,**,美浦,2022105863,01184,ルヴァンスレーヴ,ルプレジール,ゴールドアリュール,1.0345082247230826,10,-0.08764301339372876,10,0.15961747561757078,8
6,4,7,エウテルペ,牝4,53.0,▲石神道,和田郎,466(+8),---.-,**,美浦,2022104881,01209,アドマイヤマーズ,ソーメニーウェイズ,Sightseeing,1.0345082247230826,10,-0.08764301339372876,10,0.15961747561757078,8
7,5,8,ヤングアメリカンズ,牡4,58.0,三浦,加藤征,498(-8),---.-,**,美浦,2022104311,01122,ホッコータルマエ,テツナゴオ,ハーツクライ,1.0345082247230826,10,-0.08764301339372876,10,0.15961747561757078,8
8,5,9,エスシーレイジュ,牝3,53.0,杉原,松山,440(-12),---.-,**,美浦,2023104309,01135,シャンハイボビー,チュロ,キングヘイロー,1.0345082247230826,10,-0.08764301339372876,10,0.15961747561757078,8
9,6,10,カフェロワドール,牡4,58.0,小崎,嘉藤,494(0),---.-,**,美浦,2022102846,01152,ロードカナロア,ラフレーズカフェ,マンハッタンカフェ,2.065952776093928,2,0.10482781484754942,2,0.15961747561757078,8
10,6,11,レッドルイナール,セ4,58.0,北村宏,平岩,476(+8),---.-,**,美浦,2022101438,01043,ブリックスアンドモルタル,ハッピーグラス,ディープインパクト,1.3451250978252256,4,-0.029680918628451822,4,0.15961747561757078,8
11,7,12,コスモシェルベット,牡4,58.0,武藤,水野,440(+2),---.-,**,美浦,2022106785,01169,マインドユアビスケッツ,ダンサーズブロンド,ゴールドアリュール,1.0345082247230826,10,-0.08764301339372876,10,0.15961747561757078,8
12,7,13,ブリスキー,セ6,58.0,菊沢,堀,474(-4),---.-,**,美浦,2020103389,01161,ハービンジャー,サンデースマイル,サンデーサイレンス,1.0345082247230826,10,-0.08764301339372876,10,0.15961747561757078,8
13,8,14,ベルチュガダン,牝4,56.0,丸山,矢嶋,470(-10),---.-,**,美浦,2022104987,01127,フィエールマン,ファージンゲール,Shackleford,1.0345082247230826,10,-0.08764301339372876,10,0.15961747561757078,8
14,8,15,エコロストーム,牝3,53.0,荻野極,千葉,458(0),---.-,**,美浦,2023102405,01160,ロージズインメイ,ファミリーズオナー,デュランダル,1.0345082247230826,10,-0.08764301339372876,10,0.15961747561757078,8
