,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,ヒメヒオウギ,牝3,51.0,★河原田,中竹,390(+4),---.-,5,栗東,2023106148,1204,コントレイル,クロコスミア,ステイゴールド,0.7570846557978304,2,0.0407127561802702,6,-0.1555345625631621,8,51.5,47.0,49.5,6
1,1,2,デイズインザサン,牝3,52.0,▲大久保,小野,470(+6),---.-,11,美浦,2023101812,1194,シルバーステート,スパークルキャット,ダンスインザダーク,-0.6920043175671942,12,-0.94178945125232,11,-0.3694222602729919,10,43.9,45.6,44.4,11
2,2,3,トリニタリオ,牡3,57.0,横山和,勢司,434(+6),---.-,1,美浦,2023106438,1140,ウインブライト,コスモチョコレイ,ブラックタイド,0.6202257345341426,4,0.1014579766465434,1,-0.2717119333490586,1,83.4,84.0,59.3,3
3,2,4,ホウショウリュウ,牡3,57.0,岩田康,本間,470(+6),---.-,15,美浦,2023101598,5203,アメリカンペイトリオット,ローズカスケイド,シンボリクリスエス,-1.1702789029374636,16,-1.121295354374401,13,-0.530513049578146,15,43.1,44.8,42.4,14
4,3,5,コワンニシタガウ,牡3,57.0,武豊,庄野,486(+10),---.-,2,栗東,2023104216,666,スワーヴリチャード,ロウカム,Distorted Humor,-1.1065356583545831,15,-0.9291123715659814,5,-0.6142224811398576,11,52.4,45.4,50.3,5
5,3,6,アウェイクネス,牝3,53.0,△鷲頭,前川,438(0),---.-,16,栗東,2023110027,1202,Frankel,Waldjagd,Observatory,-1.0651865541250425,14,-1.1411156085379217,15,-0.458070396297526,14,42.9,45.1,43.9,12
6,4,7,スワトウ,牝3,52.0,▲和田陽,牧田,446(+4),---.-,9,栗東,2023103333,1223,アルアイン,インランジェリー,エンパイアメーカー,0.4553657381564127,6,-0.4827883241576176,9,-0.0007035322733376,4,47.4,48.9,47.8,8
7,4,8,マイネルディザイア,牡3,57.0,丹内,室井,436(+4),---.-,14,美浦,2023106476,1091,イスラボニータ,マイネエスポワール,アグネスデジタル,-0.8784901730795454,13,-1.3159306576555374,14,-0.242108950302455,3,43.1,52.4,45.3,10
8,5,9,ヴァールザーゲン,牝3,52.0,▲小林美,松山,412(+10),---.-,10,美浦,2023106454,1206,サトノダイヤモンド,トゥールドマジ,スクリーンヒーロー,0.6917014713673177,3,-0.233073317436288,8,-0.0217518676862773,13,48.1,45.3,47.5,9
9,5,10,ボーントゥラブユー,牝3,55.0,横山琉,小笠,474(0),---.-,7,美浦,2023106285,1192,コントレイル,フェアエレン,Street Cry,0.6109271112460444,5,-0.7805729610171889,10,0.2743351442413217,16,44.2,44.5,43.4,13
10,6,11,タイセイルビー,牝3,55.0,鮫島駿,千葉,452(0),---.-,13,美浦,2023104679,1157,サトノダイヤモンド,ハーランズワンダー,Awesome Again,0.0142642554678632,8,-0.5628922450861807,12,-0.2026890105139493,9,43.5,45.9,41.8,15
11,6,12,メイショウローゼ,牝3,55.0,吉田隼,本田,416(+10),---.-,3,栗東,2023101938,1095,ロジャーバローズ,メイショウバーズ,タニノギムレット,-0.1617886796903215,10,-0.4409634714599049,2,-0.3795090760503097,5,55.4,48.4,61.3,2
12,7,13,ユマハム,牡3,56.0,☆舟山,田中博,466(-2),---.-,6,美浦,2023103372,1221,コントレイル,カルティカ,Rainbow Quest,0.1594957719205443,7,-0.2694492057412386,3,-0.3031315929192962,2,53.9,61.6,80.7,1
13,7,14,ワダツミ,牝3,55.0,川又,笹田,446(0),---.-,8,栗東,2023102669,1166,セイウンコウセイ,エステフ,Sadler's Wells,2.0594747173775128,1,0.1748164948404773,7,0.5048617632040224,12,50.8,45.4,49.3,7
14,8,15,エイシンリーガル,牡3,57.0,松本,高橋康,468(-2),---.-,12,栗東,2023105537,1191,ルーラーシップ,エーシンリジル,フレンチデピュティ,-0.2745249698068972,11,-0.741641868818838,16,-0.2559748920354933,7,42.9,47.4,41.8,16
15,8,16,ニシノマルガリート,牡3,57.0,横山武,鈴木伸,438(+2),---.-,4,美浦,2023104713,1170,フィレンツェファイア,ポートドラルーン,チチカステナンゴ,-0.0197302003066215,9,-0.5715012461136961,4,-0.2167329534527514,6,53.4,48.1,51.3,4
