,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,,,ウィンターブリーズ,牡2,55.0,戸崎圭,田中博,,---.-,**,美浦,2024106106,05386,ホットロッドチャーリー,アイスパステル,Shackleford,,,,,,
1,,,ウスズミザクラ,牝2,55.0,柴田大,粕谷,,---.-,**,美浦,2024104637,01009,マインドユアビスケッツ,コートゴシップ,ルーラーシップ,,,,,,
2,,,エムアイブレイズ,牡2,55.0,原,青木,,---.-,**,美浦,2024101005,01184,ゴールドシップ,エイシンアポロニア,Dalakhani,,,,,,
3,,,コスモハナミズキ,牝2,55.0,木幡巧,菊川,,---.-,**,美浦,2024103590,01162,ウインブライト,ココ,ロージズインメイ,,,,,,
4,,,シーズザチャンス,牝2,55.0,津村,大和田,,---.-,**,美浦,2024107096,01092,グローリーヴェイズ,レーヌユニヴェール,タイキシャトル,,,,,,
5,,,ニューロファイター,牡2,55.0,坂井,和田勇,,---.-,**,美浦,2024107156,01163,シルバーステート,ストーミーエンブレイス,Circular Quay,,,,,,
6,,,ユイノヘラクレス,牡2,55.0,木幡初,深山,,---.-,**,美浦,2024105474,01153,ホークビル,オマツリオジョウ,エイシンサンディ,,,,,,
7,,,レゾルーティオ,牡2,55.0,北村友,坂口,,---.-,**,栗東,2024106204,01102,サトノクラウン,ヴィレンスクラフト,ダイワメジャー,,,,,,
