,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,ブクブクー,牡3,57.0,望月洵,小栗,462(-8),---.-,12,栗東,2023107528,5666,Yaupon,Vietnam,Violence,0.8089957634615901,8,0.0218833025650432,14,-0.2358758664370333,12,43.2,44.8,42.0,14
1,1,2,ベルアズーロ,牡3,57.0,吉村,西村,544(+4),---.-,9,栗東,2023103168,1216,フィレンツェファイア,パルストリーナ,Medaglia d'Oro,-0.2173253744484672,14,-0.11261694785037,5,-0.2350491539032093,1,52.8,82.1,80.0,1
2,2,3,エクスマウス,牝3,55.0,西塚,茶木,536(-2),---.-,14,栗東,2023110009,1200,Practical Joke,Lighthouse Bay,Speightstown,-0.1115541363440165,12,-0.071539626904065,15,-0.4177909513495532,13,39.9,44.7,41.4,15
3,2,4,ジャスティンゴッホ,牡3,57.0,松山,茶木,486(-6),---.-,5,栗東,2023104887,1126,ヴァンゴッホ,フラワーロック,アッミラーレ,0.9591261920132694,4,0.0429016665147868,7,-0.2450145220003323,15,51.1,43.7,50.9,8
4,3,5,ピコオーバル,牡3,57.0,菱田,秋山,494(+12),---.-,2,栗東,2023102006,1144,シャンハイボビー,ベストファッション,ダンスインザダーク,0.9493016951686404,6,0.0656890088720542,4,-0.4065823262233083,6,53.5,47.7,53.4,3
5,3,6,マーチンゲール,牡3,57.0,団野,斉藤崇,484(+16),---.-,3,栗東,2023102580,1180,シニスターミニスター,ジェセニア,サウスヴィグラス,0.4814684064070723,10,0.0218833025650432,2,-0.5236832699169646,5,53.8,49.3,52.8,5
6,4,7,クロワール,牡3,55.0,△田山,鈴木孝,470(+6),---.-,11,栗東,2023104391,1220,ロードカナロア,シェルエメール,ジャングルポケット,-0.2977122721808035,16,-0.11261694785037,11,-0.3056873580465641,16,47.5,43.4,43.4,13
7,4,8,カミノトップワン,牡3,55.0,△柴田裕,千田,480(+6),---.-,15,栗東,2023109054,1212,ウインバリアシオン,アイーダ,デビッドジュニア,0.0748976007993763,11,-0.0583234451244396,13,-0.3426495735583789,9,43.4,45.7,44.1,12
8,5,9,ピエナオルカ,牡3,57.0,幸,谷,474(-4),---.-,1,栗東,2023100715,732,ゴールドドリーム,ピエナアイリス,スウェプトオーヴァーボード,0.8693820041176344,7,0.0656890088720542,1,-0.476809982853773,3,79.5,58.9,56.5,2
9,5,10,ラッキーストーン,牡3,57.0,田口,高柳大,492(0),---.-,7,栗東,2023110018,1208,Lucky Vega,Sapphire Ring,Galileo,-0.1841800010020507,13,-0.0980409462953119,9,-0.3037486253618011,14,50.6,44.2,50.2,9
10,6,11,ロンバルドシチー,牡3,57.0,松若,西園翔,452(+10),---.-,8,栗東,2023105112,1154,ルヴァンスレーヴ,アルポルト,ルーラーシップ,1.230814669367,1,0.0656890088720542,10,-0.1592090415042046,10,50.1,45.1,48.2,10
11,6,12,フルドフォルク,牡3,57.0,加藤,庄野,484(+6),---.-,13,栗東,2023101491,1156,アルアイン,ブライトエルフ,ブライアンズタイム,1.229973127756648,2,0.0517832964423219,8,-0.0666218658653174,8,50.9,45.9,51.7,7
12,7,13,バチラ,牡3,57.0,Ｍデムーロ,須貝,474(+4),---.-,10,栗東,2023104937,5212,バゴ,ハッピージュエル,リンカーン,1.1268357204876496,3,0.0429016665147868,12,-0.0976434921018417,11,47.3,45.0,47.1,11
13,7,14,キープシャイニング,牡3,57.0,西村淳,長谷川,492(-4),---.-,4,栗東,2023103163,1171,イスラボニータ,ダイヤモンドギフト,ブライアンズタイム,-0.2557747178989069,15,-0.0980409462953119,6,-0.3666608955253437,2,51.9,60.6,53.3,4
14,8,15,キングズテイル,牡3,57.0,角田和,岡田,470(0),---.-,6,栗東,2023105124,1186,リオンディーズ,スマートオランプ,キングズベスト,0.9587088558535604,5,0.0656890088720542,3,-0.398315992335374,4,53.7,52.5,52.1,6
15,8,16,ハギノクリーガー,牡3,54.0,▲森田,荒川,414(+6),---.-,16,栗東,2023101883,1222,ハギノハイブリッド,ハギノフェリス,ディープインパクト,0.603769292948522,9,-0.0182515657048601,16,-0.1468533170969043,7,30.7,46.5,32.9,16
