,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,ハスカップジャム,牝3,54.0,☆長浜,中舘,416(-6),---.-,9.0,美浦,2023104347,1214,フィエールマン,フライアゲイン,Fusaichi Pegasus,1.916005096326217,1,0.0103660166892632,5,0.0665337246234729,5,47.5,49.7,47.9,5
1,2,2,マスカルポーネ,牝3,54.0,☆舟山,水野,442(-4),---.-,6.0,美浦,2023104632,1221,リオンディーズ,ベーリーオクルス,キズナ,0.8108485300228361,7,0.0,8,-0.2685404775980943,6,44.8,48.1,43.5,11
2,3,3,テリオスリコ,牝3,55.0,古川吉,松下,440(-2),---.-,11.0,栗東,2023101796,1015,ルーラーシップ,ブライトロージー,ハーツクライ,-0.1759663104383515,11,-0.0103692549006235,12,-0.4648942825537768,10,41.6,41.8,43.1,12
3,4,4,ペガサスウィンド,牝3,55.0,鮫島駿,宮地,500(+2),---.-,2.0,栗東,2023100609,1157,マインドユアビスケッツ,ペガサスハーツ,ハーツクライ,0.2563290879071737,9,0.0,3,-0.9171475254335822,7,55.7,46.2,51.8,4
4,5,5,ラショナルポイント,牝3,55.0,横山武,大竹,478(+4),---.-,3.0,美浦,2023105268,1170,ダノンキングリー,ウィラビーオーサム,Awesome Gambler,-0.5423668582881794,12,-0.0140215476198475,1,-0.5560695778342463,2,77.5,57.1,52.4,3
5,5,6,ルージュリヴィエラ,牝3,55.0,横山和,嘉藤,410(-2),---.-,8.0,美浦,2023105608,1140,ニューイヤーズデイ,ビキニパレード,キングカメハメハ,1.124984897958759,3,0.0,7,0.098896706294518,1,45.6,75.4,45.7,6
6,6,7,ティナンヴァランタ,牝3,55.0,黛,森一,450(+4),---.-,,美浦,2023103771,1109,ニューイヤーズデイ,グルファクシー,ハービンジャー,0.980007171231042,5,0.0,2,-0.0706799905585219,11,55.8,41.6,60.2,2
7,6,8,ルージュボニート,牝3,55.0,丹内,高柳瑞,446(+2),---.-,5.0,美浦,2023106623,1091,キズナ,レッドディオーサ,キングカメハメハ,1.1169335607362592,4,0.0,9,0.0894792654071628,4,43.8,55.5,43.7,10
8,7,9,ギンケイ,牝3,55.0,横山琉,中川,470(+2),---.-,1.0,美浦,2023103024,1192,ルヴァンスレーヴ,スターインパルス,サウスヴィグラス,1.3731317109522798,2,0.0,4,0.3891476147053028,3,54.4,56.9,77.4,1
9,7,10,ウォータースパウト,牝3,55.0,国分恭,小笠,464(+2),---.-,4.0,美浦,2023105555,1124,ルヴァンスレーヴ,シネマソングス,ハーツクライ,-0.1585978164428798,10,-0.0140215476198475,6,-0.1071848564397265,12,46.5,41.4,45.6,7
10,8,11,ブリスフルイヤー,牝3,52.0,▲小林美,新開,462(+8),---.-,7.0,美浦,2023103570,1206,ニューイヤーズデイ,メイクハッピー,Square Eddie,0.6551662567341014,8,0.0,11,-0.4506380056718925,8,43.1,43.2,43.8,9
11,8,12,ハヤブサブロー,牝3,55.0,吉田隼,高橋忠,432(+2),---.-,10.0,栗東,2023104338,1095,ハービンジャー,ギンザヴィクトリア,ゼンノロブロイ,0.9435942405951516,6,0.0,10,-0.1132712536397125,9,43.8,43.1,44.9,8
