,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,ペイシャヴァルツー,牝4,56.0,井上,吉田,436(0),---.-,8,栗東,2022104216,1151,オーヴァルエース,ペイシャネガノ,サウスヴィグラス,1.4094561753221986,1,0.0209664114139371,2,0.12096686742733,1
1,2,2,パルプフィクション,牝5,56.0,富田,飯田,454(+20),---.-,9,栗東,2021102562,1168,ミッキーアイル,ゴールデンオーラ,ステイゴールド,0.5604266610179225,2,-0.1380734735925764,6,0.0034161424568642,2
2,3,3,ディーエスショウマ,牡4,58.0,菱田,橋口,468(+10),---.-,7,栗東,2022100226,1144,ディスクリートキャット,ティアップアーリー,ゴールドアリュール,-1.2022787742827763,12,-0.1974783185774555,10,-0.5708181014923687,12
3,4,4,ザウリ,牡7,58.0,松山,森田,530(-2),---.-,3,栗東,2019101399,1126,ビッグアーサー,ディマクコンダ,バチアー,-0.2465010766010632,11,-0.1533879949682494,8,-0.2739412293905245,9
4,5,5,リクエイ,牝4,56.0,長岡,竹内,424(-2),---.-,11,美浦,2022101398,1142,フォーウィールドライブ,カクシアジ,スウェプトオーヴァーボード,-0.1418482006343816,9,-0.1919255878888474,9,-0.1885570616247678,7
5,5,6,ローズカリス,牝3,53.0,田口,大橋,424(+2),---.-,2,栗東,2023102991,1208,カリフォルニアクローム,シェーンリート,ヘニーヒューズ,0.4732046409121486,3,-0.1494078158951992,7,-0.0147617278709291,3
6,6,7,ジャスパーソレイユ,牡4,58.0,川田,森秀,482(0),---.-,6,栗東,2022110111,1088,Mitole,Hen Escape,ヘニーヒューズ,-0.114350866799923,8,-0.0755734043149081,4,-0.3203439101937495,11
7,6,8,パールフロント,牝4,56.0,高杉,寺島,538(+4),---.-,4,栗東,2022102427,1213,デクラレーションオブウォー,マーキークラブ,クロフネ,0.3929513134017401,5,0.025865100044954,1,-0.2579234804977884,8
8,7,9,アストラカ,セ5,58.0,幸,石坂,488(0),---.-,10,栗東,2021100639,732,ドレフォン,アカカホール,ダイワメジャー,0.0675730848305092,6,-0.2182907857684591,11,-0.079579801776939,5
9,7,10,セールヴォラン,牡5,58.0,松若,北出,462(-2),---.-,5,栗東,2021101057,1154,グァンチャーレ,スカイシーアキラ,Swiss Spirit,0.0121344820750423,7,-0.0755734043149081,4,-0.2739412293905245,9
10,8,11,ブルーノート,牡7,58.0,藤懸,梅田,512(+4),---.-,12,栗東,2019100871,1138,コパノリッキー,ハニードント,クロフネ,-0.1954326308796759,10,-0.2983177272540073,12,-0.0784854064516081,4
11,8,12,ゴールデンバランス,牡3,55.0,西村淳,杉山晴,522(-8),---.-,1,栗東,2023105367,1171,レイデオロ,ゴールデンフレアー,Medaglia d'Oro,0.4300466194185453,4,-0.070149283904192,3,-0.1272390312979447,6
