,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,ムーンリットアイル,牝3,53.0,西村淳,武英,452(+2),---.-,1,栗東,2023107269,1171,ミッキーアイル,ムーングロウ,Nayef,0.8171060676990491,1,0.1289161317318228,3,-0.1885684314447324,8,51.9,46.1,50.2,5
1,2,2,コヒロ,牝4,53.0,▲川端,羽月,394(+4),---.-,12,栗東,2022100087,1195,ルヴァンスレーヴ,アカカホール,ダイワメジャー,-0.5182203440344476,11,-0.8476184862946087,12,-0.7061093207842312,12,34.0,42.5,33.8,12
2,3,3,ペンテリコン,牝4,53.0,▲森田,武幸,484(+2),---.-,5,栗東,2022104644,1222,シルバーステート,イルーシヴハピネス,Frankel,0.1480913614405323,7,-0.318731030142983,7,-0.4712217403672727,4,49.0,51.4,48.1,7
3,4,4,ペガサスノース,牝4,54.0,△柴田裕,高柳大,496(-2),---.-,6,栗東,2022101053,1212,ロードカナロア,マリンフェスタ,サクラバクシンオー,0.6869105166272347,2,-0.3136004643867275,9,-0.0440526057762758,3,48.7,51.6,49.0,6
4,5,5,ラブカムーン,牝5,56.0,藤懸,千田,468(-8),---.-,10,栗東,2021106586,1138,アドマイヤムーン,ラブカーナ,オース,0.6419080770746756,3,-0.4610627869884129,5,0.0028149345286524,5,51.3,48.7,52.6,4
5,5,6,ユメシバイ,牝4,56.0,Ｍデムーロ,松永幹,462(+2),---.-,9,栗東,2022103880,5212,ディスクリートキャット,ファートゥア,エピファネイア,0.3039133357105593,4,0.0023286028569565,8,-0.5270982199106418,10,48.8,42.7,44.2,11
6,6,7,アカウフリューゲル,牝3,53.0,富田,清水久,516(+24),---.-,2,栗東,2023105438,1168,キタサンブラック,ラヴバインド,ショウナンカンプ,-0.9842157002642122,12,-1.35383395126475,10,-0.7938458551093875,7,48.0,46.5,45.5,9
7,6,8,ヒットザグラウンド,牝4,56.0,団野,四位,456(+6),---.-,7,栗東,2022102406,1180,ファインニードル,ジェントルヴァウ,Broken Vow,0.0912401075078555,8,-0.3901948007758002,2,-0.4764767869152064,9,53.9,45.7,52.7,3
8,7,9,エピッククイーン,牝3,53.0,吉村,中内田,444(+16),---.-,8,栗東,2023106999,1216,エピファネイア,コスモポリタンクイーン,Dubawi,0.2481864463714455,5,-0.884696014350822,6,-0.0735992844640133,11,51.1,42.5,44.6,10
9,7,10,ジャンヌローサ,牝5,56.0,高杉,井上,452(+6),---.-,4,栗東,2021103488,1213,イスラボニータ,オルレアンローズ,ベーカバド,0.0864219007709766,9,-0.6889910250976412,4,-0.3125778897144141,6,51.9,47.8,47.6,8
10,8,11,ピリカサンライズ,牝4,56.0,菱田,牧浦,446(-4),---.-,11,栗東,2022105458,1144,サトノクラウン,Pirika,Monsun,-0.1568774120660472,10,-1.0553549449003006,11,-0.3010861082816818,1,36.4,79.1,76.5,1
11,8,12,ミトノリン,牝3,53.0,松若,前川,478(+6),---.-,3,栗東,2023105185,1154,アメリカンペイトリオット,ツルマルサンチャン,ディープインパクト,0.1796845150821093,6,-0.492271602312014,1,-0.348580364032647,2,75.0,55.5,55.2,2
