,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,ホークフィールド,牡5,60.0,高田,武英,494(+4),栗東,2021105004,01046,キズナ,カンビーナ,Hawk Wing
1,2,2,ルドヴィクス,牡8,60.0,上野,久保田,518(0),美浦,2018105213,01087,モーリス,ピーチブローフィズ,シンボリクリスエス
2,3,3,ウォーターリーダー,牡6,60.0,難波,藤野,452(+2),栗東,2020100948,01066,ルーラーシップ,ウォーターラボ,マンハッタンカフェ
3,4,4,サルサロッサ,牝7,58.0,伴,高柳瑞,456(+4),美浦,2019103100,01149,エスケンデレヤ,ノバラ,マンハッタンカフェ
4,5,5,ヒットアンドロール,牡5,60.0,森一,田中勝,468(+2),美浦,2021104974,01139,ブリックスアンドモルタル,エオリアンハープ,キングカメハメハ
5,5,6,トゥラッタッタ,牡5,60.0,石神深,新開,478(+6),美浦,2021102973,01059,デクラレーションオブウォー,クイーンマザー,ハーツクライ
6,6,7,ロードリベラシオン,牡4,57.0,▲坂口,尾形,512(+10),美浦,2022102821,01211,ダノンバラード,レディシアトル,エンパイアメーカー
7,6,8,ジーティーオウジャ,セ5,57.0,▲水沼,石栗,522(+10),美浦,2021104943,01201,ルーラーシップ,アラドヴァル,シンボリクリスエス
8,7,9,マイネルメサイア,牡7,60.0,五十嵐,水野,490(+4),美浦,2019100788,01069,ゴールドシップ,マイネソルシエール,ロージズインメイ
9,7,10,テイエムエメラルド,牝8,58.0,小野寺,小椋,464(+4),栗東,2018102822,01123,ロードカナロア,ヒミノダンス,ダンスインザダーク
10,8,11,フレッチア,牡11,60.0,草野,木村,496(-4),美浦,2015104699,01113,Dansili,ヴィアメディチ,Medicean
11,8,12,シーク,セ4,59.0,小牧加,角田,536(+4),栗東,2022100785,01196,キズナ,セレブラール,ボストンハーバー
