,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank
0,1,1,サイモンコーラル,牝6,56.0,柴田裕,羽月,470(0),栗東,2020100629,01212,ビーチパトロール,オールドフレイム,ゼンノロブロイ,-2.3098376114325125,13
1,1,2,オカメノコイ,牝4,55.0,丸山,小笠,470(-4),美浦,2022106698,01127,パイロ,クレオール,チチカステナンゴ,-1.665831562839574,10
2,2,3,タマモナポリ,牝5,56.0,荻野琢,河嶋,458(-12),栗東,2021106177,01112,カレンブラックヒル,タマモリド,ワイルドラッシュ,-1.9942956863037276,12
3,2,4,ナリタヒカリ,牝4,55.0,国分恭,荒川,428(-10),栗東,2022102739,01124,ルヴァンスレーヴ,ナリタモード,ナリタセンチュリー,-2.9932176936765673,16
4,3,5,ステアハート,牝4,55.0,田山,新谷,482(+4),栗東,2022105385,01220,Gun Runner,スピーチ,Mr Speaker,-0.004118893423872866,2
5,3,6,ステラスプレンダー,牝5,56.0,小沢,石坂,452(0),栗東,2021105604,01185,ロードカナロア,スクールミストレス,Equal Stripes,-1.8263665916113565,11
6,4,7,スマートプレシャス,牝5,56.0,松若,中村,516(-12),栗東,2021103939,01154,シャンハイボビー,スマートブローラ,スマートファルコン,-2.706234077565559,15
7,4,8,エルフストラック,牝5,56.0,丹内,中村,488(-4),栗東,2021105616,01091,カリフォルニアクローム,スペルオンミー,ダイワメジャー,-1.0836524228508633,6
8,5,9,レディゴディヴァ,牝4,55.0,鮫島駿,小崎,434(-4),栗東,2022106851,01157,ルヴァンスレーヴ,カヒリ,キングカメハメハ,0.029597321130669287,1
9,5,10,レーヴドレフォン,牝5,56.0,吉田隼人,矢作,478(-2),栗東,2021105895,01095,ドレフォン,レーヴドリーブ,オルフェーヴル,-1.4524205959441598,9
10,6,11,ヴィリアリート,牝4,55.0,浜中,西村,530(-18),栗東,2022105853,01115,ナダル,メリーウィドウ,ゴールドアリュール,-0.4966133336788464,4
11,6,12,コスモマルーン,牝6,56.0,菊沢,土田,472(-2),美浦,2020105350,01161,ロージズインメイ,コスモキララ,タマモクロス,-1.2935270642549008,7
12,7,13,プウスカンドゥール,牝6,56.0,中井,坂口,462(+2),栗東,2020104791,01141,シャンハイボビー,トレノトマト,デヒア,-2.453879250166669,14
13,7,14,ユウェンタース,牝4,55.0,西塚,宮,476(-10),栗東,2022103515,01200,マインドユアビスケッツ,シグルーン,アイルハヴアナザー,-0.4650781217944144,3
14,8,15,ブルーペクトライト,牝6,56.0,鷲頭,宮地,494(+4),栗東,2020103556,01202,サトノダイヤモンド,ピースエンブレム,ウォーエンブレム,-1.3531617289637237,8
15,8,16,ドゥラリス,牝4,55.0,斎藤,吉岡,526(0),栗東,2022102885,01178,ドゥラメンテ,クードメイトル,ヴィクトワールピサ,-1.0626718053936113,5
