index,着順,race_type,course_len,ground_state,class,peds_0,peds_1,peds_2,peds_3,peds_4,peds_5,peds_6,peds_7,peds_8,peds_9,peds_10,peds_11,peds_12,peds_13,peds_14,peds_15,peds_16,peds_17,peds_18,peds_19,peds_20,peds_21,peds_22,peds_23,peds_24,peds_25,peds_26,peds_27,peds_28,peds_29,peds_30,peds_31,peds_32,peds_33,peds_34,peds_35,peds_36,peds_37,peds_38,peds_39,peds_40,peds_41,peds_42,peds_43,peds_44,peds_45,peds_46,peds_47,peds_48,peds_49,peds_50,peds_51,peds_52,peds_53,peds_54,peds_55,peds_56,peds_57,peds_58,peds_59,peds_60,peds_61
201910010305,6,芝,1800,良,未勝利,アイルハヴアナザー,ビエンナーレ,Flower Alley,Arch's Gal Edith,ステイゴールド,フォーカルプレーン,Distorted Humor,プリンセスオリビア,Arch,Force Five Gal,サンデーサイレンス,ゴールデンサッシュ,スプレンディドモーメント,ダイナフォーカス,フォーティナイナー,Danzig's Beauty,Lycius,Dance Image,Kris S.,Aurora,Pleasant Tap,Last Cause,Halo,Wishing Well,ディクタス,ダイナサッシュ,Storm Bird,Racquette,ロイヤルスキー,ヤクモペンダス,Mr. Prospector,File,Danzig,Sweetest Chant,Mr. Prospector,Lypatia,Sadler's Wells,Diamond Spring,Roberto,Sharp Queen,Danzig,Althea,Pleasant Colony,Never Knock,Caucasus,Last Bird,Hail to Reason,Cosmah,Understanding,Mountain Flower,Sanctus,Doronic,ノーザンテースト,ロイヤルサッシュ,Northern Dancer,South Ocean,Ballymore,Arctic Melody,Raja Baba,Coz o'Nijinsky,ステューペンダス,ヤクモヒサコ
201910010305,7,芝,1800,良,未勝利,タートルボウル,ファモーザ,Dyhim Diamond,Clara Bow,サンデーサイレンス,ボーンフェイマス,Night Shift,Happy Landing,Top Ville,Kamiya,Halo,Wishing Well,Exuberant,First One Holme,Northern Dancer,Ciboulette,Homing,Laughing Goddess,High Top,Sega Ville,Kalamoun,Shahinaaz,Hail to Reason,Cosmah,Understanding,Mountain Flower,What a Pleasure,Out in the Cold,Noholme Atoll,Beautiful Miss,Nearctic,Natalma,Chop Chop,Windy Answer,Habitat,Heavenly Thought,Green God,Gay Baby,Derring-Do,Camenae,Charlottesville,La Sega,ゼダーン,Khairunissa,ヴェンチア,Cherry,Turn-to,Nothirdchance,Cosmic Bomb,Almahmoud,Promised Land,Pretty Ways,Montparnasse,Edelweiss,Bold Ruler,Grey Flight,Beau Purple,Articana,Noholme,Merry Minx,The Pie King,Miss Cinderella
201910010305,8,芝,1800,良,未勝利,オルフェーヴル,カルマート,ステイゴールド,オリエンタルアート,シンボリクリスエス,キープクワイエット,サンデーサイレンス,ゴールデンサッシュ,メジロマックイーン,エレクトロアート,Kris S.,Tee Kay,エアジハード,ビーサイレント,Halo,Wishing Well,ディクタス,ダイナサッシュ,メジロティターン,メジロオーロラ,ノーザンテースト,グランマスティーヴンス,Roberto,Sharp Queen,Gold Meridian,Tri Argo,サクラユタカオー,アイシーゴーグル,サンデーサイレンス,グローバルダイナ,Hail to Reason,Cosmah,Understanding,Mountain Flower,Sanctus,Doronic,ノーザンテースト,ロイヤルサッシュ,メジロアサマ,シエリル,リマンド,メジロアイリス,Northern Dancer,Lady Victoria,Lt. Stevens,Dhow,Hail to Reason,Bramalea,Princequillo,Bridgework,Seattle Slew,Queen Louie,Tri Jet,Hail Proudly,テスコボーイ,アンジェリカ,ロイヤルスキー,シャダイアイバー,Halo,Wishing Well,ノーザンテースト,グローブターフ
201910010305,9,芝,1800,良,未勝利,メイショウサムソン,ウォータームージカ,オペラハウス,マイヴィヴィアン,フレンチデピュティ,カパルアベイ,Sadler's Wells,Colorspin,ダンシングブレーヴ,ウイルプリンセス,Deputy Minister,Mitterand,サンデーサイレンス,カパルア,Northern Dancer,Fairy Bridge,High Top,Reprocolor,Lyphard,Navajo Princess,サンプリンス,エール,Vice Regent,Mint Copy,Hold Your Peace,Laredo Lass,Halo,Wishing Well,Sadler's Wells,Proud Pattie,Nearctic,Natalma,Bold Reason,Special,Derring-Do,Camenae,Jimmy Reppin,Blue Queen,Northern Dancer,Goofed,Drone,Olmec,Princely Gift,Costa Sola,フォルティノ,ガーネツト,Northern Dancer,Victoria Regina,Bunty's Flight,Shakney,Speak John,Blue Moon,Bold Ruler,Fortunate Isle,Hail to Reason,Cosmah,Understanding,Mountain Flower,Northern Dancer,Fairy Bridge,Noble Commander,Jambo
201910010305,10,芝,1800,良,未勝利,アイルハヴアナザー,アフロディシアス,Flower Alley,Arch's Gal Edith,ジャングルポケット,パワーオブラブ,Distorted Humor,プリンセスオリビア,Arch,Force Five Gal,トニービン,ダンスチャーマー,サンデーサイレンス,グッドルックス,フォーティナイナー,Danzig's Beauty,Lycius,Dance Image,Kris S.,Aurora,Pleasant Tap,Last Cause,カンパラ,Severn Bridge,Nureyev,Skillful Joy,Halo,Wishing Well,Mr. Prospector,Lady's Secret,Mr. Prospector,File,Danzig,Sweetest Chant,Mr. Prospector,Lypatia,Sadler's Wells,Diamond Spring,Roberto,Sharp Queen,Danzig,Althea,Pleasant Colony,Never Knock,Caucasus,Last Bird,Kalamoun,State Pension,Hornbeam,Priddy Fair,Northern Dancer,Special,Nodouble,Skillful Miss,Hail to Reason,Cosmah,Understanding,Mountain Flower,Raise a Native,Gold Digger,Secretariat,Great Lady M.
201910010305,11,芝,1800,良,未勝利,ノヴェリスト,オメガリトルスター,Monsun,Night Lagoon,ジャングルポケット,オメガスターライト,Konigsstuhl,Mosella,Lagunas,Nenuphar,トニービン,ダンスチャーマー,ジェニュイン,ダイナスターライト,Dschingis Khan,Konigskronung,Surumu,Monasia,イルドブルボン,Liranga,Night Shift,Narola,カンパラ,Severn Bridge,Nureyev,Skillful Joy,サンデーサイレンス,クルーピアレディー,ノーザンテースト,ネイティブスター,Tamerlane,Donna Diana,Tiepoletto,Kronung,Literat,Surama,Authi,Monacensia,Nijinsky,Roseliere,Literat,Love In,Northern Dancer,Ciboulette,Nebos,Nubia,Kalamoun,State Pension,Hornbeam,Priddy Fair,Northern Dancer,Special,Nodouble,Skillful Miss,Halo,Wishing Well,What Luck,Question d'Argent,Northern Dancer,Lady Victoria,Native Charger,シアンド
201910010305,12,芝,1800,良,未勝利,タイキシャトル,オージーカンパニー,Devil's Bag,ウェルシュマフィン,Catrail,Irish Company,Halo,Ballade,Caerleon,Muffitys,Storm Cat,Tough as Nails,Irish River,バブルカンパニー,Hail to Reason,Cosmah,Herbager,Miss Swapsco,Nijinsky,Foreseer,Thatch,Contrail,Storm Bird,Terlingua,Majestic Light,Hardliner,Riverman,Irish Star,Lyphard,Prodice,Turn-to,Nothirdchance,Cosmic Bomb,Almahmoud,Vandale,Flagette,Cohoes,Soaring,Northern Dancer,Flaming Page,Round Table,Regal Gleam,Forli,Thong,Roan Rocket,Azurine,Northern Dancer,South Ocean,Secretariat,Crimson Saint,Majestic Prince,Irradiate,Buckpasser,Royal Match,Never Bend,River Lady,Klairon,Botany Bay,Northern Dancer,Goofed,Prominer,Euridice
201910010305,13,芝,1800,良,未勝利,メイショウボーラー,レリックレーヌ,タイキシャトル,ナイスレイズ,サンデーサイレンス,カフェドフランス,Devil's Bag,ウェルシュマフィン,Storm Cat,Nice Tradition,Halo,Wishing Well,Danzig,パリスロイヤル,Halo,Ballade,Caerleon,Muffitys,Storm Bird,Terlingua,Search Tradition,Nice Dancing,Hail to Reason,Cosmah,Understanding,Mountain Flower,Northern Dancer,Pas de Nom,Mill Reef,Place d'Etoile,Hail to Reason,Cosmah,Herbager,Miss Swapsco,Nijinsky,Foreseer,Thatch,Contrail,Northern Dancer,South Ocean,Secretariat,Crimson Saint,Nashua,Searching,Kazan,Nice,Turn-to,Nothirdchance,Cosmic Bomb,Almahmoud,Promised Land,Pretty Ways,Montparnasse,Edelweiss,Nearctic,Natalma,Admiral's Voyage,Petitioner,Never Bend,Milan Mill,Kythnos,Etoile de France
201910010305,14,芝,1800,良,未勝利,ヒルノダムール,キョウワセイラン,マンハッタンカフェ,シェアエレガンス,タイキシャトル,キョウワホウセキ,サンデーサイレンス,サトルチェンジ,ラムタラ,メアリーリノア,Devil's Bag,ウェルシュマフィン,シンボリルドルフ,シャープステーブル,Halo,Wishing Well,Law Society,Santa Luciana,Nijinsky,Snow Bride,L'Emigrant,Marie Noelle,Halo,Ballade,Caerleon,Muffitys,パーソロン,スイートルナ,Sharpen Up,Grey Table,Hail to Reason,Cosmah,Understanding,Mountain Flower,Alleged,Bold Bikini,Luciano,Suleika,Northern Dancer,Flaming Page,Blushing Groom,Awaasif,The Minstrel,Suprina,Brigadier Gerard,Marike,Hail to Reason,Cosmah,Herbager,Miss Swapsco,Nijinsky,Foreseer,Thatch,Contrail,Milesian,Paleo,スピードシンボリ,ダンスタイム,エタン,Rocchetta,Grey Sovereign,Good Table
201910010305,15,芝,1800,良,未勝利,ノヴェリスト,アヌエヌエ,Monsun,Night Lagoon,キングカメハメハ,フィールドサンデー,Konigsstuhl,Mosella,Lagunas,Nenuphar,Kingmambo,マンファス,サンデーサイレンス,エンドイットダーリン,Dschingis Khan,Konigskronung,Surumu,Monasia,イルドブルボン,Liranga,Night Shift,Narola,Mr. Prospector,Miesque,ラストタイクーン,Pilot Bird,Halo,Wishing Well,Alydar,Endicotta,Tamerlane,Donna Diana,Tiepoletto,Kronung,Literat,Surama,Authi,Monacensia,Nijinsky,Roseliere,Literat,Love In,Northern Dancer,Ciboulette,Nebos,Nubia,Raise a Native,Gold Digger,Nureyev,Pasadoble,トライマイベスト,Mill Princess,Blakeney,The Dancer,Hail to Reason,Cosmah,Understanding,Mountain Flower,Raise a Native,Sweet Tooth,Roberto,Miss Devereux
