,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,ラエール,牝6,58.0,上野,土田,美浦,2019106851,01087,エイシンフラッシュ ,ビジョナリー ,ディープインパクト 
1,2,2,リードアクトレス,牝4,57.0,小野寺,安達,栗東,2021102654,01123,マジェスティックウォリアー Majestic Warrior(米) ,ブラウンテヌート ,シンボリクリスエス 
2,3,3,ウインメラナイト,牡4,59.0,森一,緒方,栗東,2021106196,01139,ジャスタウェイ ,ウインガーネット ,ヴィクトワールピサ 
3,4,4,バーミリオンクリフ,牡6,60.0,金子,金成,美浦,2019105566,01052,モーリス ,ローザボニータ ,ディープインパクト 
4,5,5,ブレバ,牡5,60.0,田村,中竹,栗東,2020101115,01105,ネロ ,リラコルレオーネ ,アドマイヤベガ 
5,5,6,トゥラッタッタ,牡4,59.0,江田勇,新開,美浦,2021102973,01023,デクラレーションオブウォー ,クイーンマザー ,ハーツクライ 
6,6,7,フォーディアライフ,牡4,59.0,石神深,矢嶋,美浦,2021104770,01059,ドレフォン Drefong(米) ,ディアマイダーリン ,ハーツクライ 
7,6,8,スズノレイライン,牡4,59.0,黒岩,平田,栗東,2021102781,01072,レイデオロ ,ココロノアイ ,ステイゴールド 
8,7,9,アメリカンピース,セ7,60.0,小牧加,音無,栗東,2018110131,01196,Tapit (米) ,La Cloche ,Ghostzapper 
9,7,10,フリーダムレイン,牡4,59.0,中村,高橋一,栗東,2021105792,01101,ミッキーアイル ,マンデラ Mandela(独) ,Acatenango 
10,8,11,スズノイナズマ,セ7,60.0,大江圭,深山,美浦,2018102811,01120,リーチザクラウン ,フローラルウインド ,アグネスタキオン 
11,8,12,フレッチア,牡10,60.0,草野,木村,美浦,2015104699,01113,Dansili ,ヴィアメディチ ,Medicean 
