,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重
202603020202,1,7,12,ウインビギニング,牡3,57.0,松山,0:1:46.0,,1.0,1.5,37.0,,美浦 上原博,496(-4)
202603020202,2,4,7,チェイサー,牡3,54.0,▲佐藤,0:1:46.0,ハナ,5.0,32.9,37.1,,美浦 相沢,420(0)
202603020202,3,7,13,カシマライフウ,牡3,57.0,松岡,0:1:46.7,4,3.0,5.7,37.6,,美浦 伊藤伸,482(+4)
202603020202,4,3,5,イトシサ,牡3,57.0,三浦,0:1:46.8,1/2,2.0,4.3,38.0,,美浦 田中博,514(+2)
202603020202,5,5,9,ロジキセキ,牡3,57.0,田口,0:1:47.3,3,9.0,59.4,38.1,,美浦 新開,482(-6)
202603020202,6,4,6,プロミスライン,牝3,52.0,▲石神道,0:1:47.6,2,4.0,32.8,38.2,,美浦 森一,460(+18)
202603020202,7,8,15,テンカラットレター,牡3,57.0,木幡初,0:1:47.7,1/2,10.0,63.6,38.1,,美浦 本間,460(-4)
202603020202,8,2,3,カミノテイオー,牡3,57.0,木幡巧,0:1:48.0,2,12.0,198.2,38.6,,美浦 奥平,464(-14)
202603020202,9,1,1,ゴールドフリーダム,セ3,57.0,菊沢,0:1:48.1,クビ,7.0,46.0,38.7,,美浦 青木,462(-2)
202603020202,10,2,2,カラクリスピリッツ,牝3,55.0,小林脩,0:1:48.2,3/4,8.0,53.8,39.1,,美浦 斎藤誠,466(+4)
202603020202,11,3,4,オセアフェアモント,牡3,57.0,野中,0:1:48.8,3.1/2,13.0,201.1,39.1,,美浦 菊川,470(0)
202603020202,12,8,14,ロココ,牝3,52.0,▲上里,0:1:49.4,3.1/2,11.0,90.7,40.1,,美浦 加藤和,448(+2)
202603020202,13,5,8,サイモングリーマン,牡3,57.0,木幡育,0:1:50.0,4,14.0,500.9,39.2,,美浦 的場,486(+16)
202603020202,中止,6,10,アシタバスピリッツ,牝3,52.0,▲水沼,,,6.0,38.3,,,美浦 西田,468(0)
202603020202,除外,6,11,ゴーントゥファー,セ3,57.0,荻野極,,,,,,,美浦 小島,470(-6)
