,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父
0,1,1,ピコイチ,牡4,57.0,▲坂口,尾形,506(+26),美浦,2021101711,01211,ヘニーヒューズ  Henny Hughes(米)  ,アヴァール  ,キングカメハメハ  
1,2,2,カレンマックナイト,牡6,60.0,黒岩,平田,448(-4),栗東,2019105140,01072,カレンブラックヒル  ,カレンオプシス  ,サムライハート  
2,3,3,プラチナトレジャー,牡7,60.0,伴,国枝,492(+2),美浦,2018104261,01149,キングカメハメハ  ,ホワイトエレガンス  ,クロフネ  
3,3,4,シェアホルダーズ,牡4,57.0,▲土田,松山,492(+8),美浦,2021101250,01198,アルアイン  ,クラウンフォルテ  ,ハービンジャー  Harbinger(英)  
4,4,5,フェスティヴビーム,牡5,60.0,石神深,畠山,466(-10),美浦,2020102452,01059,リアルスティール  ,マクシマール  ,アグネスタキオン  
5,4,6,ナムラドーギー,牡4,60.0,五十嵐,石栗,462(+8),美浦,2021104267,01069,サトノアレス  ,ナムラエメラルド  ,ファンタスティックライト  Fantastic Light(米)  
6,5,7,ブライテストドーン,セ5,60.0,草野,田島,520(0),美浦,2020102956,01113,マインドユアビスケッツ  Mind Your Biscuits(米)  ,デザートオブムーン  ,ゼンノロブロイ  
7,5,8,タイセイジャスパー,セ6,60.0,上野,伊藤圭,498(+6),美浦,2019100135,01087,ヘニーヒューズ  Henny Hughes(米)  ,プラセンティア  ,トワイニング  Twining(米)  
8,6,9,ネイチャーシップ,牡7,60.0,大江圭,根本,506(-2),美浦,2018102917,01120,ゴールドシップ  ,アルデグロリア  ,アルデバランII  Aldebaran(米)  
9,6,10,サウンドブライアン,牡7,60.0,小野寺,加藤公,496(+6),栗東,2018103902,01123,クリーンエコロジー  ,ブライアンオークス  ,ブライアンズタイム  Brian's Time(米)  
10,7,11,ウォーターリーダー,牡5,60.0,難波,藤野,454(+4),栗東,2020100948,01066,ルーラーシップ  ,ウォーターラボ  ,マンハッタンカフェ  
11,7,12,ケイアイカラキア,セ3,56.0,▲水沼,上原博,468(+6),美浦,2022103855,01201,ミスターメロディ  ,クインズゴールド  ,ステイゴールド  
12,8,13,ワンダージュノ,セ6,60.0,田村,森田,508(+20),栗東,2019102803,01105,ワンダーアキュート  ,ワンダープリマ  ,デヒア  Dehere(米)  
13,8,14,ファベル,牡6,60.0,小牧加,小林,442(+2),栗東,2019106821,01196,ディープインパクト  ,ポウリナズラヴ  Paulina's Love(米)  ,Mizzen Mast  
