,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id
202607020806,1,6,6,パフュームセント,牝5,56,幸英明,0:2:00.5,,2-2-2-2,33.4,5.0,3,456,[西]斉藤崇史,2000,晴,芝,良,2026年08月16日,2勝クラス,2021106100,00732
202607020806,2,1,1,ホウオウタイタン,牝4,56,田山旺佑,0:2:00.7,1,6-5-7-7,32.8,3.7,2,498,[西]須貝尚介,2000,晴,芝,良,2026年08月16日,2勝クラス,2022103278,01220
202607020806,3,3,3,エアビッグマム,牝4,56,西塚洸二,0:2:00.8,1/2,3-3-3-3,33.5,26.5,6,504,[西]笹田和秀,2000,晴,芝,良,2026年08月16日,2勝クラス,2022105250,01200
202607020806,4,5,5,アーリーハーベスト,牝3,53,松山弘平,0:2:00.8,ハナ,1-1-1-1,33.7,2.0,1,460,[西]小林真也,2000,晴,芝,良,2026年08月16日,2勝クラス,2023107071,01126
202607020806,5,2,2,ステラクラウン,牝5,56,岩田望来,0:2:00.9,1/2,3-3-3-3,33.5,5.7,4,502,[西]上村洋行,2000,晴,芝,良,2026年08月16日,2勝クラス,2021101454,01174
202607020806,6,4,4,スターリングアップ,牝5,56,菱田裕二,0:2:01.0,3/4,5-5-5-5,33.4,15.0,5,454,[西]松永幹夫,2000,晴,芝,良,2026年08月16日,2勝クラス,2021105102,01144
202607020806,7,7,7,レイピカケ,牝5,56,団野大成,0:2:01.5,3,7-5-5-5,33.9,91.1,7,468,[西]野中賢二,2000,晴,芝,良,2026年08月16日,2勝クラス,2021106904,01180
