,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父
0,1,1,リプレイ,牝4,57.0,▲土田,戸田,438(+8),美浦,2021104371,01198,ミッキーアイル  ,ヴェルナッツァ  Vernazza(米)  ,Unbridled's Song  (米)  
1,2,2,トーアマリシテン,セ4,60.0,石神深,小島,454(+4),美浦,2021105335,01059,ビーチパトロール  Beach Patrol(米)  ,トーアヒミコ  ,クロフネ  
2,3,3,ボエーム,牡4,57.0,▲坂口,石栗,450(+4),美浦,2021100475,01211,アニマルキングダム  Animal Kingdom(米)  ,ラストマイア  ,ローエングリン  
3,3,4,ペンティメント,牡5,60.0,伴,嘉藤,506(+14),美浦,2020102641,01149,レッドファルクス  ,カイカヨソウ  ,ティンバーカントリー  Timber Country(米)  
4,4,5,カールスタード,セ4,60.0,小牧加,武幸,494(+6),栗東,2021105554,01196,キズナ  ,シフォンカール  ,クロフネ  
5,4,6,テーオーリカード,セ5,60.0,小野寺,高柳大,488(-2),栗東,2020106884,01123,パイロ  Pyro(米)  ,ナナイロボタン  ,ネオユニヴァース  
6,5,7,ジーティーオウジャ,セ4,57.0,▲水沼,石栗,526(+10),美浦,2021104943,01201,ルーラーシップ  ,アラドヴァル  ,シンボリクリスエス  
7,5,8,ビリオネアボーイ,牡3,58.0,小坂,新谷,476(+8),栗東,2022110094,01063,American Pharoah  (米)  ,ザワールドウィノウ  ,Speightstown  (米)  
8,6,9,メイショウコガシラ,牡5,60.0,森一,本田,494(+2),栗東,2020100979,01139,メイショウボーラー  ,マイラッキー  ,Elusive Quality  
9,6,10,ゴールデンルーキー,牡4,60.0,草野,粕谷,476(-2),美浦,2021110146,01113,Catholic Boy  ,Gold N Shaft  ,Mineshaft  (米)  
10,7,11,サトノトルネード,牡5,60.0,上野,国枝,532(+2),美浦,2020103463,01087,ハーツクライ  ,タイタンクイーン  ,Tiznow  
11,7,12,ワカムシャ,牡3,58.0,大江圭,矢野,492(+2),美浦,2022106543,01120,バゴ  Bago(仏)  ,ナスノカツラ  ,ヴィクトワールピサ  
12,8,13,ニシノリアリティ,牡4,60.0,五十嵐,田村,520(+4),美浦,2021100184,01069,Saxon Warrior  (安平町)  ,ドリームアンドホープ  Dream And Hope(英)  ,Royal Applause  
13,8,14,サンライズウェーヴ,牡4,60.0,難波,石坂,494(-4),栗東,2021102221,01066,マジェスティックウォリアー  Majestic Warrior(米)  ,コパノレヴィーン  ,ゴールドアリュール  
