,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,アリストクラシア,牝4,56.0,高杉,吉岡,470(+4),栗東,2021105238,01213,ハーツクライ  ,マジェスティッククオリティ  Majestic Quality(米)  ,Quality Road  ,-1.7643543480809234,8
1,2,2,ヴァンアグレアブル,牝3,54.0,戸崎圭,橋口,520(+6),栗東,2022105058,05386,ルヴァンスレーヴ  ,マトリョーシカ  ,クロフネ  ,-1.6436908171978772,7
2,3,3,メイショウマヒロ,牝3,52.0,◇今村,飯田,404(-6),栗東,2022102845,01193,ダノンレジェンド  ,メーシャンス  ,ジャスタウェイ  ,-3.4588313806593107,13
3,4,4,メラヴィリオーザ,牝5,53.0,▲柴田裕,秋山,472(+4),栗東,2020101920,01212,ディーマジェスティ  ,メイクデュース  ,トウカイテイオー  ,-1.1781681264242538,5
4,4,5,ヒラリーステップ,牝5,56.0,和田竜,天間,498(+2),美浦,2020100652,01018,ホッコータルマエ  ,サラファン  ,アグネスタキオン  ,-2.271375374304652,10
5,5,6,シゲルオトヒメ,牝6,54.0,◇永島,谷,440(+4),栗東,2019102986,01187,ベルシャザール  ,ピースヴィクトリア  ,マヤノトップガン  ,-1.008946161268293,4
6,5,7,レイフロレット,牝4,54.0,△鷲頭,井上,426(+20),栗東,2021105875,01202,レイデオロ  ,レイズアベール  ,ハーツクライ  ,-1.3594990864480634,6
7,6,8,プリンセッサ,牝3,54.0,松若,牧田,510(-4),栗東,2022102138,01154,ナダル  Nadal(米)  ,アンドリエッテ  ,ディープインパクト  ,-0.21578486865541247,3
8,6,9,リノアラ,牝6,56.0,小沢,今野,450(+4),栗東,2019101620,01185,キングカメハメハ  ,サトノジョリー  ,Bernardini  (米)  ,-2.7338136474124624,12
9,7,10,パシフィックハイ,牝4,55.0,☆吉村,杉山佳,472(-2),栗東,2021105141,01216,キタサンブラック  ,デロングスター  ,ヴィクトワールピサ  ,-0.06729739172512887,2
10,7,11,カルミアクラウン,牝3,54.0,松山,吉岡,446(+12),栗東,2022107317,01126,サトノクラウン  ,ライラプス  ,フレンチデピュティ  French Deputy(米)  ,0.5257318750896766,1
11,8,12,ハギノコラソン,牝3,54.0,坂井,寺島,478(+8),栗東,2022100439,01163,ミッキーアイル  ,ハギノセゾン  ,シンボリクリスエス  ,-2.5935692384994797,11
12,8,13,スカイビート,牝3,54.0,岩田望,野中,470(+14),栗東,2022101490,01174,ハクサンムーン  ,ハッピーベリンダ  ,アグネスデジタル  ,-1.8986383235209323,9
