,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,サラサチャーミング,牝2,52.0,▲柴田裕,高柳大,412(+2),栗東,2023102601,01212,エピファネイア  ,パイネ  ,ディープインパクト  ,-0.03647774270184293,5
1,2,2,フィラーエ,牝2,53.0,◇永島,高橋康,444(-6),栗東,2023102025,01187,ノーブルミッション  Noble Mission(英)  ,イシス  ,キングヘイロー  ,-0.025364355266394537,4
2,3,3,ナムラオリガミ,牝2,55.0,小崎,高橋一,446(+6),栗東,2023106236,01152,アルアイン  ,ナムラチヨガミ  ,ヨハネスブルグ  Johannesburg(米)  ,-4.347873660657155,10
3,4,4,オドワローズ,牝2,55.0,小沢,渡辺,442(0),栗東,2023106942,01185,レイデオロ  ,オーロラエンブレム  ,ディープインパクト  ,-1.046855549661364,7
4,5,5,アンディムジーク,牝2,54.0,☆吉村,渡辺,436(-8),栗東,2023103797,01216,アドマイヤマーズ  ,ターフェルムジーク  ,ノヴェリスト  Novellist(愛)  ,-1.2448259752440212,8
5,6,6,リトゥリア,牝2,55.0,北村友,河嶋,452(+2),栗東,2023103981,01102,ミスターメロディ  ,ボルティモア  ,ステイゴールド  ,-0.09783552727973555,6
6,7,7,サンダーバード,牝2,55.0,戸崎圭,武幸,436(-8),栗東,2023105292,05386,エピファネイア  ,サロニカ  ,ディープインパクト  ,0.5358578525600922,1
7,7,8,アイク,牝2,55.0,岩田望,佐藤悠,420(+8),栗東,2023105012,01174,ヴァンゴッホ  ,サンデーインアスク  ,ディープインパクト  ,0.146808555407773,2
8,8,9,メイプルハッピー,牝2,55.0,亀田,北出,498(+2),栗東,2023106375,01176,サトノクラウン  ,レナーナ  ,スクリーンヒーロー  ,-3.6887533486010695,9
9,8,10,ジェイパック,牝2,55.0,松若,宮本,448(+2),栗東,2023104477,01154,イスラボニータ  ,マツリカ  ,エンパイアメーカー  Empire Maker(米)  ,0.04953352194938553,3
