,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,ジッピーレーサー,セ8,58.0,菅原明,天間,484(-8),美浦,2017110086,01179,City Zip  (米)  ,Espial  ,Banker's Gold  ,-1.2864900342999313,8
1,2,2,ローランドバローズ,牡3,56.0,岩田康,上村,498(0),栗東,2022101827,05203,ヘンリーバローズ  ,ダイアナバローズ  ,シンボリクリスエス  ,0.07206137263784382,6
2,3,3,ジェットマグナム,牡3,56.0,戸崎圭,安達,494(-8),栗東,2022100084,05386,ヘンリーバローズ  ,ビビットオレンジ  ,ルーラーシップ  ,-0.03658628746329452,7
3,4,4,ベント,セ4,58.0,小崎,小崎,434(-2),栗東,2021104504,01152,カリフォルニアクローム  California Chrome(米)  ,クイーンオブハルカ  ,Singspiel  (愛)  ,-2.5338974291059535,9
4,5,5,レディーミコノス,牝3,54.0,岩田望,寺島,468(+8),栗東,2022105475,01174,Le Havre  ,フルオブビューティー  Full of Beauty(英)  ,Motivator  ,-4.47452292384958,10
5,6,6,ゼンダンハヤブサ,牡3,56.0,坂井瑠星,佐々木,452(+4),栗東,2022106306,01163,スマートオーディン  ,オーガストウェイ  ,アグネスタキオン  ,2.6042637170541107,2
6,7,7,ジャルディニエ,牝3,54.0,吉村,奥村豊,454(+12),栗東,2022105031,01216,アドマイヤマーズ  ,ヘアキティー  Heir Kitty(米)  ,Wildcat Heir  ,1.36056344612548,5
7,7,8,リカントロポ,牡3,56.0,田口,梅田,476(-2),栗東,2022100080,01208,グレーターロンドン  ,ホワイトアルバム  ,クロフネ  ,1.8284434025826592,3
8,8,9,アラタマフェーヴル,牡4,58.0,国分優,浜田,496(+2),栗東,2021102115,01125,オルフェーヴル  ,アラタマクリスエス  ,シンボリクリスエス  ,1.5082656564537493,4
9,8,10,チェルノボーグ,セ6,58.0,松山,藤原,480(0),栗東,2019104732,01126,ディープインパクト  ,コンテスティッド  Contested(米)  ,Ghostzapper  ,3.545959819573885,1
