race_id,日付,開催,天気,R,レース名,class,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,race_type,course_len,ground_state,タイム,着差,通過,上り,馬体重,勝ち馬 (2着馬)
,2024/07/27,佐賀,晴,10,里帰りJC第2戦ホー,,12,6,7,7.0,3,8,飛田愛斗,56,ダート,1400,良,1:32.3,0.9,12-11-8-4,39.6,518,クンバカルナ
202307030706,2023/07/22,中京,晴,6,3歳未勝利,未勝利,15,6,11,326.2,15,11,田口貫太,53,ダート,1400,良,1:26.9,2.3,13-14,38.5,508,エイシンレジューム
202309030402,2023/06/11,阪神,雨,2,3歳未勝利,未勝利,18,1,2,258.0,15,18,田口貫太,53,芝,2200,稍,2:22.7,7.7,4-3-13-18,41.6,516,ポンテニオ
202309030102,2023/06/03,阪神,晴,2,3歳未勝利,未勝利,16,6,11,122.8,9,10,西村淳也,56,ダート,1800,重,1:56.5,4.8,6-7-6-9,40.3,516,ウォーターハウス
202309020603,2023/04/09,阪神,晴,3,3歳未勝利,未勝利,16,5,9,79.1,11,14,角田大河,55,ダート,1800,稍,1:59.0,4.2,15-15-15-15,40.5,516,ショーケン
