,race_id,日付,開催,天気,R,レース名,class,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,race_type,course_len,ground_state,タイム,着差,通過,上り,馬体重,勝ち馬 (2着馬)
0,202504040204,2025/10/19,新潟,曇,04,3歳以上1勝クラス,1勝クラス,13,8,13,203.8,12.0,7,河原田菜,52.0,ダート,1200,重,0:1:12.9,1.4,7-8,37.6,490,エスシーレベッカ
1,202501020207,2025/08/24,札幌,晴,07,3歳以上1勝クラス,1勝クラス,11,1,1,72.7,8.0,11,古川奈穂,53.0,ダート,1000,良,0:1:01.5,2.1,8-9,37.2,484,タミゼ
2,202501010306,2025/08/02,札幌,晴,06,3歳以上1勝クラス,1勝クラス,7,4,4,45.7,6.0,6,古川奈穂,53.0,ダート,1000,良,0:1:00.1,1.6,5-5,35.9,490,サウンドモリアーナ
3,202507020512,2025/03/29,中京,晴,12,4歳以上1勝クラス,1勝クラス,16,1,2,171.9,15.0,13,亀田温心,56.0,ダート,1200,稍重,0:1:14.6,2.4,5-4,39.5,490,ダズリングダンス
4,202506020607,2025/03/16,中山,雨,07,4歳以上1勝クラス,1勝クラス,16,8,15,170.5,14.0,14,遠藤汰月,53.0,ダート,1200,不良,0:1:13.4,2.1,14-15,37.9,498,バロン
5,202406040306,2024/09/14,中山,晴,06,3歳以上1勝クラス,1勝クラス,16,5,9,83.4,13.0,15,松岡正海,56.0,ダート,1200,良,0:1:14.3,2.2,8-10,38.5,488,オリビアジュテーム
6,202401020607,2024/08/25,札幌,晴,07,3歳以上1勝クラス,1勝クラス,12,8,11,5.5,4.0,7,佐々木大,56.0,ダート,1000,良,0:1:00.5,0.8,5-5,36.2,496,ペプチドシュチク
7,202401020107,2024/08/10,札幌,晴,07,3歳以上1勝クラス,1勝クラス,12,8,11,73.5,10.0,2,佐々木大,56.0,ダート,1000,良,0:0:59.4,0.0,3-3,36.2,494,セリエル
8,202404010712,2024/05/18,新潟,晴,12,4歳以上1勝クラス,1勝クラス,15,6,10,36.7,9.0,8,黛弘人,56.0,ダート,1200,良,0:1:12.2,1.0,9-9,37.4,492,グッドウッドガイ
9,202404010307,2024/05/04,新潟,晴,07,4歳以上1勝クラス,1勝クラス,14,2,2,14.6,8.0,5,小林勝太,53.0,ダート,1200,良,0:1:13.1,0.4,9-8,37.1,484,ライブリームーラン
10,202406030512,2024/04/06,中山,曇,12,4歳以上1勝クラス,1勝クラス,16,8,15,58.0,10.0,5,松岡正海,56.0,ダート,1200,稍重,0:1:12.2,0.4,9-9,36.8,488,スマイルアップ
11,202406010307,2024/01/08,中山,晴,07,4歳以上1勝クラス,1勝クラス,16,6,12,101.1,12.0,6,松岡正海,56.0,ダート,1200,良,0:1:13.4,0.5,10-10,38.9,486,オルコス
12,202301020706,2023/09/02,札幌,晴,06,,1勝クラス,12,4,4,52.9,9.0,9,松岡正海,56.0,ダート,1000,稍重,0:1:00.1,0.7,12-12,35.6,482,ダラムキャッスル
13,202301020607,2023/08/27,札幌,雨,07,,1勝クラス,12,8,12,39.7,9.0,4,古川奈穂,52.0,ダート,1000,良,0:0:59.9,0.3,4-4,35.8,486,グットフォーチュン
14,202301020107,2023/08/12,札幌,晴,07,,1勝クラス,12,2,2,40.7,10.0,7,古川奈穂,52.0,ダート,1000,良,0:1:00.7,1.3,10-10,36.5,484,バサラ
15,202302020512,2023/07/15,函館,曇,12,,1勝クラス,12,2,2,13.0,5.0,7,古川奈穂,52.0,ダート,1000,不良,0:0:59.5,1.0,10-10,35.2,486,シンリンゲンカイ
16,202302020212,2023/07/02,函館,曇,12,,1勝クラス,11,4,4,127.3,10.0,2,古川奈穂,52.0,ダート,1000,稍重,0:0:59.4,0.3,7-7,35.5,480,フェズカズマ
17,202305020207,2023/04/23,東京,晴,07,,1勝クラス,10,4,4,238.7,10.0,10,太宰啓介,56.0,ダート,1600,良,0:1:41.3,2.3,7-7,38.4,476,メイショウホオズキ
18,202210030502,2022/07/16,小倉,曇,02,,未勝利,16,2,4,220.1,15.0,16,川端海翼,51.0,ダート,1700,重,0:1:50.3,5.9,13-13-16-16,41.1,476,ラニカイ
19,202207030205,2022/05/08,中京,晴,05,,未勝利,16,1,2,207.8,14.0,11,丸田恭介,54.0,芝,1600,良,0:1:35.1,1.7,14-15-14,35.3,474,ブライトオンベイス
20,202203010101,2022/04/16,福島,小雨,01,,未勝利,15,2,2,39.8,9.0,10,斎藤新,54.0,ダート,1700,重,0:1:46.9,1.5,6-6-10-9,38.8,476,クロンヌドラレーヌ
21,202103020505,2021/11/20,福島,晴,05,,新馬,12,7,10,14.3,6.0,10,亀田温心,53.0,芝,1800,良,0:1:54.2,1.4,8-7-8-9,36.7,490,タイラーテソーロ
