,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2020/11/17,金沢,晴,3,C216,9,3,3,133.6,7,5,魚住謙心,54,ダ1400,良,1:34.9,0.8,5-5-5-3,0.0-41.8,41.0,464(+4),イコロチャン
1,2020/11/01,金沢,曇,4,C212,9,2,2,257.4,8,6,魚住謙心,54,ダ1500,良,1:40.9,2.2,5-4-5-5,0.0-40.3,41.7,460(+1),エルモアットーレ
2,2020/10/20,金沢,晴,1,C211,10,7,7,306.4,10,5,魚住謙心,54,ダ1400,良,1:35.1,3.4,6-6-6-6,0.0-39.0,41.3,459(+5),チェルビックヒム
3,2020/10/06,金沢,曇,1,C211,9,1,1,132.6,8,9,魚住謙心,54,ダ1400,重,1:35.8,4.3,9-9-9-9,0.0-40.4,42.5,454(+3),ダブルマーク
4,2020/09/20,金沢,晴,2,C212,9,2,2,208.0,9,7,魚住謙心,53,ダ1400,稍,1:35.9,2.8,5-3-4-5,0.0-41.1,43.1,451(-2),パープルブルーメン
5,2020/09/08,金沢,晴,4,3歳B　5,8,3,3,137.9,8,5,藤田弘治,56,ダ1400,良,1:36.0,3.5,4-4-4-5,0.0-40.3,42.9,453(+3),ハイコロラトゥーラ
6,2020/08/25,金沢,晴,4,3歳B　6,10,8,10,219.5,9,8,魚住謙心,53,ダ1400,良,1:34.4,2.7,4-6-6-8,0.0-39.7,41.5,450(+4),ワイルドピット
7,2020/08/11,金沢,晴,5,3歳B　5,10,5,5,204.2,10,10,魚住謙心,53,ダ1500,良,1:43.6,4.6,7-8-9-10,0.0-39.9,43.0,446(-2),サーブルルミエール
8,2020/07/26,金沢,曇,4,3歳B　4,9,8,8,64.7,9,9,魚住謙心,53,ダ1500,重,1:43.0,5.9,7-9-9-9,0.0-39.2,42.8,448(-1),ベルティーナ
9,2020/07/12,金沢,曇,5,3歳B　3,8,7,7,71.4,7,7,魚住謙心,53,ダ1500,不,1:42.0,3.5,3-3-5-6,0.0-39.4,42.0,449(-6),キークラウン
10,2020/06/28,金沢,曇,7,3歳B　3特編,8,2,2,23.7,6,7,魚住謙心,53,ダ1400,重,1:36.4,2.4,6-3-6-6,0.0-40.1,41.9,455(+3),ストナビダンサー
11,2020/06/14,金沢,雨,4,3歳B　4,10,4,4,23.0,5,9,魚住謙心,53,ダ1500,不,1:44.3,4.8,6-6-10-9,0.0-39.5,42.1,452(0),ヒデノヴェローチェ
12,2020/05/31,金沢,曇,2,3歳B　4,8,8,8,9.8,3,5,魚住謙心,53,ダ1400,良,1:36.9,1.8,3-3-2-2,0.0-41.4,42.8,452(+4),ダイユウライラック
13,2020/05/19,金沢,晴,5,3歳B　3,10,8,10,15.2,5,5,魚住謙心,53,ダ1500,良,1:43.2,1.8,4-4-4-4,0.0-41.9,42.8,448(+4),ダヴィンチノチョウ
14,2020/05/05,金沢,晴,3,3歳B　4,9,8,9,20.3,6,4,魚住謙心,53,ダ1400,良,1:36.6,2.2,3-3-3-3,0.0-40.7,41.6,444(-7),ベルウッドアサヒ
15,2020/04/19,金沢,曇,1,3歳B　5,8,3,3,12.2,4,5,魚住謙心,53,ダ1400,不,1:35.8,4.2,6-6-6-6,0.0-38.0,39.5,451(-5),デルマラピス
16,2020/01/26,1京都9,曇,3,3歳未勝利,11,4,4,224.3,11,11,加藤祥太,56,ダ1800,重,2:00.1,5.1,3-3-9-11,38.8-38.1,42.1,456(0),サンライズシェリー
17,2019/12/21,5阪神7,晴,4,2歳未勝利,18,2,4,331.5,17,18,団野大成,52,芝1600,良,1:38.4,3.7,13-14,36.3-34.3,36.7,456(+18),スワーヴドン
18,2019/06/02,3阪神2,曇,5,2歳新馬,11,7,8,87.2,10,10,酒井学,54,芝1400,良,1:27.0,4.0,9-10,34.8-36.4,38.6,438(0),タイセイビジョン
