,race_id,日付,開催,天気,R,レース名,class,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,race_type,course_len,ground_state,タイム,着差,通過,上り,馬体重,勝ち馬 (2着馬)
0,202609020712,2026/04/18,阪神,曇,12,4歳以上1勝クラス,1勝クラス,15,4,6,11.6,5,4,岡田祥嗣,58,ダート,1200,良,0:1:11.8,0.4,5-6,36.5,524,インディゴアスール
1,202607010307,2026/03/21,中京,晴,07,4歳以上1勝クラス,1勝クラス,16,8,15,8.1,4,6,岡田祥嗣,58,ダート,1400,良,0:1:24.9,0.6,7-7,37.0,512,ジェミート
2,202609010707,2026/03/14,阪神,晴,07,4歳以上1勝クラス,1勝クラス,16,4,8,15.9,6,3,岡田祥嗣,58,ダート,1400,良,0:1:24.6,0.7,3-4,36.6,512,コーラルクラウン
3,202609010107,2026/02/21,阪神,晴,07,4歳以上1勝クラス,1勝クラス,16,3,5,37.9,9,3,岡田祥嗣,58,ダート,1400,良,0:1:25.7,0.6,6-7,37.0,510,ザックザク
4,202507050308,2025/12/13,中京,曇,08,3歳以上1勝クラス,1勝クラス,16,8,15,21.3,7,10,松本大輝,56,ダート,1400,良,0:1:25.6,1.1,4-4,38.0,506,マジックローズ
5,202505040912,2025/10/26,東京,小雨,12,3歳以上1勝クラス,1勝クラス,16,2,4,24.7,10.0,9,松岡正海,56.0,ダート,1600,不良,0:1:37.1,1.4,1-1,36.7,500,チュウワチーフ
6,202507030510,2025/08/09,中京,晴,10,3歳以上1勝クラス,1勝クラス,14,7,12,---,,取,田山旺佑,52.0,ダート,1400,良,,,,,計不,メイショウハチロー
7,202505020707,2025/05/17,東京,雨,07,3歳1勝クラス,1勝クラス,14,8,13,25.5,6.0,11,横山和生,57.0,ダート,1400,不良,0:1:24.7,1.9,2-2,37.7,500,ベンヌ
8,202507020403,2025/03/23,中京,晴,03,3歳未勝利,未勝利,16,7,14,16.0,8.0,1,北村友一,57.0,ダート,1400,良,0:1:25.4,-0.5,1-1,38.1,500,(ルクスコスモス)
9,202507010103,2025/01/05,中京,晴,03,3歳未勝利,未勝利,16,4,7,79.5,10.0,9,北村友一,57.0,ダート,1900,良,0:2:03.3,1.1,6-5-6-6,39.6,506,ハグ
10,202405040205,2024/10/06,東京,曇,05,2歳新馬,新馬,17,4,7,14.3,4.0,16,戸崎圭太,56.0,芝,1800,良,0:1:52.7,3.5,13-13-15,35.9,514,ガルダイア
