race_id,日付,開催,天気,R,レース名,class,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,race_type,course_len,ground_state,タイム,着差,通過,上り,馬体重,勝ち馬 (2着馬)
202210020505,2022/02/26,小倉,晴,5,3歳未勝利,未勝利,16,7,14,353.9,16,中,原優介,51,芝,1800,良,,,12-13-15,,414,ゴールドエクリプス
202210010302,2022/01/22,小倉,晴,2,3歳未勝利,未勝利,16,4,7,673.3,16,12,原優介,51,芝,1800,良,1:50.6,2.5,1-1-1-1,38.5,412,アメリカンスター
202104050705,2021/10/30,新潟,晴,5,2歳未勝利,未勝利,18,7,14,405.2,17,13,古川吉洋,54,芝,1400,良,1:24.7,1.0,10-11,37.1,420,シナモンスティック
202106040903,2021/10/03,中山,晴,3,2歳新馬,新馬,16,5,9,105.5,13,9,山田敬士,52,芝,1200,稍,1:11.8,1.9,13-12,35.7,420,トータルリコール
