,race_id,日付,開催,天気,R,レース名,class,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,race_type,course_len,ground_state,タイム,着差,通過,上り,馬体重,勝ち馬 (2着馬)
0,202504020807,2025/08/17,新潟,晴,07,NST賞,オープン,15,8,15,48.0,11.0,2,原優介,56.0,ダート,1200,良,0:1:10.7,0.2,4-3,36.7,538,クロジシジョー
1,202503020811,2025/07/20,福島,晴,11,福島テレビ賞,オープン,13,8,12,103.2,12.0,3,木幡巧也,57.0,ダート,1150,良,0:1:07.8,0.5,8-8,35.7,538,シアージスト
2,202505020911,2025/05/24,東京,曇,11,欅S,オープン,16,1,2,270.4,13.0,13,長浜鴻緒,57.0,ダート,1400,良,0:1:25.4,2.2,16-16,36.0,540,ビダーヤ
3,202506010710,2025/01/19,中山,曇,10,ジャニュアリーS,オープン,16,3,6,183.8,13.0,15,斎藤新,57.0,ダート,1200,良,0:1:11.6,1.4,7-11,37.5,524,ジャスパーゴールド
4,202408060310,2024/11/09,京都,晴,10,室町S,オープン,16,5,10,33.6,11.0,11,斎藤新,56.0,ダート,1200,良,0:1:11.5,0.8,11-13,36.2,524,イスラアネーロ
5,202404030411,2024/08/18,新潟,晴,11,NST賞,オープン,14,5,7,22.4,6.0,7,原優介,56.0,ダート,1200,良,0:1:11.9,0.5,12-12,36.5,534,メタマックス
6,202408040711,2024/06/22,京都,曇,11,天保山S,オープン,16,5,10,64.1,14.0,8,岩田望来,57.0,ダート,1400,稍重,0:1:24.3,1.0,5-5,37.1,530,サトノルフィアン
7,202404010311,2024/05/04,新潟,晴,11,越後S,オープン,15,4,6,23.7,9.0,5,岡部誠,58.0,ダート,1200,良,0:1:11.6,0.5,9-9,36.2,530,ナムラフランク
8,202406030611,2024/04/07,中山,晴,11,京葉S,オープン,14,1,1,16.1,7.0,4,石川裕紀,57.0,ダート,1200,重,0:1:10.6,0.8,4-4,35.8,520,シアージスト
9,202409010310,2024/03/02,阪神,曇,10,なにわS,3勝クラス,16,2,3,6.9,2.0,1,ルメール,58.0,ダート,1200,稍重,0:1:11.0,-0.1,3-4,36.2,522,(ステラフィオーレ)
10,202408010109,2024/01/06,京都,曇,09,門松S,3勝クラス,12,7,9,15.0,6.0,4,岩田望来,57.0,ダート,1400,良,0:1:24.2,0.7,7-4,37.2,522,モズリッキー
11,202305050710,2023/11/25,東京,晴,10,,3勝クラス,16,3,5,6.0,2.0,9,岩田望来,57.0,ダート,1400,良,0:1:25.3,0.6,5-5,36.0,516,シャンブル
12,202305050409,2023/11/12,東京,曇,09,,3勝クラス,15,4,7,2.5,1.0,4,モレイラ,57.0,ダート,1400,良,0:1:24.9,0.7,3-3,36.6,514,メタマックス
13,202305040608,2023/10/21,東京,晴,08,,2勝クラス,14,7,12,1.8,1.0,1,岩田望来,56.0,ダート,1400,良,0:1:25.0,-0.2,3-5,35.5,524,(アラカザーム)
14,202303020510,2023/07/15,福島,曇,10,,2勝クラス,16,6,11,2.4,1.0,9,戸崎圭太,55.0,ダート,1150,稍重,0:1:10.1,1.5,13-14,37.1,516,エコロアイ
15,202309030707,2023/06/24,阪神,曇,07,,1勝クラス,16,8,15,1.8,1.0,1,岩田望来,55.0,ダート,1400,稍重,0:1:23.9,-0.7,2-2,37.0,512,(シャープソーン)
16,202309030307,2023/06/10,阪神,曇,07,,1勝クラス,16,7,13,4.9,3.0,2,泉谷楓真,54.0,ダート,1400,稍重,0:1:24.1,0.4,5-4,37.0,506,サンライズフレイム
17,202305020810,2023/05/14,東京,曇,10,,オープン,9,8,8,31.4,6.0,2,松山弘平,56.0,ダート,1600,稍重,0:1:36.2,0.4,2-2,35.9,514,ユティタム
18,202304010309,2023/05/06,新潟,曇,09,,1勝クラス,15,6,11,6.2,3.0,4,北村友一,56.0,ダート,1800,稍重,0:1:54.4,0.6,2-2-2-3,40.2,522,ジャスパーバローズ
19,202310020608,2023/02/26,小倉,晴,08,,1勝クラス,16,6,12,8.1,3.0,2,泉谷楓真,55.0,ダート,1700,稍重,0:1:45.3,0.2,3-3-2-2,38.2,522,アイファーテイオー
20,202310020301,2023/02/18,小倉,曇,01,,未勝利,16,5,10,2.9,2.0,1,藤岡康太,56.0,ダート,1700,稍重,0:1:45.9,-1.0,1-1-1-1,36.9,522,(タロントゥーズ)
21,202310010501,2023/01/28,小倉,雪,01,,未勝利,12,7,10,8.7,4.0,2,藤岡康太,56.0,ダート,1700,不良,0:1:45.1,0.1,1-1-1-1,37.8,528,ツウカイノキズナ
22,202209060303,2022/12/10,阪神,晴,03,,未勝利,11,7,9,7.9,4.0,4,泉谷楓真,54.0,ダート,1800,良,0:1:57.3,1.5,10-10-10-7,37.1,522,グレン
23,202203030602,2022/11/20,福島,曇,02,,未勝利,15,8,14,7.1,3.0,2,泉谷楓真,54.0,ダート,1700,良,0:1:48.8,0.0,12-12-8-10,38.9,528,フランコルシャン
24,202209050304,2022/11/12,阪神,晴,04,,新馬,9,3,3,96.9,9.0,4,角田大河,53.0,ダート,1800,良,0:1:57.0,1.3,9-9-9-8,38.1,528,サンデーファンデー
