race_id,日付,開催,天気,R,レース名,class,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,race_type,course_len,ground_state,タイム,着差,通過,上り,馬体重,勝ち馬 (2着馬)
202209040212,2022/10/09,阪神,雨,12,3歳以上2勝クラス,2勝クラス,16,1,1,217.3,15,16,泉谷楓真,56,ダート,1200,重,1:16.4,5.6,1-1,42.2,502,ウォームライト
202203020809,2022/07/24,福島,曇,9,米沢特別,2勝クラス,16,2,4,288.0,15,10,小崎綾也,57,ダート,1150,稍,1:08.8,1.3,16-16,36.1,492,エスケーアタランタ
202207030312,2022/05/14,中京,晴,12,4歳以上2勝クラス,2勝クラス,16,5,9,119.6,14,16,藤懸貴志,57,ダート,1200,重,1:13.6,2.6,16-16,37.0,494,ホッコーカリュウ
202209011112,2022/03/19,阪神,小雨,12,4歳以上2勝クラス,2勝クラス,16,8,15,39.1,11,16,浜中俊,57,ダート,1200,重,1:12.9,1.5,7-3,37.4,496,タマモヒメギミ
202107060312,2021/12/11,中京,曇,12,豊川特別,2勝クラス,14,5,9,35.5,10,14,中井裕二,56,ダート,1200,良,1:14.8,3.5,9-9,39.5,496,カーテンコール
202109050512,2021/11/20,阪神,晴,12,3歳以上2勝クラス,2勝クラス,16,2,4,16.7,7,10,浜中俊,56,ダート,1200,良,1:13.3,2.2,3-2,38.8,496,エイシンバッカス
202104050212,2021/10/10,新潟,晴,12,妙高特別,2勝クラス,15,2,2,13.2,6,12,菅原明良,53,ダート,1200,良,1:11.5,1.2,3-5,38.0,480,ララクリュサオル
202109021210,2021/05/02,阪神,晴,10,端午S(OP),オープン,16,7,14,218.2,14,12,浜中俊,56,ダート,1400,稍,1:26.3,2.8,3-3,40.7,470,ルーチェドーロ
202107020110,2021/03/13,中京,曇,10,昇竜S(OP),オープン,13,4,5,67.1,12,11,浜中俊,56,ダート,1400,不,1:25.9,2.3,6-7,39.8,478,カレンロマチェンコ
202009060406,2020/12/13,阪神,曇,6,2歳1勝クラス,1勝クラス,11,8,10,22.1,6,1,浜中俊,55,ダート,1200,良,1:12.4,-0.2,3-2,37.1,476,(ワイズマンハート)
202008040201,2020/10/11,京都,晴,1,2歳未勝利,未勝利,16,2,3,21.1,10,1,浜中俊,55,ダート,1200,重,1:11.8,0.0,1-1,37.1,472,(ドローム)
202007020601,2020/09/26,中京,晴,1,2歳未勝利,未勝利,10,8,9,15.1,5,4,浜中俊,54,ダート,1200,重,1:13.6,1.1,6-3,38.2,474,エリオット
202009040505,2020/07/18,阪神,晴,5,2歳新馬,新馬,17,1,2,35.0,10,14,浜中俊,54,芝,1400,良,1:27.4,2.8,1-2,39.9,474,ヴェールクレール
