,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,トモジャシック,牡4,59.0,難波,大根田,480(-4),栗東,2022104293,01066,タリスマニック,トモジャオール,エンパイアメーカー
1,2,2,サルサロッサ,牝7,57.0,▲土田,高柳瑞,460(0),美浦,2019103100,01198,エスケンデレヤ,ノバラ,マンハッタンカフェ
2,3,3,サトノエピック,牡5,60.0,上野,奥村武,536(0),美浦,2021105271,01087,キタサンブラック,ランドオーバーシー,Bellamy Road
3,4,4,コレペティトール,セ6,57.0,▲井上,中竹,476(0),栗東,2020103043,01151,ジャスタウェイ,ベガスナイト,コロナドズクエスト
4,4,5,トゥラッタッタ,牡5,60.0,五十嵐,新開,474(0),美浦,2021102973,01069,デクラレーションオブウォー,クイーンマザー,ハーツクライ
5,5,6,グアラニア,牡5,60.0,伴,矢野,510(-4),美浦,2021103051,01149,マインドユアビスケッツ,ファド,ダイワメジャー
6,5,7,ゲインサポート,セ5,60.0,中村,秋山,454(0),栗東,2021104590,01101,デクラレーションオブウォー,ローザミスティカ,アグネスタキオン
7,6,8,ジーククローネ,セ6,61.0,草野,宮田,456(-2),美浦,2020103537,01113,サトノクラウン,パーフェクトマッチ,サンデーサイレンス
8,6,9,ジオフロント,牡8,58.0,▲鷲頭,清水久,482(+8),栗東,2018104881,01202,ハーツクライ,アガルタ,キングカメハメハ
9,7,10,ケイテンアイジン,牡4,59.0,小坂,谷,500(-10),栗東,2022109119,01063,アレスバローズ,カシノティーダ,ケイムホーム
10,7,11,ダイスアローリング,牡5,60.0,小牧加,古賀慎,516(-2),美浦,2021104861,01196,サトノダイヤモンド,サンタエヴィータ,Smart Strike
11,8,12,パープルアドミラル,牡6,61.0,金子,堀内,452(+2),美浦,2020104328,01052,シビルウォー,ママノヨリミチ,マンハッタンカフェ
12,8,13,ウイングランブルー,牡6,60.0,大江圭,深山,472(-2),美浦,2020105211,01120,ゴールドシップ,サマーラグーン,ボストンハーバー
