,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,プラチナムレイアー,セ7,60.0,小牧加,河嶋,栗東,2018103503,01196,マツリダゴッホ ,スノークラフト ,アグネスデジタル 
1,2,2,コルドゥーン,牡9,60.0,伴,石栗,美浦,2016103092,01149,トゥザグローリー ,バーグドール ,サクラバクシンオー 
2,3,3,ナリノモンターニュ,牡8,61.0,五十嵐,上原博,美浦,2017104700,01069,ヴィクトワールピサ ,オメガアイランド ,エルコンドルパサー 
3,4,4,オールザワールド,牡8,62.0,森一,中竹,栗東,2017105248,01139,キズナ ,エピックラヴ Epic Love(愛) ,Dansili 
4,5,5,ナイトスピアー,牡5,60.0,大江圭,小野,美浦,2020102347,01120,ストロングリターン ,サクラコ ,メジロベイリー 
5,6,6,マケルナマサムネ,牡7,60.0,難波,畑端,栗東,2018105814,01066,ディープブリランテ ,ナオミノユメ ,ジャングルポケット 
6,6,7,トランシルヴァニア,セ8,57.0,▲坂口,田中剛,美浦,2017105667,01211,オルフェーヴル ,ワンダーレディアンエル Wonder Lady Anne L(米) ,Real Quiet 
7,7,8,ウインチェレステ,牡7,60.0,草野,畠山,美浦,2018101630,01113,ドゥラメンテ ,コスモチェーロ ,Fusaichi Pegasus 
8,7,9,トラファルガー,セ5,60.0,石神深,加藤和,美浦,2020104922,01059,リオンディーズ ,マチュアード Matured(英) ,Manduro (独) 
9,8,10,ワールドスケール,牡8,61.0,黒岩,加藤公,栗東,2017106372,01072,ワールドエース ,アモーレヴォレ ,アグネスデジタル 
10,8,11,インディゴブラック,セ6,61.0,小坂,奥村豊,栗東,2019105143,01063,キタサンブラック ,カーニバルダクス ,Bernardini (米) 
