,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,ノーブルクライ,牡6,60.0,五十嵐,田村,506(-2),美浦,2020102976,01069,ハーツクライ,ノーブルジュエリー,Smarty Jones
1,2,2,リアルフォルゴーレ,牡4,59.0,中村,大橋,482(+10),栗東,2022104222,01101,ロジャーバローズ,ロスグラシアレス,シンボリクリスエス
2,3,3,セットアップ,セ5,60.0,大江圭,西田,498(+14),美浦,2021104405,01120,デクラレーションオブウォー,スリーアロー,アルデバラン
3,4,4,クラウンウルル,牡4,57.0,▲小林凌,菊川,482(-10),美浦,2022101278,01177,レッドファルクス,クラウンシトラス,スニッツェル
4,4,5,サングラデーション,セ6,60.0,上野,千葉,414(-4),美浦,2020102864,01087,ドゥラメンテ,サンシャイン,ハーツクライ
5,5,6,ルルフィーユ,牝5,58.0,小坂,谷,472(+4),栗東,2021102894,01063,マクフィ,デューフォール,Medaglia d'Oro
6,5,7,ヴォルスター,牡5,60.0,黒岩,清水久,448(+12),栗東,2021100677,01072,シニスターミニスター,ヴォルカン,ロードカナロア
7,6,8,マグナレガリア,牡5,60.0,森一,相沢,486(0),美浦,2021106574,01139,レイデオロ,デライトポイント,トウカイテイオー
8,6,9,ジロラータ,牡4,59.0,草野,久保田,470(+4),美浦,2022105347,01113,リアルインパクト,シティイメージ,Elusive City
9,7,10,ダスク,牡6,60.0,難波,宮本,468(+2),栗東,2020106953,01066,シニスターミニスター,フォルクスオーパー,テイエムオペラオー
10,7,11,バニーラビット,牡4,59.0,小牧加,武幸,486(-2),栗東,2022104929,01196,アドマイヤマーズ,トレジャリング,Havana Gold
11,8,12,デスティネ,牡9,60.0,江田勇,萱野,486(-8),美浦,2017106490,01023,リアルインパクト,スプリングドリュー,ミシル
12,8,13,スノーリン,セ4,57.0,▲土田,和田雄,466(-6),美浦,2022103588,01198,ノヴェリスト,レットイットスノー,ハーツクライ
