,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,ゴッドカインド,牝5,56.0,角田和,飯田,408(0),栗東,2021106150,1186,ドレフォン,ネオグラティア,ネオユニヴァース,-1.5200346174000374,15,-0.6572724609404977,15,,
1,1,2,ワイドデコラシオン,牡4,58.0,鮫島駿,辻野,506(-5),栗東,2022103306,1157,ミッキーアイル,リュヌドサーブル,Medicean,1.1525706769661401,2,0.2620372412810086,2,,
2,2,3,パヴィーア,牝4,56.0,ルメール,田中克,468(-8),栗東,2022110082,5339,Medaglia d'Oro,Pavini,Dubawi,-0.019763724752266055,3,-0.14121661443035902,3,,
3,2,4,モーニングコート,牡5,58.0,川田,中内田,518(-9),栗東,2021103224,1088,ジャスタウェイ,オペラグローブ,Speightstown,-0.6348667627368688,10,-0.3527967500669882,10,,
4,3,5,ケイアイブイスリー,牡4,58.0,幸,平田,442(-6),栗東,2022106583,732,ルヴァンスレーヴ,ケイアイガーベラ,Smarty Jones,-1.4591368759395866,14,-0.636325153574916,14,,
5,3,6,エンダードラゴン,牡4,58.0,武豊,友道,514(-6),栗東,2022104890,666,リアルスティール,ダストアンドダイヤモンズ,Vindication,-0.26985291896123104,5,-0.22724107271520436,5,,
6,4,7,アメリカンビヨンド,牡4,58.0,西塚,藤原,532(-4),栗東,2022110104,1200,McKinzie,Church by the Sea,Harlan's Holiday,-0.2750644920368564,6,-0.229033724141271,6,,
7,4,8,ザングウィル,牡6,58.0,岩田望,佐藤悠,512(+2),栗東,2020110051,1174,Dandy Man,Zaaqya,Nayef,-0.2387772936399703,4,-0.2165518310525254,4,,
8,5,9,モズケイスター,牡4,58.0,坂井,高柳大,480(+6),栗東,2022102127,1163,モズアスコット,モズレディーモー,Uncle Mo,1.5787625929510625,1,0.4086366527987614,1,,
9,5,10,ハイクライテリア,セ6,58.0,国分優,羽月,474(+4),栗東,2020102910,1125,ヴィクトワールピサ,ストロボフラッシュ,Speightstown,-0.7184491889170233,11,-0.3815470243722149,11,,
10,6,11,ダディーズグーグー,牡4,58.0,浜中,畑端,474(0),栗東,2022105619,1115,タワーオブロンドン,ニューグランジ,Giant's Causeway,-0.5485671217703918,9,-0.32311182150460205,9,,
11,6,12,リュキア,牡4,55.0,▲田山,小椋,468(+6),栗東,2022107167,1220,アメリカンペイトリオット,アンビホールドゥン,Bluegrass Cat,-0.5013447403222965,8,-0.30686849761433255,8,,
12,7,13,スターペスショウマ,牡4,58.0,太宰,石橋,472(+2),栗東,2022106997,1037,リアルスティール,スターペスマリア,パイロ,-0.8824228977264569,12,-0.43794989902621645,12,,
13,7,14,リュクスドレフォン,牡6,58.0,荻野琢,平田,524(-10),栗東,2020106927,1112,ドレフォン,リュクスメジャー,ダイワメジャー,-0.9129026267014348,13,-0.4484341671771648,13,,
14,8,15,ポルトドール,牡6,58.0,松山,小栗,472(+2),栗東,2020102728,1126,モーリス,レクレドール,サンデーサイレンス,-0.39347714644178566,7,-0.2697647300588769,7,,
15,8,16,プロクレイア,牝4,53.0,▲川端,小林,472(0),栗東,2022105027,1195,エピファネイア,プロクリス,キングカメハメハ,-1.8567461523556024,16,-0.7730928484803481,16,,
