,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,ラヴァンダ,牝4,56.0,岩田望,中村,栗東,2021107098,01174,シルバーステート ,ゴッドパイレーツ ,ベーカバド Behkabad(仏) ,0.5416856190802832,7
1,2,2,ナムラエイハブ,牡4,58.0,松山,長谷川,栗東,2021102895,01126,リアルスティール ,ナムラアン ,エンパイアメーカー Empire Maker(米) ,0.9170669871777191,5
2,2,3,マテンロウアレス,セ7,58.0,太宰,昆,栗東,2018103927,01037,ダイワメジャー ,ベアフットレディ Barefoot Lady(愛) ,Footstepsinthesand (英) ,-3.114803373027185,14
3,3,4,ガイアメンテ,牡4,58.0,川田,須貝,栗東,2021105808,01088,ドゥラメンテ ,ミュージカルロマンス Musical Romance(米) ,Concorde's Tune ,1.3078613024787682,2
4,3,5,コスモサガルマータ,牡5,58.0,和田竜,嘉藤,美浦,2020103881,01018,ヴィクトワールピサ ,エーソングフォー ,More Than Ready ,-2.8608964269639423,13
5,4,6,セブンサミット,牡7,58.0,Ｍデムーロ,西村,栗東,2018105071,05212,モーリス ,シンハライト ,ディープインパクト ,-0.5379606396289858,9
6,4,7,サウンドウォリアー,牡7,58.0,永島,高橋康,栗東,2018104591,01187,マジェスティックウォリアー Majestic Warrior(米) ,クインリーグレイス ,スペシャルウィーク ,-3.256898717757657,15
7,5,8,バッデレイト,牡4,58.0,北村友,上村,栗東,2021102728,01102,サトノダイヤモンド ,ビーウインド ,スピニングワールド Spinning World(米) ,-1.3869210641389162,12
8,5,9,ニューステソーロ,牝4,56.0,吉村,高木,美浦,2021100206,01216,エピファネイア ,クリーミーボイス ,キングカメハメハ ,-0.5832060490303037,10
9,6,10,スイープアワーズ,牡5,58.0,坂井,友道,栗東,2020103428,01163,ディープインパクト ,スイープトウショウ ,エンドスウィープ End Sweep(米) ,-0.6843190584391505,11
10,6,11,サブマリーナ,牡4,58.0,武豊,庄野,栗東,2021106449,00666,スワーヴリチャード ,ヒシサブリナ ,Bernardini (米) ,-0.48926241952265304,8
11,7,12,ルシフェル,牝4,56.0,団野,斉藤崇,栗東,2021105379,01180,ハーツクライ ,アルアリングスター Alluring Star(米) ,Exchange Rate ,0.9465523137196586,3
12,7,13,メイショウウネビ,牡6,58.0,幸,本田,栗東,2019104112,00732,メイショウサムソン ,サーストンララア ,キングカメハメハ ,1.4434341296445188,1
13,8,14,マラキナイア,牝5,56.0,池添,吉岡,栗東,2020102817,01032,ジャスタウェイ ,カウアイレーン ,キングカメハメハ ,0.88680674173197,6
14,8,15,プッシュオン,牡5,58.0,藤岡佑,西村,栗東,2020104013,01093,キズナ ,ラルナデミエル La Luna de Miel(独) ,Monsun ,0.9426922425642102,4
