,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,スプレーフォール,牡5,58.0,石川,相沢,472(+2),美浦,2021107266,1150,カリフォルニアクローム,ジェイケイオジョウ,ハービンジャー,-1.7145814453966048,15,-1.2437637338459646,15,,
1,2,2,アベベ,牡5,58.0,原,秋本,480(-14),美浦,2021109113,1184,コパノリッキー,ジョウノボレロ,ブライアンズタイム,-1.0514631757455584,14,-0.8857530642077781,14,,
2,2,3,オリーブグリーン,牡4,58.0,西村淳,矢作,528(-2),栗東,2022105694,1171,ヘニーヒューズ,クリッパールート,シンボリクリスエス,1.444694928885749,2,0.46189678267716483,2,,
3,3,4,エンプレスフレーム,牝4,56.0,原田和,上原博,458(+4),美浦,2022107254,1143,カリフォルニアクローム,トロピカルガーデン,ハイアーゲーム,-0.6888239784484312,11,-0.689967926317189,11,,
4,3,5,サツキノジョウ,牝5,56.0,丹内,武井,464(+6),美浦,2021105789,1091,レイデオロ,マルシアーノ,フジキセキ,0.7720411485092301,5,0.09873798979097166,5,,
5,4,6,リザードアイランド,牡4,58.0,横山和,田村,488(-4),美浦,2022105276,1140,イスラボニータ,オージーアイドル,スニッツェル,1.4666236841523026,1,0.47373588999273036,1,,
6,4,7,デルマタモン,牡8,58.0,菊沢,勢司,512(+8),美浦,2018100976,1161,オンファイア,デルマトモエゴゼン,キングカメハメハ,-0.5296737032635466,9,-0.6040443449596348,9,,
7,5,8,フジレイメイ,牡4,58.0,松岡,小笠,502(-8),美浦,2022100306,1085,サンダースノー,リアライズノユメ,アフリート,-0.582207227294999,10,-0.632406649208696,10,,
8,5,9,ニシノブレイゼスト,牡4,58.0,田辺,高木,508(+2),美浦,2022107011,1075,シルバーステート,ニシノステディー,グランデラ,0.8087395582808301,4,0.11855108024299763,4,,
9,6,10,ライジンマル,セ5,58.0,木幡初,竹内,534(+8),美浦,2021101449,1153,アジアエクスプレス,ララエクレリゼ,スペシャルウィーク,0.16177758625968167,6,-0.2307369720310235,6,,
10,6,11,ピコシー,牡4,58.0,岩田康,奥村武,472(-2),美浦,2022101716,5203,サトノダイヤモンド,アヴァール,キングカメハメハ,-0.271273168468519,7,-0.46453657880275434,7,,
11,7,12,タリエシン,セ6,58.0,野中,秋本,440(-8),美浦,2020102784,1158,キンシャサノキセキ,エヴァディングタンペット,Dubai Destination,-0.3206749538929775,8,-0.4912080898899689,8,,
12,7,13,セザンワールド,セ6,58.0,柴田善,蛯名利,506(-4),美浦,2020106051,641,トゥザワールド,ディアテイスティー,ジャングルポケット,0.8148090435580158,3,0.12182793233393421,3,,
13,8,14,アースイオス,牡5,58.0,横山琉,手塚徳,532(-12),美浦,2021102555,1192,ジャスタウェイ,アースマリン,マリエンバード,-0.8733360025706991,12,-0.789584052633648,12,,
14,8,15,ウインアルドーレ,牡5,58.0,三浦,奥平,502(-2),美浦,2021106192,1122,ビーチパトロール,アルデュール,フレンチデピュティ,-0.9706972112659329,13,-0.8421483584551516,13,,
