,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,オウケンシルヴァー,牡5,58.0,木幡育,松永康,498(0),美浦,2021103017,1167,ニューイヤーズデイ,メロウメロディ,キャプテンスティーヴ,1.3629801705196871,1,0.4177798329551325,4,,1,52.4,78.0,73.7,1
1,2,2,ロジルーラー,牡5,58.0,松岡,稲垣,514(0),美浦,2021105552,1085,ルーラーシップ,シェリール,サンデーサイレンス,-1.5463058989204947,11,-1.152913513252063,5,,7,52.4,45.7,48.8,7
2,3,3,ファルコンミノル,牡6,58.0,田辺,中舘,444(-4),美浦,2020104748,1075,ゴールドシップ,ストライクルート,Smart Strike,1.1022618680544112,4,0.2770207280949344,6,,2,50.1,55.8,55.2,2
3,4,4,グランプラネッタ,セ4,55.0,▲遠藤,小島,482(+2),美浦,2022107023,1218,サートゥルナーリア,ラスヴェンチュラス,ディープインパクト,-1.5371623876024127,10,-1.147977026414574,11,,11,34.2,43.3,36.8,11
4,5,5,ロードソルスティス,牡4,58.0,横山琉,斎藤誠,516(0),美浦,2022100650,1192,サートゥルナーリア,ブリュネット,ダイワメジャー,1.312658050038275,3,0.390611442525105,2,,4,54.0,49.2,53.2,4
5,6,6,ニシノケンタマン,牡4,56.0,△長浜,深山,470(0),美浦,2022106427,1214,アポロケンタッキー,オテンバランナー,メイショウボーラー,0.7399241392179541,5,0.0813983498965734,1,,3,73.7,50.1,50.1,6
6,6,7,インテルメディオ,セ5,58.0,岩田康,浅利,538(+6),美浦,2021104922,5203,ドレフォン,メリーウィドウ,ゴールドアリュール,0.7005553538796414,6,0.0601435513985193,3,,5,52.5,48.2,53.7,3
7,7,8,ツマヤ,牡5,58.0,石橋脩,小野,530(-6),美浦,2021102707,1077,キズナ,アンジェリック,シンボリクリスエス,-0.6989723359727762,9,-0.6954469191896525,10,,9,38.9,44.0,40.0,10
8,7,9,スモーキーゴッド,牡4,58.0,武藤,萩原,458(-2),美浦,2022104592,1169,シルバーステート,アガルタ,キングカメハメハ,-0.502594300576394,7,-0.5894244565730107,7,,6,48.4,47.2,52.8,5
9,8,10,ナムラジミー,牡4,58.0,菊沢,武市,486(-4),美浦,2022101814,1161,モーニン,ナムラアピア,クロフネ,-0.5841541901704095,8,-0.6334577942527818,9,,10,45.0,43.7,41.5,9
10,8,11,ノアヴィヴァーチェ,牡4,58.0,原,鈴木慎,496(-4),美浦,2022102446,1184,モーニン,トウカイネオ,ハービンジャー,1.3179177022733697,2,0.3934510741638791,8,,8,48.4,44.7,44.2,8
