,0,1,2,3
202305010101,単勝,14,160,1
202305010101,複勝,14,110,1
202305010101,複勝,10,170,3
202305010101,複勝,9,890,10
202305010101,枠連,5-7,430,2
202305010101,馬連,10-14,520,2
202305010101,ワイド,10-14,270,2
202305010101,ワイド,9-14,1820,19
202305010101,ワイド,9-10,4120,35
202305010101,馬単,14→10,710,2
202305010101,三連複,9-10-14,7490,25
202305010101,三連単,14→10→9,18190,54
202305010102,単勝,13,260,1
202305010102,複勝,13,140,1
202305010102,複勝,16,460,8
202305010102,複勝,1,640,9
202305010102,枠連,7-8,1370,6
202305010102,馬連,13-16,1940,5
202305010102,ワイド,13-16,800,8
202305010102,ワイド,1-13,1790,20
202305010102,ワイド,1-16,5830,52
202305010102,馬単,13→16,3130,11
202305010102,三連複,1-13-16,22550,64
202305010102,三連単,13→16→1,85690,248
202305010103,単勝,9,230,1
202305010103,複勝,9,120,1
202305010103,複勝,14,170,3
202305010103,複勝,7,440,9
202305010103,枠連,5-7,400,1
202305010103,馬連,9-14,580,2
202305010103,ワイド,9-14,300,2
202305010103,ワイド,7-9,740,6
202305010103,ワイド,7-14,1210,14
202305010103,馬単,9→14,1040,3
202305010103,三連複,7-9-14,3470,9
202305010103,三連単,9→14→7,11550,25
202305010104,単勝,11,340,2
202305010104,複勝,11,130,1
202305010104,複勝,9,130,2
202305010104,複勝,5,170,5
202305010104,枠連,7-8,590,1
202305010104,馬連,9-11,680,2
202305010104,ワイド,9-11,270,1
202305010104,ワイド,5-11,400,6
202305010104,ワイド,5-9,420,7
202305010104,馬単,11→9,1300,3
202305010104,三連複,5-9-11,1540,5
202305010104,三連単,11→9→5,6730,19
202305010105,単勝,11,160,1
202305010105,複勝,11,110,1
202305010105,複勝,3,500,9
202305010105,複勝,7,190,3
202305010105,枠連,2-6,360,1
202305010105,馬連,3-11,2880,8
202305010105,ワイド,3-11,910,8
202305010105,ワイド,7-11,340,2
202305010105,ワイド,3-7,3090,29
202305010105,馬単,11→3,3550,11
202305010105,三連複,3-7-11,5880,18
202305010105,三連単,11→3→7,22130,67
202305010106,単勝,4,1580,5
202305010106,複勝,4,260,5
202305010106,複勝,5,110,1
202305010106,複勝,11,160,2
202305010106,枠連,2-3,1020,4
202305010106,馬連,4-5,1100,4
202305010106,ワイド,4-5,410,3
202305010106,ワイド,4-11,1060,12
202305010106,ワイド,5-11,240,1
202305010106,馬単,4→5,3900,12
202305010106,三連複,4-5-11,1830,3
202305010106,三連単,4→5→11,17350,50
202305010107,単勝,16,260,1
202305010107,複勝,16,130,1
202305010107,複勝,10,370,7
202305010107,複勝,13,180,2
202305010107,枠連,5-8,2330,12
202305010107,馬連,10-16,2630,10
202305010107,ワイド,10-16,810,9
202305010107,ワイド,13-16,310,1
202305010107,ワイド,10-13,1500,17
202305010107,馬単,16→10,3970,15
