,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,ピーターサイト,セ6,60.0,上野,村田,476(-6),美浦,2020105611,01087,ワンアンドオンリー,ヴィクトリアアイ,ブライアンズタイム
1,2,2,スズカハービン,牡6,60.0,難波,高橋忠,476(-2),栗東,2020106654,01066,ハービンジャー,スズカローラン,サンデーサイレンス
2,3,3,ゲインサポート,セ5,60.0,中村,秋山,446(-8),栗東,2021104590,01101,デクラレーションオブウォー,ローザミスティカ,アグネスタキオン
3,4,4,ローディアマント,セ6,60.0,伴,尾関,490(+2),美浦,2020101429,01149,サトノダイヤモンド,ブロッサムレーン,New Approach
4,5,5,ジーティーオウジャ,セ5,60.0,水沼,石栗,518(+14),美浦,2021104943,01201,ルーラーシップ,アラドヴァル,シンボリクリスエス
5,6,6,ブラックボイス,牡7,60.0,坂口,浅利,520(+4),美浦,2019105276,01211,ブラックタイド,ソングライティング,Giant's Causeway
6,7,7,マオノアラシ,牡6,60.0,小坂,加藤士,496(+2),美浦,2020100850,01063,ゴールドアクター,マオノココロ,ヴァーミリアン
7,7,8,コレクテイニア,牡6,60.0,草野,戸田,470(0),美浦,2020110020,01113,Collected,ダンスウィズキトゥン,Kitten's Joy
8,8,9,ジューンベロシティ,牡8,61.0,高田,武英,482(+8),栗東,2018103308,01046,ロードカナロア,アドマイヤサブリナ,シンボリクリスエス
9,8,10,メイショウソムリエ,セ5,60.0,大江圭,蛯名正,516(+22),美浦,2021102980,01120,サトノダイヤモンド,シーサイドホーム,Storm Cat
