,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,リチュアル,セ7,56.0,坂井,田中克,520(+12),栗東,2019106748,1163,キングカメハメハ,メイデイローズ,Rockport Harbor,1.023609750852877,6,0.014025307444404368,6,,
1,1,2,マリアナトレンチ,牡6,55.0,松若,東田,472(0),栗東,2020102737,1154,ハーツクライ,アイアムルビー,Saint Liam,0.7624073487588843,7,0.007576877928111049,7,,
2,2,3,サンマルパトロール,牡6,54.0,田口,大橋,488(-10),栗東,2020106370,1208,ビーチパトロール,サンマルアリュール,ゴールドアリュール,-0.6898443513785166,15,-0.028275559312811803,15,,
3,2,4,クインズショコラ,牝4,53.0,田山,新谷,502(+2),栗東,2022100159,1220,Tiz the Law,アーチョコレート,Candy Ride,0.3352920750951229,10,-0.0029675225654265283,10,,
4,3,5,テーオーグランビル,牡6,57.0,岩田望,上村,506(+6),栗東,2020110081,1174,Lea,オールインファン,Tapit,0.42521270208951184,9,-0.0007476087339083805,9,,
5,3,6,ハギノサステナブル,牡6,56.0,松山,高野,488(+2),栗東,2020105639,1126,サトノダイヤモンド,ハギノエスカーダ,タートルボウル,0.0889784005366571,12,-0.00904838689345794,12,,
6,4,7,モックモック,牡6,57.0,武豊,寺島,494(-4),栗東,2020100061,666,ダノンレジェンド,ジュピターズビコー,シングスピール,0.0003093249363775192,13,-0.01123740307286327,13,,
7,4,8,ピースオブザライフ,牝6,52.0,吉村,野中,478(-6),栗東,2020101024,1216,キタサンブラック,サンキューアスク,シンボリクリスエス,-0.22097617030298747,14,-0.01670038468248731,14,,
8,5,9,グランドプラージュ,牡4,56.5,川田,杉山晴,522(+4),栗東,2022105722,1088,シニスターミニスター,ベルプラージュ,キングカメハメハ,2.8372785707787487,2,0.058800223208702526,2,,
9,5,10,ヴィヴァン,牡8,54.0,高杉,池江,490(-10),栗東,2018102040,1213,ハーツクライ,キトゥンズクイーン,Kitten's Joy,1.0447436157836523,5,0.014547049347696387,5,,
10,6,11,レヴォントゥレット,牡5,56.0,国分優,矢作,500(+8),栗東,2021103717,1125,ロードカナロア,クイーンマンボ,マンハッタンカフェ,1.2607784567181473,4,0.019880405525364433,4,,
11,6,12,ハピ,牡7,57.5,幸,大久保,488(0),栗東,2019100630,732,キズナ,クイーンパイレーツ,キングカメハメハ,3.613216132667184,1,0.07795616755212989,1,,
12,7,13,メイショウズイウン,牡4,55.0,太宰,本田,500(-4),栗東,2022100154,1037,ホッコータルマエ,アクアブルーハート,エンパイアメーカー,-2.117727522876069,16,-0.06352639894938608,16,,
13,7,14,メイショウユズルハ,牡7,54.0,菱田,岡田,508(-8),栗東,2019104089,1144,ディスクリートキャット,メイショウコブシ,スペシャルウィーク,0.26469336652974423,11,-0.0047104268897189125,11,,
14,8,15,ラインオブソウル,牡7,54.0,角田和,東田,520(+2),栗東,2019105993,1186,シニスターミニスター,ファーストレディ,スマートボーイ,1.8982894782341215,3,0.035618947189413164,3,,
15,8,16,ゴールデンクラウド,牡4,56.0,西村淳,小林,522(-4),栗東,2022110121,1171,Cloud Computing,Seoul Gold,Medaglia d'Oro,0.7598676180194455,8,0.007514178372010712,8,,
