,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,ホレーショ,牡4,58.0,杉原,西田,美浦,2021102409,01135,リアルインパクト ,クルソラ Cursora(亜) ,Candy Stripes ,-0.4102189860733667,9
1,1,2,キャストロペペ,牡4,55.0,▲遠藤,堀内,美浦,2021100257,01218,シャンハイボビー Shanghai Bobby(米) ,キャストロメファ ,トワイニング Twining(米) ,0.5344962588245031,3
2,2,3,リュクスレオン,牡4,58.0,三浦,高柳瑞,美浦,2021103285,01122,ドレフォン Drefong(米) ,リュクスメジャー ,ダイワメジャー ,-0.727695565647853,12
3,2,4,カルツァクライン,牡4,58.0,丸田,林,美浦,2021102933,01117,イスラボニータ ,ポリネイター Pollenator(愛) ,Motivator ,-2.6824773244033064,16
4,3,5,イデアユウシン,牡5,58.0,北村宏,松永康,美浦,2020106549,01043,ドレフォン Drefong(米) ,コウヨウマリア ,ダンスインザダーク ,-0.6560960310362838,11
5,3,6,メイショウソムリエ,牡4,58.0,丹内,蛯名正,美浦,2021102980,01091,サトノダイヤモンド ,シーサイドホーム Seaside Home(米) ,Storm Cat (米) ,1.3672855999928761,1
6,4,7,アレスエルピーダ,牡4,58.0,田辺,栗田,美浦,2021104541,01075,サトノアレス ,アンドモアアゲイン Andmoreagain(米) ,Distorted Humor (米) ,-1.684575975673897,15
7,4,8,ストロングブラック,牡4,58.0,柴田大,粕谷,美浦,2021109063,01009,インカンテーション ,コウヨウアイリーン ,ダンスインザダーク ,-0.5053937565772253,10
8,5,9,ロードインフェルノ,牡4,55.0,▲長浜,尾形,美浦,2021101201,01214,サトノアラジン ,ショウナンカガリビ ,フレンチデピュティ French Deputy(米) ,-0.29900974467276503,7
9,5,10,サンマルミッション,牡4,58.0,岩部,和田勇,美浦,2021107331,00726,タリスマニック Talismanic(英) ,ワタシダイナマイト ,スニッツェル Snitzel(豪) ,0.2161980925219682,5
10,6,11,アルマーレシチー,牡4,58.0,大野,上原博,美浦,2021100675,01096,ロジャーバローズ ,アルポルト ,ルーラーシップ ,-1.597799951155261,14
11,6,12,ブレイクザアイス,牡6,58.0,黛,森一,美浦,2019103219,01109,ラニ ,チェストケハーツ ,ハーツクライ ,0.00694178532462547,6
12,7,13,ジャクソン,牡5,58.0,木幡初,武市,美浦,2020104354,01153,サトノアラジン ,プードルデコール ,New Approach ,-0.8043239338389415,13
13,7,14,エスジースパークル,牝5,55.0,☆横山琉,鈴木慎,美浦,2020100130,01192,パイロ Pyro(米) ,セドゥラマジー ,ダイワメジャー ,-0.3125695542597616,8
14,8,15,ロードレヴェランス,牡4,58.0,横山和,斎藤誠,美浦,2021100155,01140,モーリス ,パステラリア ,エンパイアメーカー Empire Maker(米) ,0.4019274592228083,4
15,8,16,サイモンプレジール,牡4,58.0,佐々木,加藤和,美浦,2021102798,01197,エピカリス ,ピーエムルッカ ,キンシャサノキセキ ,0.6352507584843492,2
