,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id,通過,上り
202309040404,1,4,4,エストレヤデベレン,牡2,55.0,ルメール,0:1:55.8,,2.4,1.0,522,[西] 武幸四郎,1800,晴,ダート,良,2023年09月17日,新馬,2021106587,05339,5-5-1-1,39.7
202309040404,2,3,3,サンライズガッツ,牡2,55.0,Ｍ．デム,0:1:56.9,7.0,5.2,3.0,488,[西] 安田翔伍,1800,晴,ダート,良,2023年09月17日,新馬,2021105982,05212,6-6-2-2,40.8
202309040404,3,2,2,スマートレザルト,牡2,55.0,和田竜二,0:1:58.2,8.0,4.3,2.0,452,[西] 吉田直弘,1800,晴,ダート,良,2023年09月17日,新馬,2021102722,01018,4-3-5-3,41.6
202309040404,4,8,8,ケンタッキーダンス,牝2,52.0,鷲頭虎太,0:1:59.2,6.0,100.1,8.0,404,[西] 羽月友彦,1800,晴,ダート,良,2023年09月17日,新馬,2021104349,01202,7-7-7-8,41.6
202309040404,5,7,7,ダンツハマー,牝2,52.0,田口貫太,0:1:59.4,1.0,5.7,4.0,476,[西] 谷潔,1800,晴,ダート,良,2023年09月17日,新馬,2021105920,01208,3-3-5-4,42.7
202309040404,6,5,5,フォンローザ,牝2,55.0,松山弘平,0:2:00.1,4.0,11.9,5.0,444,[西] 茶木太樹,1800,晴,ダート,良,2023年09月17日,新馬,2021105818,01126,2-1-2-6,43.5
202309040404,7,1,1,プリンスジョイ,牡2,55.0,幸英明,0:2:00.3,1.0,35.1,7.0,498,[西] 浜田多実,1800,晴,ダート,良,2023年09月17日,新馬,2021100593,00732,8-8-8-7,42.8
202309040404,8,6,6,チェリアーナ,牡2,55.0,岩田望来,0:2:01.8,9.0,15.3,6.0,498,[西] 中竹和也,1800,晴,ダート,良,2023年09月17日,新馬,2021106613,01174,1-2-2-5,45.4
