,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,コーパスクリスティ,牡5,60.0,中村,佐藤悠,栗東,2020103703,01101,エピファネイア ,レッドソンブレロ ,キングカメハメハ 
1,2,2,キャプテンローレル,牡6,60.0,五十嵐,田村,美浦,2019100051,01069,ドレフォン Drefong(米) ,アラフネ ,クロフネ 
2,3,3,コスモチプリア,牝5,58.0,伴,松永康,美浦,2020105774,01149,ゴールドシップ ,ホワイトウインド ,スウェプトオーヴァーボード Swept Overboard(米) 
3,3,4,タイセイジャスパー,セ6,60.0,大江圭,伊藤圭,美浦,2019100135,01120,ヘニーヒューズ Henny Hughes(米) ,プラセンティア ,トワイニング Twining(米) 
4,4,5,オーバーザドリーム,牡5,60.0,小野寺,清水久,栗東,2020105734,01123,ヘニーハウンド ,マザーレイク ,サンデーサイレンス Sunday Silence(米) 
5,4,6,マホロバ,牡5,60.0,草野,和田郎,美浦,2020105732,01113,キズナ ,シアージュ ,Raven's Pass 
6,5,7,アクアマリンブルー,セ7,60.0,黒岩,戸田,美浦,2018104872,01072,オーシャンブルー ,ローズカットダイヤ ,フレンチデピュティ French Deputy(米) 
7,5,8,キタノマキシム,牡4,57.0,▲水沼,伊藤伸,美浦,2021100514,01201,ロジャーバローズ ,エリモプリンセス ,キングカメハメハ 
8,6,9,ジッピーレーサー,セ8,57.0,▲井上,天間,美浦,2017110086,01151,City Zip (米) ,Espial ,Banker's Gold 
9,6,10,オリエンタルナイト,牡4,59.0,森一,寺島,栗東,2021104751,01139,ハービンジャー Harbinger(英) ,オリエントワークス ,ワークフォース Workforce(英) 
10,7,11,アメリカンピース,セ7,60.0,小坂,東田,栗東,2018110131,01063,Tapit (米) ,La Cloche ,Ghostzapper 
11,7,12,ヘヴンリーハンド,セ4,59.0,石神深,武井,美浦,2021106910,01059,オルフェーヴル ,アンシェリゼ Une Cherise(米) ,Curlin (米) 
12,8,13,スペクトログラム,牡6,60.0,小牧加,池江,栗東,2019105186,01196,ドレフォン Drefong(米) ,ケアレスウィスパー ,フジキセキ 
13,8,14,サンダーアラート,セ4,59.0,上野,田中博,美浦,2021101671,01087,サンダースノー Thunder Snow(愛) ,テイクウォーニング ,ディープスカイ 
