,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,セブンスウェイ,牡3,57.0,丹内,清水英,美浦,2022101791,01091,ジャスタウェイ ,セブンスハーモニー ,シンボリクリスエス ,-3.556065827759306,15
1,2,2,クリノエニシ,牡3,57.0,小崎,武英,栗東,2022101147,01152,シャンハイボビー Shanghai Bobby(米) ,アスカトップレディ ,アドマイヤボス ,-0.49938080553251085,2
2,2,3,ロジピエルフ,牡3,57.0,吉田隼,稲垣,美浦,2022106128,01095,ロジユニヴァース ,ピエルフ ,エピファネイア ,-0.9746235905128547,7
3,3,4,デルタウェーブ,牝3,55.0,国分恭,西園翔,栗東,2022104146,01124,リオンディーズ ,ニューウェーブ ,ハーツクライ ,0.653991787730429,1
4,3,5,ウインクレドール,牡3,54.0,▲舟山,鹿戸,美浦,2022106211,01221,モーリス ,ウインオリアート ,ステイゴールド ,-1.1920599232559521,9
5,4,6,ビービーバザーク,牡3,57.0,佐々木,武幸,栗東,2022102397,01197,シニスターミニスター Sinister Minister(米) ,カリビアンロマンス ,コマンズ Commands(豪) ,-2.3342468080812804,12
6,4,7,ノイエムジーク,牡3,57.0,菱田,須貝,栗東,2022105707,01144,ジャスタウェイ ,ターフェルムジーク ,ノヴェリスト Novellist(愛) ,-2.4180445879976413,13
7,5,8,メイショウアイル,牡3,57.0,藤懸,高橋忠,栗東,2022102573,01138,ミッキーアイル ,メイショウスザンナ ,アグネスデジタル ,-0.9710998110044031,6
8,5,9,キンセンオー,牡3,57.0,丸山,中尾,栗東,2022101769,01127,エスケンデレヤ ,エスパージョー ,エスポワールシチー ,-1.7568867840608042,10
9,6,10,ビビデバビデブー,牡3,54.0,▲今村,村田,美浦,2022107108,01193,サトノダイヤモンド ,ベルクシュタイゲン ,エスケンデレヤ ,-0.7766835571332914,4
10,6,11,クレヨンポップ,牡3,57.0,武藤,水野,美浦,2022109099,01169,ロジャーバローズ ,メイモアナ ,ロードカナロア ,-2.113712193917494,11
11,7,12,メイショウタイピン,牡3,57.0,酒井,飯田,栗東,2022102828,01034,モズアスコット ,メイショウキラリ ,マンハッタンカフェ ,-0.8570585690032178,5
12,7,13,ゲンタツ,牡3,53.0,★小林美,中竹,栗東,2022100932,01206,ヘニーヒューズ Henny Hughes(米) ,カワカミマゴコロ ,パイロ Pyro(米) ,-2.7880577452936937,14
13,8,14,チュラビックタイム,牡3,57.0,斎藤,斎藤誠,美浦,2022102097,01178,ビッグアーサー ,ベリーベリータイム ,ブライアンズタイム Brian's Time(米) ,-0.7574140436941523,3
14,8,15,トンヤイビーン,牡3,54.0,▲石田,辻,美浦,2022103116,01203,アニマルキングダム Animal Kingdom(米) ,プレイフォミラクル ,ヘニーヒューズ Henny Hughes(米) ,-1.0137612456811775,8
