,peds_0,peds_1,peds_2,peds_3,peds_4,peds_5,peds_6,peds_7,peds_8,peds_9,peds_10,peds_11,peds_12,peds_13,peds_14,peds_15,peds_16,peds_17,peds_18,peds_19,peds_20,peds_21,peds_22,peds_23,peds_24,peds_25,peds_26,peds_27,peds_28,peds_29,peds_30,peds_31,peds_32,peds_33,peds_34,peds_35,peds_36,peds_37,peds_38,peds_39,peds_40,peds_41,peds_42,peds_43,peds_44,peds_45,peds_46,peds_47,peds_48,peds_49,peds_50,peds_51,peds_52,peds_53,peds_54,peds_55,peds_56,peds_57,peds_58,peds_59,peds_60,peds_61
2016101148,ノヴェリスト,エンジェリックレイ,Monsun,Night Lagoon,ダイワメジャー,レディバラード,Konigsstuhl,Mosella,Lagunas,Nenuphar,サンデーサイレンス,スカーレットブーケ,Unbridled,Angelic Song,Dschingis Khan,Konigskronung,Surumu,Monasia,イルドブルボン,Liranga,Night Shift,Narola,Halo,Wishing Well,ノーザンテースト,スカーレットインク,Fappiano,Gana Facil,Halo,Ballade,Tamerlane,Donna Diana,Tiepoletto,Kronung,Literat,Surama,Authi,Monacensia,Nijinsky,Roseliere,Literat,Love In,Northern Dancer,Ciboulette,Nebos,Nubia,Hail to Reason,Cosmah,Understanding,Mountain Flower,Northern Dancer,Lady Victoria,Crimson Satan,Consentida,Mr. Prospector,Killaloe,Le Fabuleux,Charedi,Hail to Reason,Cosmah,Herbager,Miss Swapsco
2016100101,キングヘイロー,アイティアビー,ダンシングブレーヴ,グッバイヘイロー,フジキセキ,トウキュウアビー,Lyphard,Navajo Princess,Halo,Pound Foolish,サンデーサイレンス,ミルレーサー,コマンダーインチーフ,プリンセスアビー,Northern Dancer,Goofed,Drone,Olmec,Hail to Reason,Cosmah,Sir Ivor,Squander,Halo,Wishing Well,Le Fabuleux,Marston's Mill,ダンシングブレーヴ,Slightly Dangerous,Explodent,Apalachee Relation,Nearctic,Natalma,Court Martial,Barra,Sir Gaylord,Cap and Bells,Pago Pago,Chocolate Beau,Turn-to,Nothirdchance,Cosmic Bomb,Almahmoud,Sir Gaylord,Attica,Buckpasser,Discipline,Hail to Reason,Cosmah,Understanding,Mountain Flower,Wild Risk,Anguar,In Reality,Millicent,Lyphard,Navajo Princess,Roberto,Where You Lead,Nearctic,Venomous,Apalachee,Our Relation
2016100802,タイムパラドックス,テイエムプリンセス,ブライアンズタイム,ジョリーザザ,ネオユニヴァース,アリー,Roberto,Kelley's Day,Alzao,Bold Lady,サンデーサイレンス,ポインテッドパス,Deputy Minister,Secret Partner,Hail to Reason,Bramalea,Graustark,Golden Trail,Lyphard,Lady Rebecca,ボールドラツド,Tredam,Halo,Wishing Well,Kris,Silken Way,Vice Regent,Mint Copy,Rahy,Farewell Partner,Turn-to,Nothirdchance,Nashua,Rarelea,Ribot,Flower Bowl,Hasty Road,Sunny Vale,Northern Dancer,Goofed,Sir Ivor,Pocahontas,Bold Ruler,Misty Morn,High Treason,Damasi,Hail to Reason,Cosmah,Understanding,Mountain Flower,Sharpen Up,Doubly Sure,Shantung,Boulevard,Northern Dancer,Victoria Regina,Bunty's Flight,Shakney,Blushing Groom,Glorious Song,Northern Dancer,Native Partner
2016100803,アルデバラン,ハナガスミ,Mr. Prospector,Chimes of Freedom,クロコルージュ,ミラーズタイム,Raise a Native,Gold Digger,Private Account,Aviance,Rainbow Quest,Alligatrix,ブライアンズタイム,ミラーズラス,Native Dancer,Raise You,Nashua,Sequence,Damascus,Numbered Account,Northfields,Minnie Hauk,Blushing Groom,I Will Follow,Alleged,Shore,Roberto,Kelley's Day,Mill Reef,Prudent Girl,Polynesian,Geisha,Case Ace,Lady Glory,Nasrullah,Segula,Count Fleet,Miss Dogwood,Sword Dancer,Kerala,Buckpasser,Intriguing,Northern Dancer,Little Hut,Sir Ivor,Best in Show,Red God,Runaway Bride,Herbager,Where You Lead,Hoist the Flag,Princess Pout,Round Table,Delta,Hail to Reason,Bramalea,Graustark,Golden Trail,Never Bend,Milan Mill,プリメラ,Bride Elect
2016106277,タイキシャトル,リルティングソング,Devil's Bag,ウェルシュマフィン,スペシャルウィーク,エッコ,Halo,Ballade,Caerleon,Muffitys,サンデーサイレンス,キャンペンガール,リズム,サクラユタカヒメ,Hail to Reason,Cosmah,Herbager,Miss Swapsco,Nijinsky,Foreseer,Thatch,Contrail,Halo,Wishing Well,マルゼンスキー,レディーシラオキ,Mr. Prospector,Dance Number,ジュニアス,アンジェリカ,Turn-to,Nothirdchance,Cosmic Bomb,Almahmoud,Vandale,Flagette,Cohoes,Soaring,Northern Dancer,Flaming Page,Round Table,Regal Gleam,Forli,Thong,Roan Rocket,Azurine,Hail to Reason,Cosmah,Understanding,Mountain Flower,Nijinsky,シル,セントクレスピン,ミスアシヤガワ,Raise a Native,Gold Digger,Northern Dancer,Numbered Account,Raja Baba,Solid Thought,ネヴァービート,スターハイネス
2016100630,サウスヴィグラス,グラッドリー,エンドスウィープ,ダーケストスター,アグネスタキオン,プチアノ,フォーティナイナー,Broom Dance,Star de Naskra,Minnie Riperton,サンデーサイレンス,アグネスフローラ,Rubiano,Pucheca,Mr. Prospector,File,Dance Spell,Witching Hour,Naskra,Candle Star,Cornish Prince,English Harbor,Halo,Wishing Well,ロイヤルスキー,アグネスレディー,Fappiano,Ruby Slippers,Tom Rolfe,Regal Gleam,Raise a Native,Gold Digger,Tom Rolfe,Continue,Northern Dancer,Obeah,Thinking Cap,Enchanted Eve,Nasram,Iskra,Clandestine,Star Minstrel,Bold Ruler,Teleran,War Admiral,Level Sands,Hail to Reason,Cosmah,Understanding,Mountain Flower,Raja Baba,Coz o'Nijinsky,リマンド,イコマエイカン,Mr. Prospector,Killaloe,Nijinsky,Moon Glitter,Ribot,Pocahontas,Hail to Reason,Miz Carol
2016101490,ジャスタウェイ,アポロティアラ,ハーツクライ,シビル,パラダイスクリーク,タイキフレグランス,サンデーサイレンス,アイリッシュダンス,Wild Again,シャロン,Irish River,North Of Eden,Topsider,Sudden Flash,Halo,Wishing Well,トニービン,ビューパーダンス,Icecapade,Bushel-n-Peck,Mo Exception,Double Wiggle,Riverman,Irish Star,Northfields,ツリーオブノレッジ,Northern Dancer,Drumtop,Known Fact,Spark of Fire,Hail to Reason,Cosmah,Understanding,Mountain Flower,カンパラ,Severn Bridge,Lyphard,My Bupers,Nearctic,Shenanigans,Khaled,Dama,Hard Work,With Exception,Sir Wiggle,Blue Double,Never Bend,River Lady,Klairon,Botany Bay,Northern Dancer,Little Hut,Sassafras,Sensibility,Nearctic,Natalma,Round Table,Zonah,In Reality,Tamerett,Run the Gantlet,Sparkalark
2016103349,パイロ,メイトリアーキー,Pulpit,Wild Vision,Doyen,Criquette,A.P. Indy,Preach,Wild Again,Carol's Wonder,Sadler's Wells,Moon Cactus,Shirley Heights,Ghislaine,Seattle Slew,Weekend Surprise,Mr. Prospector,Narrate,Icecapade,Bushel-n-Peck,Pass the Tab,Carols Christmas,Northern Dancer,Fairy Bridge,Kris,Lady Moon,Mill Reef,Hardiemma,Icecapade,Cambretta,Bold Reasoning,My Charmer,Secretariat,Lassie Dear,Raise a Native,Gold Digger,Honest Pleasure,State,Nearctic,Shenanigans,Khaled,Dama,Al Hattab,Dantina,Whitesburg,Light Verse,Nearctic,Natalma,Bold Reason,Special,Sharpen Up,Doubly Sure,Mill Reef,ムーンライトナイト,Never Bend,Milan Mill,ハーディカヌート,Grand Cross,Nearctic,Shenanigans,Roberto,Cambrienne
2016103511,スマートファルコン,イナズマチーター,ゴールドアリュール,ケイシュウハーブ,カリズマティック,スエヒロジョウオー,サンデーサイレンス,ニキーヤ,ミシシッピアン,キョウエイシラユキ,Summer Squall,Bali Babe,トウショウペガサス,イセスズカ,Halo,Wishing Well,Nureyev,Reluctant Guest,Vaguely Noble,Gazala,クラウンドプリンス,アリアーン,Storm Bird,Weekend Surprise,Drone,Polynesian Charm,ダンディルート,ソシアルトウショウ,マルゼンスキー,サリュウエイシヨン,Hail to Reason,Cosmah,Understanding,Mountain Flower,Northern Dancer,Special,Hostage,Vaguely Royal,ヴィエナ,Noble Lassie,Dark Star,Belle Angevine,Raise a Native,Gay Hostess,シルバーシャーク,Nucciolina,Northern Dancer,South Ocean,Secretariat,Lassie Dear,Sir Gaylord,Cap and Bells,What a Pleasure,Grass Shack,Luthier,Dentrelic,ヴェンチア,ソシアルバターフライ,Nijinsky,シル,インファチュエイション,ミスヤマナカ
2016100705,スクリーンヒーロー,コスモルビー,グラスワンダー,ランニングヒロイン,ソヴィエトスター,Robinia,Silver Hawk,Ameriflora,サンデーサイレンス,ダイナアクトレス,Nureyev,Veruschka,Roberto,Royal Graustark,Roberto,Gris Vitesse,Danzig,Graceful Touch,Halo,Wishing Well,ノーザンテースト,モデルスポート,Northern Dancer,Special,ヴェンチア,Marie d'Anjou,Hail to Reason,Bramalea,Graustark,Princess Roycraft,Hail to Reason,Bramalea,Amerigo,Matchiche,Northern Dancer,Pas de Nom,His Majesty,Pi Phi Gal,Hail to Reason,Cosmah,Understanding,Mountain Flower,Northern Dancer,Lady Victoria,モデルフール,マジックゴデイス,Nearctic,Natalma,Forli,Thong,Relic,Rose O'Lynn,Vandale,Marigold,Turn-to,Nothirdchance,Nashua,Rarelea,Ribot,Flower Bowl,Royal Note,Crafty Princess
