,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,インディゴブラック,セ7,60.0,小坂,奥村豊,524(+8),栗東,2019105143,01063,キタサンブラック,カーニバルダクス,Bernardini
1,2,2,レッドバロッサ,セ7,60.0,小牧加,佐藤悠,518(+2),栗東,2019105473,01196,ドレフォン,モスカートローザ,ディープインパクト
2,3,3,ヴィンテージボンド,牡7,59.0,難波,西園正,496(+8),栗東,2019105095,01066,キズナ,ヴィンテージドール,ホワイトマズル
3,4,4,ホウオウプレシャス,牡6,59.0,水沼,天間,498(+8),美浦,2020103939,01201,イスラボニータ,プレシャスドロップ,フレンチデピュティ
4,5,5,シホノスペランツァ,牡7,60.0,高田,寺島,480(+2),栗東,2019105654,01046,ブラックタイド,メジロスプレンダー,シンボリクリスエス
5,6,6,ヴラディア,牡7,59.0,石神深,小西,484(0),美浦,2019105578,01059,ラブリーデイ,ユメノトキメキ,マーベラスサンデー
6,6,7,ウン,牡7,59.0,森一,吉田,504(+12),栗東,2019100295,01139,キタサンブラック,マリブウィン,Malibu Moon
7,7,8,ジオフロント,牡8,60.0,鷲頭,清水久,488(+2),栗東,2018104881,01202,ハーツクライ,アガルタ,キングカメハメハ
8,7,9,フェーングロッテン,セ7,59.0,小野寺,宮本,470(0),栗東,2019105366,01123,ブラックタイド,ピクシーホロウ,キングヘイロー
9,8,10,フームスムート,牡9,59.0,上野,水野,540(-4),美浦,2017104238,01087,トゥザグローリー,ディアジーローズ,ワイルドラッシュ
10,8,11,ダイシンクローバー,セ10,63.0,草野,戸田,492(-12),美浦,2016100158,01113,キンシャサノキセキ,ヒシディーバ,Fusaichi Pegasus
