,式別,馬番,配当,人気
202607010101,単勝,5,180,1
202607010101,複勝,5,110,1
202607010101,複勝,3,1170,9
202607010101,複勝,4,310,5
202607010101,枠連,3-5,7960,16
202607010101,馬連,3-5,7000,18
202607010101,ワイド,3-5,2020,18
202607010101,ワイド,4-5,580,6
202607010101,ワイド,3-4,6160,34
202607010101,馬単,5→3,9160,27
202607010101,三連複,3-4-5,20840,46
202607010101,三連単,5→3→4,106100,228
202607010102,単勝,9,820,3
202607010102,複勝,9,200,3
202607010102,複勝,12,360,6
202607010102,複勝,4,160,2
202607010102,枠連,5-6,1270,5
202607010102,馬連,9-12,7820,24
202607010102,ワイド,9-12,2210,26
202607010102,ワイド,4-9,500,3
202607010102,ワイド,4-12,1040,11
202607010102,馬単,9→12,14560,49
202607010102,三連複,4-9-12,7380,22
202607010102,三連単,9→12→4,61080,178
202607010103,単勝,1,800,4
202607010103,複勝,1,230,4
202607010103,複勝,5,170,1
202607010103,複勝,4,820,11
202607010103,枠連,1-4,1270,8
202607010103,馬連,1-5,1280,4
202607010103,ワイド,1-5,530,5
202607010103,ワイド,1-4,3300,38
202607010103,ワイド,4-5,2340,29
202607010103,馬単,1→5,2790,10
202607010103,三連複,1-4-5,12750,46
202607010103,三連単,1→5→4,65240,224
202607010104,単勝,11,530,3
202607010104,複勝,11,180,3
202607010104,複勝,14,280,6
202607010104,複勝,5,160,2
202607010104,枠連,6-7,1660,5
202607010104,馬連,11-14,2560,9
202607010104,ワイド,11-14,810,10
202607010104,ワイド,5-11,450,3
202607010104,ワイド,5-14,870,12
202607010104,馬単,11→14,4460,17
202607010104,三連複,5-11-14,4420,13
202607010104,三連単,11→14→5,25620,78
202607010105,単勝,5,480,3
202607010105,複勝,5,190,2
202607010105,複勝,14,320,5
202607010105,複勝,12,890,11
202607010105,枠連,3-7,1270,5
202607010105,馬連,5-14,3200,11
202607010105,ワイド,5-14,970,8
202607010105,ワイド,5-12,2250,28
202607010105,ワイド,12-14,4830,53
202607010105,馬単,5→14,3910,11
202607010105,三連複,5-12-14,23790,79
202607010105,三連単,5→14→12,118880,396
202607010106,単勝,11,380,2
202607010106,複勝,11,180,1
202607010106,複勝,10,500,8
202607010106,複勝,3,440,6
202607010106,枠連,5-6,900,4
202607010106,馬連,10-11,2820,7
202607010106,ワイド,10-11,1090,7
