,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,クインズセレネ,牝5,56.0,藤懸,野中,488(+12),---.-,10,栗東,2021103943,1138,キンシャサノキセキ,ターフデザイナー,Unbridled's Song,0.1737138787866139,7,0.0359534803415592,9,-0.8885461906930944,12,52.5,45.5,48.5,10
1,1,2,ジョアン,牝3,53.0,団野,中村,460(+6),---.-,4,栗東,2023107211,1180,アルバート,プリームス,フジキセキ,0.7686672157996755,4,0.0429016665147868,1,-0.4123761247270211,2,75.6,56.0,56.9,2
2,2,3,メイショウウメゴチ,牝4,56.0,秋山稔,高橋忠,424(+12),---.-,9,栗東,2022102768,1181,ダノンレジェンド,レッドマーキュリー,マンハッタンカフェ,0.1095322344051332,8,-0.0353874196237238,10,-0.4661477731779625,10,51.4,45.7,51.2,9
3,2,4,ベルメサイア,牝5,56.0,酒井,西村,518(+8),---.-,8,栗東,2021103776,1034,ホッコータルマエ,ティープラズマ,エンパイアメーカー,1.0270278691208017,2,0.0429016665147868,7,-0.1853474286741447,7,53.4,47.1,53.0,6
4,3,5,ショウナンラウール,牝5,54.0,△田山,高橋忠,432(+4),---.-,7,栗東,2021104242,1220,ショウナンバッハ,ショウナンマライア,クロフネ,0.3738911798420148,6,-0.0353874196237238,8,-0.2338482109150848,11,53.3,45.5,52.6,8
5,3,6,ニホンピロマリンバ,牝5,56.0,田口,安達,500(-20),---.-,11,栗東,2021103841,1208,ニホンピロアワーズ,ニホンピロアニカ,キャプテンスティーヴ,-0.7392912891195872,12,-0.0810091167372386,11,-0.9058476159823418,6,47.3,48.7,47.0,11
6,4,7,アンピュルシオン,牝4,56.0,長岡,今野,446(+6),---.-,13,栗東,2022104426,1142,サトノダイヤモンド,エアラホーヤ,ボストンハーバー,-1.048124956629743,15,-0.094686087386124,13,-1.0854368678960251,5,37.6,49.6,38.5,13
7,4,8,デュアルロール,牝4,56.0,中井,笹田,480(-10),---.-,14,栗東,2022106189,1141,モズアスコット,ヘイローフジ,キングヘイロー,-0.8745166473368541,14,-0.0182515657048601,14,-1.4458643123940202,9,36.9,45.8,37.4,16
8,5,9,クロユキ,牝4,56.0,角田和,松永幹,440(-2),---.-,12,栗東,2022104900,1186,モーリス,チカリータ,クロフネ,-0.1943778225855972,10,-0.0182515657048601,12,-0.8482073993412022,14,44.9,44.8,44.5,12
9,5,10,クイーンズホリデー,牝3,53.0,吉村,清水久,504(+14),---.-,5,栗東,2023100941,1216,オルフェーヴル,タイキオードリー,キングカメハメハ,-0.3789511434133149,11,-0.0641760979149726,3,-0.7021796589704065,13,55.3,45.3,56.3,4
10,6,11,ザラタン,牝4,54.0,△柴田裕,中竹,436(-6),---.-,3,栗東,2022107342,1212,キズナ,カメキチ,Mizzen Mast,0.4225166484297749,5,-0.0583234451244396,4,-0.0371870424330224,8,54.1,46.8,53.1,5
11,6,12,ショコラプリン,牝3,53.0,川田,四位,506(+6),---.-,1,栗東,2023105272,1088,クリソベリル,エスメラルディーナ,Harlan's Holiday,0.9272049391060322,3,0.0656890088720542,2,-0.4259993607113623,4,56.2,50.9,56.8,3
12,7,13,ホウショウルクス,牝3,53.0,松若,東田,440(-6),---.-,2,栗東,2023106298,1154,パイロ,ホウショウレイル,ヴィクトワールピサ,-0.0855069189100317,9,-0.0973693309780069,6,-0.2215493145678779,1,53.8,85.3,76.3,1
13,7,14,ポムドール,牝4,56.0,富田,藤野,462(-3),---.-,16,栗東,2022103921,1168,リアルスティール,レッドレネット,キングカメハメハ,-0.8341449382226879,13,-0.0182515657048601,16,-1.4103885680815804,16,36.8,44.5,37.6,14
14,8,15,アンリーベイビー,牝5,56.0,松山,茶木,432(-2),---.-,6,栗東,2021103723,1126,ロードカナロア,サンビスタ,スズカマンボ,1.1488106606254205,1,0.0218833025650432,5,0.0627289404898041,3,53.9,53.6,52.8,7
15,8,16,ビジュードネージュ,牝4,56.0,亀田,高柳大,432(-6),---.-,15,栗東,2022101580,1176,ゴールドシップ,プリンシアルーチェ,ヘニーヒューズ,-1.361000328062848,16,-0.0182515657048601,15,-1.873351061117128,15,36.9,44.8,37.6,15
