,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,シスキンブルーム,牝2,55.0,団野,斉藤崇,454(-6),---.-,1,栗東,2024106603,1180,シスキン,ボンジュールココロ,リンカーン,1.1615589012548535,1,0.3087451573918722,1,-0.014605376478083274,1
1,2,2,スマートメモリー,牝2,55.0,吉村,石坂,428(0),---.-,3,栗東,2024104520,1216,サリオス,スマートグランデ,ドレフォン,-0.1893373762655806,2,-0.5500617614489965,2,-0.6106655278160528,6
2,3,3,ペプチドニンバス,牡2,55.0,富田,武英,452(-8),---.-,6,栗東,2024101729,1168,ナダル,ペプチドルビー,コロナドズクエスト,-0.32004643039978076,3,-0.9558276457490423,3,-0.48719142848556357,3
3,4,4,イザベル,牝2,55.0,松若,藤野,424(-6),---.-,4,栗東,2024104426,1154,ブラックタイド,ブロークインベガス,キングカメハメハ,-0.6403561349124773,5,-2.168444878976704,6,-0.06207682717239721,2
4,5,5,クリコキアナ,牝2,55.0,国分恭,谷,454(-4),---.-,2,栗東,2024100009,1124,サリオス,リノキアナ,エピファネイア,-0.4545888028985143,4,-1.0869013475205236,4,-0.5209892648453154,4
5,6,6,ニドヅケキンシ,牡2,53.0,◇今村,佐藤悠,482(-4),---.-,5,栗東,2024100498,1193,イスラボニータ,ウェイヴランナー,Raven's Pass,-0.8308409913271432,6,-1.606615272754299,5,-0.5295207527565595,5
