,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,ケイアイメキラ,セ6,58.0,藤懸,秋山,502(+4),---.-,14,栗東,2020104215,1138,パイロ,ケイアイベローナ,クロフネ,0.1607071822863634,9,0.0359534803415592,13,-0.8999755368742914,14,42.2,42.5,40.9,13
1,2,2,ジューンエオス,牝4,56.0,西村淳,武英,498(+10),---.-,4,栗東,2022110069,1171,Constitution,Lights of Medina,エスケンデレヤ,0.8331774246116427,6,0.0359534803415592,10,-0.3090572206099702,7,49.3,46.5,51.4,9
2,2,3,テーオールビー,牝5,56.0,長岡,宮,464(+2),---.-,13,栗東,2021109027,1142,サンダースノー,レディロックバンド,マンハッタンカフェ,-0.4025253411747505,12,-0.071539626904065,9,-0.6734754465406576,6,49.8,51.3,46.1,11
3,3,4,ハリーケーン,牡4,58.0,幸,大根田,524(0),---.-,7,栗東,2022106453,732,モーニン,チェインブラッド,マンハッタンカフェ,0.4134295434388702,7,0.0517832964423219,6,-0.7841414371894878,5,51.8,52.5,53.7,3
4,3,5,グランキングオー,牡4,58.0,吉村,高橋康,458(0),---.-,11,栗東,2022100664,1216,シニスターミニスター,ケリーズアリュール,ゴールドアリュール,1.7238394597186903,2,0.0517832964423219,8,0.3673522239524494,2,50.0,58.6,51.5,8
5,4,6,メイショウミカワ,牡8,58.0,松若,千田,516(-6),---.-,12,栗東,2018106458,1154,ミッキーアイル,メイショウボナール,ホワイトマズル,0.2159797431591988,8,0.0429016665147868,12,-0.8980379878063361,15,43.2,41.4,38.9,14
6,4,7,カネトシゴウト,牡5,58.0,田口,大橋,454(-20),---.-,9,栗東,2021100709,1208,シニスターミニスター,カネトシビバーチェ,キングカメハメハ,-0.3355995462277734,11,-0.0902942992187087,2,-0.4887959646620112,13,55.0,43.4,53.3,4
7,5,8,プロミシングスター,牡5,58.0,団野,高橋忠,452(0),---.-,10,栗東,2021103073,1180,マジェスティックウォリアー,ファインチョイス,アドマイヤムーン,-0.7382846015361816,15,-0.0902942992187087,5,-0.8426465291789603,9,52.4,44.8,51.6,7
8,5,9,ゴッドブルービー,牡6,58.0,角田和,角田,468(-2),---.-,3,栗東,2020106063,1186,パイロ,ゴッドビラブドミー,ブライアンズタイム,-0.2872011712936786,10,-0.0973693309780069,4,-0.3987836671343444,8,52.8,45.8,52.1,6
9,6,10,マッシャーブルム,牡5,58.0,高倉,河嶋,524(-6),---.-,8,栗東,2021106157,1130,モーニン,アサカラヴァーズ,キングヘイロー,1.217964858486155,5,0.0429016665147868,14,-0.0175657824882644,12,40.5,43.6,41.5,12
10,6,11,ストップヤーニング,牡4,58.0,高杉,羽月,448(+2),---.-,1,栗東,2022107306,1213,サンダースノー,アルトゥーナ,ハーツクライ,1.3359141020571732,3,0.0656890088720542,1,-0.0668552451624305,3,78.4,56.1,56.1,2
11,7,12,アレナパラシオ,牡5,58.0,富田,四位,466(-10),---.-,6,栗東,2021100752,1168,シニスターミニスター,ルスナイプリンセス,ファスリエフ,1.9063523695946336,1,0.0656890088720542,7,0.4344047353839252,1,50.9,80.0,77.9,1
12,7,13,シンビリーブ,牡4,58.0,川田,森秀,524(-2),---.-,2,栗東,2022110115,1088,Constitution,Sand Puce,Footstepsinthesand,-0.461640122875528,13,-0.0973693309780069,3,-0.5520680283920723,4,53.4,55.7,52.1,5
13,8,14,メイショウコガシラ,牡6,58.0,太宰,本田,504(-6),---.-,15,栗東,2020100979,1037,メイショウボーラー,マイラッキー,Elusive Quality,-0.6618686192022878,14,-0.0798167741283246,15,-0.8458164377738735,11,31.5,43.8,34.3,15
14,8,15,パフ,牡5,58.0,西塚,橋口,486(+4),---.-,5,栗東,2021100292,1200,レイデオロ,アンジュエ,アグネスタキオン,1.2312690461871936,4,0.0870761022560561,11,-0.3023468961936377,10,48.8,43.9,48.6,10
