,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,グラヴィテ,牝8,58.0,黒岩,藤野,496(+8),---.-,8,栗東,2018103603,1072,ネオユニヴァース,ファシネイト,キングカメハメハ
1,2,2,ナチュラルリバー,牡6,60.0,高田,宮地,484(-6),---.-,11,栗東,2020102559,1046,ルーラーシップ,シナノネージュ,フレンチデピュティ
2,3,3,ワールドシリーズ,牡5,60.0,中村,秋山,476(+4),---.-,12,栗東,2021110002,1101,No Nay Never,エリーシエズワールド,Champs Elysees
3,3,4,バラジ,セ7,60.0,小牧加,井上,498(-4),---.-,1,栗東,2019106698,1196,ヴァンセンヌ,シーダーアラジ,アラジ
4,4,5,ディベルティスマン,牡4,60.0,伴,菊沢,514(-6),---.-,4,美浦,2022104000,1149,キズナ,レディオブキャメロット,モンジュー
5,4,6,セキテイオー,牡7,60.0,金子,田中剛,482(0),---.-,5,美浦,2019101351,1052,ロゴタイプ,ユキアカリノマチ,キングカメハメハ
6,5,7,クロライナ,セ4,60.0,五十嵐,室井,486(-10),---.-,9,美浦,2022104753,1069,アルアイン,クロトノーナ,ルーラーシップ
7,5,8,エンジョイドライブ,牡4,60.0,難波,宮本,472(+8),---.-,10,栗東,2022102713,1066,フォーウィールドライブ,プリンセスメイク,キャプテンスティーヴ
8,6,9,キュピドン,牡6,60.0,森一,森秀,512(0),---.-,3,栗東,2020110065,1139,American Pharoah,Chocolate Pop,Cuvee
9,6,10,ブライテストドーン,セ6,57.0,▲小林凌,田島,516(+8),---.-,13,美浦,2020102956,1177,マインドユアビスケッツ,デザートオブムーン,ゼンノロブロイ
10,7,11,アスクアットバット,セ4,60.0,田村,加藤公,486(+14),---.-,14,栗東,2022110139,1105,カラヴァッジオ,Luna Rosa,Malibu Moon
11,7,12,オーサムストローク,牡5,60.0,草野,伊藤圭,448(-6),---.-,2,美浦,2021100557,1113,エピファネイア,グランドクララ,Frankel
12,8,13,トラマンダーレ,セ6,57.0,▲坂口,浅利,500(-8),---.-,6,美浦,2020103486,1211,ドゥラメンテ,テルアケリー,Tapit
13,8,14,フォルガイル,牡5,57.0,▲水沼,加藤和,446(+6),---.-,7,美浦,2021101164,1201,レイデオロ,アディクション,ハーツクライ
