,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,クリコファルコン,牡3,57.0,菱田,谷,458(-2),---.-,7,栗東,2023101610,1144,アジアエクスプレス,モエレエターナル,ゴールドヘイロー,-0.6498700942516293,13,-0.2760396161544606,9,-0.5340298999792032,14,44.3,44.4,43.0,13
1,2,2,ヴォーゲ,牡3,57.0,田口,森田,418(-14),---.-,13,栗東,2023106342,1208,アルバート,シャープスティーン,ハーツクライ,0.7045925509622277,7,-0.0103038005285552,4,-0.2869110837650705,9,52.4,45.6,54.1,3
2,3,3,メイショウマドンナ,牝3,52.0,▲森田,荒川,474(-4),---.-,9,栗東,2023104999,1222,フィレンツェファイア,ウイングルイーズ,ハーツクライ,1.5602000208547089,2,0.2110741038633265,13,-0.2240834780969224,6,43.1,48.1,43.1,12
3,3,4,モズエムブイピー,牡3,57.0,西村淳,矢作,538(-12),---.-,5,栗東,2023105733,1171,グランプリボス,モズスーパーフレア,Speightstown,-0.2276457132141488,11,-0.1174049076328958,6,-0.5891127629762072,5,51.9,49.6,49.9,6
4,4,5,メイショウテンジン,牡3,57.0,松山,高橋亮,482(-2),---.-,4,栗東,2023106567,1126,フォーウィールドライブ,メイショウミソラ,ハーツクライ,1.0607085113981705,4,0.1753481890554122,10,-0.4237541976233879,11,44.3,45.0,43.4,11
5,4,6,サンライズキース,牡3,57.0,川須,羽月,502(-2),---.-,14,栗東,2023100903,1128,マクフィ,アーキタイプ,ディープインパクト,-1.095489639380236,14,-0.091545566174484,5,-1.0892986167161174,10,52.2,45.4,54.0,4
6,5,7,アルムアポジェ,牝3,55.0,秋山稔,北出,472(-6),---.-,3,栗東,2023104328,1181,アメリカンペイトリオット,チャーリーズ,キングカメハメハ,0.3883883536585442,9,-0.0227586342000137,7,-0.4310249033860491,2,46.2,56.9,47.0,7
7,5,8,モズタイシソウシ,牡3,57.0,藤懸,平田,466(-2),---.-,6,栗東,2023105728,1138,モズアスコット,セイギハカツ,Raven's Pass,1.0348489281071092,5,-0.010577401356588,3,-0.1132420514490945,8,52.8,46.5,51.7,5
8,6,9,メイワキラリ,牡3,57.0,鮫島良,河嶋,466(-2),---.-,10,栗東,2023103746,1099,ミスターメロディ,リュウメイ,コロナドズクエスト,0.5113217597970355,8,-0.0035206528738565,14,-0.4000888298608033,7,41.5,46.9,40.4,14
9,6,10,ジャスパーブレイズ,牡3,57.0,川田,森秀,502(+4),---.-,2,栗東,2023107530,1088,Beau Liam,Sing Lady Sing,Scat Daddy,1.0886996355985818,3,0.0259399436358044,2,-0.1486525367786715,1,60.4,82.7,79.1,1
10,7,11,ショーライトイヤー,牡3,57.0,太宰,石橋,474(-6),---.-,12,栗東,2023105019,1037,ドレフォン,ノーチラス,オルフェーヴル,-0.3592067715652727,12,-0.3223421754877191,12,-0.3008944223668109,4,43.4,49.9,44.3,10
11,7,12,マユナイト,牝3,55.0,幸,高橋康,406(+2),---.-,8,栗東,2023103534,732,ミスチヴィアスアレックス,プランタンビジュー,ダイワメジャー,1.8309130792930497,1,0.1660068863567969,8,-0.0035634974301044,13,44.6,44.5,45.2,8
12,8,13,コパノルーカス,牡3,57.0,Ｍデムーロ,梅田,480(-16),---.-,11,栗東,2023104972,5212,モズアスコット,マリカ,サウスヴィグラス,0.0295010176477324,10,-0.0983357392267534,11,-0.4874986622783901,12,43.7,44.8,45.1,9
13,8,14,スマッシング,牝3,53.0,△田山,佐藤悠,462(-2),---.-,1,栗東,2023100974,1220,ダノンスマッシュ,ロイヤルスピリッツ,ハーツクライ,0.8756585380512906,6,0.1238442928305404,1,-0.4310249033860491,3,79.3,49.9,59.7,2
