,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,ソーニャシュニク,牝4,53.0,▲今村,武井,美浦,2021106923,01193,サンダースノー Thunder Snow(愛) ,テイルオブゴールド ,オルフェーヴル ,-1.1997382272538923,6
1,1,2,スコラーリ,牡6,58.0,内田博,萩原,美浦,2019100718,00422,トゥザワールド ,ヒカリヴィグラス ,サウスヴィグラス ,-2.6060807455435673,14
2,2,3,クインズポラリス,牝4,53.0,▲長浜,上原博,美浦,2021102371,01214,シニスターミニスター Sinister Minister(米) ,アルヴェナ Alvena(加) ,Seeking the Gold ,-0.085161303777091,2
3,2,4,セッカチドラゴン,牡4,55.0,▲石田,本間,美浦,2021100759,01203,スノードラゴン ,ハリケーンタマ ,クロフネ ,-1.6442326016904518,10
4,3,5,タイセイピューマ,牡4,58.0,大野,新開,美浦,2021106119,01096,ディスクリートキャット Discreet Cat(米) ,タイセイクインス ,ワイルドラッシュ Wild Rush(米) ,-0.24469802118685893,4
5,3,6,ケイトポムドゥパン,牝5,56.0,宮崎,中川,美浦,2020105128,01118,スクリーンヒーロー ,ヒシシャトル ,ボストンハーバー Boston Harbor(米) ,-1.5973309745606616,9
6,4,7,ウイントールキン,牡4,55.0,▲石神道,天間,美浦,2021101525,01209,ドレフォン Drefong(米) ,シンボリバーグ ,ダイワメジャー ,-1.9193245484791421,11
7,4,8,クレイプマートル,牝5,56.0,丸田,南田,美浦,2020106976,01117,ジョーカプチーノ ,パドブレ ,ホワイトマズル White Muzzle(英) ,-3.9948724042004553,16
8,5,9,クールソル,牝4,56.0,菅原明,斎藤誠,美浦,2021104325,01179,ドレフォン Drefong(米) ,メジャータイフーン ,ダイワメジャー ,-0.03225892989542777,1
9,5,10,オセアエクスプレス,牡4,58.0,横山武,菊川,美浦,2021104145,01170,アジアエクスプレス ,フロリール ,クロフネ ,-1.4161321831222284,8
10,6,11,ポケッティーノ,牡5,56.0,△小林脩,石栗,美浦,2020100592,01183,ネロ ,ボムシェル ,キャプテンスティーヴ Captain Steve(米) ,-2.944725464909227,15
11,6,12,ヴェルトラウム,牡4,58.0,武藤,西田,美浦,2021104903,01169,ミッキーロケット ,ヒルダ ,ダイワメジャー ,-0.5567499400321037,5
12,7,13,アポロハクジャ,牝7,56.0,的場,的場,美浦,2018100170,01108,アポロソニック ,ツクバビューティ ,ゼンノロブロイ ,-2.5365852298194866,13
13,7,14,グランプリショット,牡4,58.0,佐々木,加藤征,美浦,2021104631,01197,サトノアラジン ,ストライクショット ,ファルブラヴ Falbrav(愛) ,-0.17047790642253982,3
14,8,15,ジークルーネ,牝4,56.0,杉原,栗田,美浦,2021105901,01135,キズナ ,ロスヴァイセ ,シンボリクリスエス ,-2.2088126511631097,12
15,8,16,グラニットピーク,セ5,58.0,黛,森一,美浦,2020103507,01109,ダイワメジャー ,トレジャーステイト ,Oasis Dream (英) ,-1.411371722419862,7
