,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,ヒートオンビート,セ8,60.0,石神深,青木,美浦,2017104936,01059,キングカメハメハ ,マルセリーナ ,ディープインパクト 
1,2,2,プリンセスララア,牝8,58.0,大江圭,的場,美浦,2017100655,01120,スピルバーグ ,ナックオフィス ,ジェネラス Generous(愛) 
2,3,3,ノアフェイス,牡4,57.0,▲土田,武藤,美浦,2021107206,01198,アメリカンペイトリオット ,フォレスタレガーロ ,ダイワメジャー 
3,4,4,ミラクルジニア,牡4,59.0,伴,粕谷,美浦,2021103301,01149,ダンカーク Dunkirk(米) ,キセキノハナ ,ネオユニヴァース 
4,5,5,シンドバッド,牡5,60.0,江田勇,土田,美浦,2020106691,01023,ルーラーシップ ,イルミナティ ,メイショウサムソン 
5,6,6,トラモント,セ8,60.0,金子,新開,美浦,2017105506,01052,アイルハヴアナザー I'll Have Another(米) ,フィロンルージュ ,フレンチデピュティ French Deputy(米) 
6,6,7,クリノオデッセイ,牡4,59.0,小野寺,坂口,栗東,2021101859,01123,ダノンシャーク ,クリノミユキチャン ,キンググローリアス King Glorious(米) 
7,7,8,カイトレッド,牝8,58.0,上野,和田雄,美浦,2017100641,01087,ゴールドヘイロー ,ニシノマドカ ,ジャングルポケット 
8,7,9,ザスリーサーティ,牡10,60.0,草野,尾形,美浦,2015105440,01113,ステイゴールド ,ツーデイズノーチス ,ヘクタープロテクター Hector Protector(米) 
9,8,10,ウィズユアドリーム,牡5,60.0,高田,宮地,栗東,2020101918,01046,サトノダイヤモンド ,フラワーバレイ Flower Valley(米) ,ディスクリートキャット Discreet Cat(米) 
10,8,11,デザートスター,セ6,60.0,小牧加,笹田,栗東,2019101825,01196,サトノアラジン ,ファーマペニー ,ジャングルポケット 
