,式別,馬番,配当,人気
202609011009,複勝,8,260,6
202609011009,馬連,4-8,2550,9
202609011009,ワイド,4-8,520,9
202609011009,ワイド,4-5,140,1
202609011009,ワイド,5-8,650,10
202609011009,馬単,4→8,3420,13
202609011009,三連複,4-5-8,1590,6
202609011009,三連単,4→8→5,9370,35
