race_type,course_len,ground_state,class,体重帯,1着,2着,3着,着外
ダート,1300,不良,1勝クラス,410,1,0,0,0
ダート,1300,不良,1勝クラス,420,0,0,0,2
ダート,1300,不良,1勝クラス,430,0,0,0,1
ダート,1300,不良,1勝クラス,440,0,0,1,1
ダート,1300,不良,1勝クラス,450,0,1,0,8
ダート,1300,不良,1勝クラス,460,0,1,1,7
ダート,1300,不良,1勝クラス,470,0,0,0,2
ダート,1300,不良,1勝クラス,480,0,1,1,5
ダート,1300,不良,1勝クラス,490,2,0,0,4
ダート,1300,不良,1勝クラス,500,1,0,0,7
ダート,1300,不良,1勝クラス,510,0,1,0,2
ダート,1300,不良,1勝クラス,520,0,0,0,3
ダート,1300,不良,1勝クラス,530,0,0,0,1
ダート,1300,不良,1勝クラス,550,0,0,1,0
ダート,1300,不良,2勝クラス,440,0,0,0,1
ダート,1300,不良,2勝クラス,450,0,0,0,2
ダート,1300,不良,2勝クラス,460,1,1,0,4
ダート,1300,不良,2勝クラス,470,0,1,1,4
ダート,1300,不良,2勝クラス,480,0,0,0,3
ダート,1300,不良,2勝クラス,490,0,0,0,3
ダート,1300,不良,2勝クラス,500,0,0,0,1
ダート,1300,不良,2勝クラス,510,0,0,0,3
ダート,1300,不良,2勝クラス,520,0,0,0,4
ダート,1300,不良,2勝クラス,530,1,0,1,1
ダート,1300,不良,all,390,0,0,0,1
ダート,1300,不良,all,400,0,0,0,1
ダート,1300,不良,all,410,1,0,0,5
ダート,1300,不良,all,420,0,1,0,5
ダート,1300,不良,all,430,0,0,0,9
ダート,1300,不良,all,440,2,1,1,11
ダート,1300,不良,all,450,1,3,1,22
ダート,1300,不良,all,460,3,3,2,17
ダート,1300,不良,all,470,1,1,3,26
ダート,1300,不良,all,480,1,2,3,25
ダート,1300,不良,all,490,2,1,1,11
ダート,1300,不良,all,500,1,1,1,16
ダート,1300,不良,all,510,0,1,0,6
ダート,1300,不良,all,520,0,0,0,12
ダート,1300,不良,all,530,2,0,1,2
ダート,1300,不良,all,550,0,0,1,0
ダート,1300,不良,未勝利,390,0,0,0,1
ダート,1300,不良,未勝利,400,0,0,0,1
ダート,1300,不良,未勝利,410,0,0,0,5
ダート,1300,不良,未勝利,420,0,1,0,3
ダート,1300,不良,未勝利,430,0,0,0,8
ダート,1300,不良,未勝利,440,2,1,0,9
ダート,1300,不良,未勝利,450,1,2,1,12
ダート,1300,不良,未勝利,460,2,1,1,6
ダート,1300,不良,未勝利,470,1,0,2,20
ダート,1300,不良,未勝利,480,1,1,2,17
ダート,1300,不良,未勝利,490,0,1,1,4
ダート,1300,不良,未勝利,500,0,1,1,8
ダート,1300,不良,未勝利,510,0,0,0,1
ダート,1300,不良,未勝利,520,0,0,0,5
ダート,1300,不良,未勝利,530,1,0,0,0
ダート,1300,全,1勝クラス,400,0,0,1,0
ダート,1300,全,1勝クラス,410,1,0,0,2
ダート,1300,全,1勝クラス,420,0,0,1,7
ダート,1300,全,1勝クラス,430,0,1,1,13
ダート,1300,全,1勝クラス,440,2,2,1,26
ダート,1300,全,1勝クラス,450,2,6,2,37
ダート,1300,全,1勝クラス,460,4,3,4,60
ダート,1300,全,1勝クラス,470,4,7,6,54
ダート,1300,全,1勝クラス,480,3,6,4,59
ダート,1300,全,1勝クラス,490,5,1,4,55
ダート,1300,全,1勝クラス,500,7,2,5,42
ダート,1300,全,1勝クラス,510,3,3,2,27
ダート,1300,全,1勝クラス,520,0,2,1,12
ダート,1300,全,1勝クラス,530,3,1,1,8
ダート,1300,全,1勝クラス,540,1,0,1,5
ダート,1300,全,1勝クラス,550,0,1,1,7
ダート,1300,全,2勝クラス,420,0,0,0,2
ダート,1300,全,2勝クラス,430,0,0,0,4
ダート,1300,全,2勝クラス,440,0,2,3,14
ダート,1300,全,2勝クラス,450,2,0,1,32
ダート,1300,全,2勝クラス,460,3,6,1,40
ダート,1300,全,2勝クラス,470,7,5,4,47
ダート,1300,全,2勝クラス,480,3,4,5,48
ダート,1300,全,2勝クラス,490,4,2,7,54
ダート,1300,全,2勝クラス,500,3,5,0,39
ダート,1300,全,2勝クラス,510,3,2,3,30
ダート,1300,全,2勝クラス,520,1,2,3,38
ダート,1300,全,2勝クラス,530,2,1,1,7
ダート,1300,全,2勝クラス,540,0,0,1,3
ダート,1300,全,2勝クラス,550,1,0,0,1
ダート,1300,全,3勝クラス,440,0,0,1,2
ダート,1300,全,3勝クラス,450,0,0,0,1
ダート,1300,全,3勝クラス,460,1,0,1,7
ダート,1300,全,3勝クラス,470,0,3,1,12
ダート,1300,全,3勝クラス,480,0,0,1,18
ダート,1300,全,3勝クラス,490,0,1,0,10
ダート,1300,全,3勝クラス,500,2,2,0,5
ダート,1300,全,3勝クラス,510,1,0,1,12
ダート,1300,全,3勝クラス,520,1,0,0,3
ダート,1300,全,3勝クラス,530,0,0,0,2
ダート,1300,全,3勝クラス,540,1,0,1,0
ダート,1300,全,3勝クラス,550,0,0,0,1
ダート,1300,全,all,380,0,0,0,5
ダート,1300,全,all,390,0,0,0,6
ダート,1300,全,all,400,2,1,1,24
ダート,1300,全,all,410,1,1,0,45
ダート,1300,全,all,420,4,4,6,89
ダート,1300,全,all,430,4,4,7,145
ダート,1300,全,all,440,11,15,10,210
ダート,1300,全,all,450,23,26,18,241
ダート,1300,全,all,460,27,26,26,320
ダート,1300,全,all,470,27,34,28,294
ダート,1300,全,all,480,16,20,32,253
ダート,1300,全,all,490,19,18,22,221
ダート,1300,全,all,500,22,17,9,145
ダート,1300,全,all,510,11,8,9,117
ダート,1300,全,all,520,5,5,7,76
ダート,1300,全,all,530,7,2,3,31
ダート,1300,全,all,540,2,0,3,17
ダート,1300,全,all,550,1,1,1,17
ダート,1300,全,新馬,400,0,1,0,1
ダート,1300,全,新馬,410,0,0,0,4
ダート,1300,全,新馬,420,1,2,0,12
ダート,1300,全,新馬,430,0,0,1,16
ダート,1300,全,新馬,440,1,1,0,20
ダート,1300,全,新馬,450,1,1,2,16
ダート,1300,全,新馬,460,0,3,2,23
ダート,1300,全,新馬,470,2,2,3,20
ダート,1300,全,新馬,480,1,0,2,11
ダート,1300,全,新馬,490,2,3,1,21
ダート,1300,全,新馬,500,2,0,1,5
ダート,1300,全,新馬,510,2,0,1,3
ダート,1300,全,新馬,520,0,0,0,1
ダート,1300,全,新馬,530,1,0,0,0
ダート,1300,全,新馬,540,0,0,0,2
ダート,1300,全,新馬,550,0,0,0,1
ダート,1300,全,未勝利,380,0,0,0,5
