,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,ジェモロジー,牝5,56.0,国分優,橋口,512(+14),栗東,2020103560,01125,ハービンジャー  Harbinger(英)  ,ファシネートダイア  ,アグネスタキオン  ,0.4487546676157464,3
1,1,2,パッションリッチ,牡3,56.0,斎藤,久保田,486(-4),美浦,2022105390,01178,ドゥラメンテ  ,セータコローナ  ,Distorted Humor  (米)  ,-1.8183123950811426,7
2,2,3,コスモアバンサ,牡5,58.0,丹内,清水英,492(+4),美浦,2020101337,01091,リオンディーズ  ,ヨウヨウ  ,マヤノトップガン  ,-2.9256842823438287,11
3,2,4,フルレゾン,牝4,56.0,亀田,池添,464(+20),栗東,2021104840,01176,オルフェーヴル  ,カイカヨソウ  ,ティンバーカントリー  Timber Country(米)  ,-1.6256853668792404,6
4,3,5,バードウォッチャー,牡4,58.0,吉田隼,国枝,484(+4),美浦,2021105375,01095,ブラックタイド  ,アパパネ  ,キングカメハメハ  ,-2.098490826357501,9
5,3,6,シルバープリペット,牡5,58.0,杉原,松山,474(+4),美浦,2020104878,01135,レッドファルクス  ,アウグスタ  ,エイシンフラッシュ  ,-3.5764157861796537,15
6,4,7,アナレンマ,セ7,58.0,古川吉,中舘,460(0),美浦,2018105462,01015,ディープインパクト  ,ワイ  Why(愛)  ,Galileo  (愛)  ,-3.322256793147219,14
7,4,8,バルダンツァ,牡4,58.0,永島,天間,470(+18),美浦,2021102595,01187,ドリームバレンチノ  ,クイーンキセキ  ,フジキセキ  ,-4.039329575195816,16
8,5,9,マイネルオーシャン,牡4,58.0,国分恭,鹿戸,472(-2),美浦,2021106766,01124,ゴールドシップ  ,アメリオラシオン  ,ルーラーシップ  ,2.835216478615776,1
9,5,10,ルーチェロッサ,牝5,56.0,横山琉,相沢,470(+6),美浦,2020103955,01192,ビーチパトロール  Beach Patrol(米)  ,ルミナスレッド  ,トーセンダンス  ,-1.9803309240765627,8
10,6,11,ディーガレジェンド,牡4,58.0,西塚,藤原,470(+4),栗東,2021105072,01200,モーリス  ,ジプシーハイウェイ  Gypsy Highway(愛)  ,High Chaparral  (愛)  ,-2.386795842357199,10
11,6,12,カリーニョ,牡4,58.0,小沢,杉山晴,460(-6),栗東,2021105585,01185,ドゥラメンテ  ,ジェラシー  ,ハービンジャー  Harbinger(英)  ,2.210733136591343,2
12,7,13,マイネルシーマー,牡6,58.0,菊沢,青木,480(+6),美浦,2019100774,01161,ゴールドシップ  ,マイネアルナイル  ,ロージズインメイ  Roses in May(米)  ,-3.041229942865662,12
13,7,14,ドゥレイクパセージ,牡4,58.0,鮫島駿,堀,470(-2),美浦,2021105626,01157,ドゥラメンテ  ,ソブラドラインク  Sobradora Inc(亜)  ,Include  ,-0.007495037905697333,4
14,8,15,アルファヒディ,セ6,58.0,富田,石坂,482(+2),栗東,2019105322,01168,ハーツクライ  ,ドバイマジェスティ  Dubai Majesty(米)  ,Essence of Dubai  ,-0.025194809235768445,5
15,8,16,ウインアクトゥール,牡4,58.0,黛,栗田,442(+2),美浦,2021107085,01109,ゴールドアクター  ,ポートドラルーン  ,チチカステナンゴ  Chichicastenango(仏)  ,-3.0447663998433017,13
