,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,マイチバイ,牝2,55.0,松岡,堀内,430(0),美浦,2023104588,01085,シルバーステート  ,ブルーボサノヴァ  ,パイロ  Pyro(米)  ,-2.066873175602868,15
1,1,2,シュートザムーン,牡2,56.0,原,伊藤伸,418(0),美浦,2023101279,01184,サトノジェネシス  ,ムーンエコロジー  ,クリーンエコロジー  ,-0.8170035369639312,5
2,2,3,アルケミラモリス,牝2,55.0,柴田大,粕谷,462(0),美浦,2023102074,01009,ロジャーバローズ  ,フィールマイハート  ,マリエンバード  Marienbard(愛)  ,-1.541805928029282,10
3,2,4,エンチャンテッド,牝2,55.0,丸田,佐藤吉,412(0),美浦,2023104082,01117,ミスターメロディ  ,ヒシガーネット  ,マンハッタンカフェ  ,-0.670917990754693,4
4,3,5,ジュニートワン,牡2,54.0,△長浜,武井,432(0),美浦,2023101296,01214,ミッキーアイル  ,トルミロス  ,ルーラーシップ  ,-2.9107862538081983,17
5,3,6,ウェスケンジントン,牡2,56.0,菅原明,小野,486(0),美浦,2023100861,01179,タワーオブロンドン  ,スマートプラネット  ,ファルブラヴ  Falbrav(愛)  ,-1.0926328489195094,6
6,4,7,ケイツータカ,牝2,52.0,▲水沼,深山,424(0),美浦,2023103002,01201,シュヴァルグラン  ,エムエヌメロディー  ,グラスワンダー  ,-1.682247554712405,11
7,4,8,ヤマヤロード,牝2,55.0,原田和,上原博,480(0),美浦,2023100351,01143,アルアイン  ,スワンレーク  ,ロードカナロア  ,-1.8199201729227823,13
8,5,9,クアラトレンガヌ,牡2,56.0,内田博,小笠,440(0),美浦,2023101869,00422,ジョーカプチーノ  ,プエルトプリンセサ  ,キンシャサノキセキ  ,-1.766160226026044,12
9,5,10,アグネスクレスト,牡2,56.0,柴田善,和田勇,500(0),美浦,2023101727,00641,ビッグアーサー  ,ダイヤモンドアイズ  ,マンハッタンカフェ  ,-1.186292027464845,8
10,6,11,ダイメイプリンス,牡2,56.0,泉谷,森田,490(0),栗東,2023101606,01182,シルバーステート  ,ダイメイプリンセス  ,キングヘイロー  ,-2.072355000400681,16
11,6,12,ラブミーアゲイン,牝2,52.0,▲遠藤,矢嶋,420(0),美浦,2023106599,01218,ダノンキングリー  ,デスティニーラブ  ,アグネスデジタル  ,-3.135164542086483,18
12,7,13,ミスタートントン,牡2,56.0,石橋脩,勢司,454(0),美浦,2023107532,01077,Mo Town  ,Breezing Bye  ,City Zip  (米)  ,-1.103104246226381,7
13,7,14,ホウオウヘッセン,牡2,56.0,浜中,田島,454(0),美浦,2023102440,01115,ウインブライト  ,ローゼンタール  ,ロージズインメイ  Roses in May(米)  ,-1.3928766133952803,9
14,7,15,エゴンウレア,牝2,55.0,大野,小手川,426(0),美浦,2023104068,01096,ミスチヴィアスアレックス  Mischevious Alex(米)  ,グッドレインボー  ,ステイゴールド  ,-0.5308686986843367,3
15,8,16,フィレルレーヴ,牝2,55.0,吉田豊,竹内,448(0),美浦,2023104351,00733,ドレフォン  Drefong(米)  ,ルトロヴァイユ  ,エピファネイア  ,0.13232548643075626,1
16,8,17,ブクブクー,牡2,56.0,津村,小栗,468(0),栗東,2023107528,01092,Yaupon  (米)  ,Vietnam  ,Violence  ,-0.09480102791895337,2
17,8,18,レゲンデ,牝2,55.0,横山武,斎藤誠,410(0),美浦,2023107255,01170,ルヴァンスレーヴ  ,ミスドバウィ  ,Dubawi  ,-1.922535864037191,14
