,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,エスシーレイジュ,牝2,55.0,大野,松山,446(0),美浦,2023104309,01096,シャンハイボビー  Shanghai Bobby(米)  ,チュロ  ,キングヘイロー  ,-1.4369466443287195,9
1,2,2,キタノドンカルロ,牡2,56.0,柴田大,粕谷,436(+4),美浦,2023102651,01009,タワーオブロンドン  ,ヒルノリスボン  ,マンハッタンカフェ  ,-1.231615465058438,8
2,3,3,ラブデウザ,牝2,52.0,▲水沼,加藤和,400(+4),美浦,2023109094,01201,リアルスティール  ,ボンニデー  ,キングカメハメハ  ,-0.9398279511839328,6
3,3,4,アルデバローズ,牝2,55.0,菅原明,矢野,446(0),美浦,2023100285,01179,ダノンスマッシュ  ,キリエ  ,ブライアンズタイム  Brian's Time(米)  ,-0.8757024818557301,4
4,4,5,アイアンナックル,牡2,56.0,小林凌,尾形,448(-6),美浦,2023100633,01177,ゴールドドリーム  ,オルガンパイプ  ,サウスヴィグラス  ,-0.6973820365162565,2
5,4,6,ライフイズ,牝2,53.0,△長浜,鈴木慎,420(+2),美浦,2023105448,01214,ガルボ  ,キンシャチゴールド  ,サウスヴィグラス  ,-0.8605073456626967,3
6,5,7,マイネルオランチア,牡2,56.0,原,小手川,478(0),美浦,2023106406,01184,スクリーンヒーロー  ,マイネオレンジ  ,ロージズインメイ  Roses in May(米)  ,-0.3255296381671795,1
7,5,8,ニューカワイイ,牝2,51.0,★谷原,清水英,440(0),美浦,2023101571,01219,カリフォルニアクローム  California Chrome(米)  ,コパノビジン  ,ゴールドアリュール  ,-2.001751075567704,14
8,6,9,ストライプブルー,牡2,56.0,吉田豊,中川,438(-2),美浦,2023102397,00733,ヴァンゴッホ  ,ネオヴィクトリア  ,ディープインパクト  ,-1.8610709584321894,12
9,6,10,ジーティーニッツァ,牡2,53.0,▲遠藤,伊藤伸,450(-4),美浦,2023106331,01218,ミスチヴィアスアレックス  Mischevious Alex(米)  ,ドリームデュネット  ,ディープインパクト  ,-1.7684212377670345,11
10,7,11,アイオロステソーロ,牡2,56.0,石川,高橋文,448(+4),美浦,2023106728,01150,ヴァンゴッホ  ,ロータステソーロ  ,スクリーンヒーロー  ,-1.9388874365976991,13
11,7,12,スリーコーズ,牡2,56.0,横山武,伊藤圭,472(-2),美浦,2023106208,01170,スズカコーズウェイ  ,スズカローラー  ,スズカマンボ  ,-0.9944444413825554,7
12,8,13,カレンショー,牡2,56.0,浜中,安田,432(0),栗東,2023103374,01115,カレンブラックヒル  ,カレンモエ  ,ロードカナロア  ,-1.5579642774494433,10
13,8,14,ロードストラダーレ,牡2,56.0,丸田,本間,498(+14),美浦,2023104886,01117,ロードカナロア  ,ティズウインディ  Tiz Windy(米)  ,Tiznow  ,-0.8935940808242073,5
